continent,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Americas,2020-01-01,1030271939,2.5904269162367464,10.205916974542841,8.514408180041459,3.808668152734185,-3.601381289966815,-12.045379140965386,-17.886897486041498,0,0,0
Asia,2020-01-01,4667759697,-550.0933544647504,-491.8180493953547,-550.0933544647504,-550.0933544647504,-1031.1858804731537,-1237.2036421590794,-1344.0403907806174,-50446.94988038545,-1008.938997607709,0
Africa,2020-01-01,1392394303,371.1204529034953,712.2190175192077,652.2895271633938,371.1204529034953,23.023212869870925,-204.67709982180497,-255.82827770712677,0,0,0
Europe,2020-01-01,747759214,-0.12764952461194948,0.09355503265886898,0.06057541035552011,-0.014101454550748613,-0.12764952461194948,-0.22623014771568015,-0.25678727356145975,0,0,0
Oceania,2020-01-01,44446737,2.5887846611425487,11.315428023018722,10.408790264128312,2.5887846611425487,-5.250757427602582,-13.101656714462523,-14.60663599909231,0,0,0
Americas,2020-01-06,1030271939,2.588473717254711,16.544887223725528,14.042201671170593,7.38596310257823,-2.574647500422123,-12.422667425037032,-21.260114906092326,0,0,0
Asia,2020-01-06,4667759697,-549.254740165485,-491.1834618104343,-549.254740165485,-549.254740165485,-1020.1961898222435,-1212.1779146514718,-1326.9156979719246,-50446.94988038545,-1008.938997607709,0
Africa,2020-01-06,1392394303,379.507233080342,694.191710008992,648.361558390482,379.507233080342,30.767077106277156,-197.67298694033792,-298.551441688927,0,0,0
Europe,2020-01-06,747759214,-0.12764952461194948,0.09355503265886898,0.06057541035552011,-0.014101454550748613,-0.12764952461194948,-0.22628332669602017,-0.25678727356145975,0,0,0
Oceania,2020-01-06,44446737,2.315817398854968,11.63354366037659,10.335748035411427,3.013807296999834,-4.858078701928698,-13.025555976287045,-14.524686604100772,0,0,0
Americas,2020-01-13,1030271939,2.880762045308846,14.268433706383014,10.785217057427197,6.010182423840926,-2.6987598894418188,-11.420158767891467,-16.21471070070525,0,0,0
Asia,2020-01-13,4667759697,-784.4706967823671,-675.1629085454935,-737.7153619617189,-784.4706967823671,-1274.997017858811,-1465.4973080536681,-1568.425687062545,-62844.70516910852,-1256.8941033821704,0
Africa,2020-01-13,1392394303,369.9765706317128,707.7300452839934,650.4609505895363,369.9765706317128,37.454771805314884,-202.10910197852635,-288.4426365339062,0,0,0
Europe,2020-01-13,747759214,-0.12810902075466946,0.09355503265886898,0.06057541035552011,-0.01663346856338862,-0.12810902075466946,-0.23279194860947983,-0.25678727356145975,0,0,0
Oceania,2020-01-13,44446737,2.3128098008391134,11.742880359836871,10.462942154313787,2.7984653575788574,-5.0624612624935645,-13.024549481301754,-14.524498294105841,0,0,0
Americas,2020-01-20,1030271939,5.272492675302884,30.550370645175775,25.54921584840586,11.09581923338773,-1.3503605172646247,-18.613594697597968,-26.32551128803463,0,0,0
Asia,2020-01-20,4667759697,-1012.3294423606321,72.70994325768629,-189.73394024660652,-848.6582529207462,-1574.4068271626008,-2291.5081964143083,-2472.7500516426976,-77640.50585058807,-1552.8101170117616,0
Africa,2020-01-20,1392394303,372.82100371156747,802.3641766175875,697.8128087375569,379.3232408962422,1.3892795209816062,-264.02985290069176,-293.24671698254826,0,0,0
Europe,2020-01-20,747759214,-0.2964907991430197,-0.03752259561989972,-0.045166096674419606,-0.2964907991430197,-0.6725667633780599,-0.8849620967294972,-0.9661038360295202,0,0,0
Oceania,2020-01-20,44446737,2.2588115342701367,11.074712697140841,8.992085646293827,2.2588115342701367,-6.874833347347228,-12.702417886783214,-16.104635708444583,0,0,0
Americas,2020-01-27,1030271939,-301.032338059834,-275.8646945808576,-277.68576565502764,-291.5409671046551,-303.4089994008774,-319.86478849890875,-320.44907037600154,-15231.725124811348,-304.63450249622696,0
