continent,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Americas,2020-01-01,1026788511,2.5266145377668408e-5,9.67660178326406e-4,7.985881096424091e-4,2.7494922054964964e-4,-2.8936977912624555e-4,-5.612297199645335e-4,-8.813585630336605e-4,0,0,0
Asia,2020-01-01,4679006159,-0.01725686476258695,-0.011935380937972738,-0.013401754093622924,-0.01725686476258695,-0.024541586056665194,-0.028825960127904206,-0.029656570085176727,-1.099718340379153,-0.021563104713316728,0
Africa,2020-01-01,1371693397,0.015158150729464637,0.044592098834649506,0.03687246777056256,0.01549988702199954,-0.0012093948914743938,-0.011924913060173127,-0.019078380981350486,0,0,0
Europe,2020-01-01,747993718,-7.812769500066959e-6,2.1678186368976927e-5,1.4949403769013811e-5,1.6105941183692614e-6,-7.812769500066959e-6,-1.4966580079887803e-5,-2.0679803928182152e-5,0,0,0
Oceania,2020-01-01,43202462,-0.009751854888143008,0.017281918563048306,0.009583569342598396,6.820624874708421e-4,-0.009751854888143008,-0.01823862370192627,-0.022419895300581246,0,0,0
Americas,2020-01-06,1026788511,1.5927124122150368e-4,0.0011190879553331023,9.796479995150644e-4,3.7253548506046484e-4,-3.825098210372076e-4,-8.542779042979935e-4,-0.0010368187350865902,0,0,0
Asia,2020-01-06,4679006159,-0.01722299307426384,-0.011922219410028183,-0.013444929562107173,-0.01722299307426384,-0.024273620754328724,-0.028680537044746667,-0.0309506409427065,-1.099718340379153,-0.021563104713316728,0
Africa,2020-01-06,1371693397,0.015098218468415902,0.04518042645278127,0.03680727749325763,0.015098218468415902,-0.0011230905314570556,-0.01188382924350864,-0.016039276886058832,0,0,0
Europe,2020-01-06,747993718,-7.812769500066959e-6,2.1678186368976927e-5,1.494940645010585e-5,1.6105941183692614e-6,-7.812769500066959e-6,-1.4966580079887803e-5,-2.0679803928182152e-5,0,0,0
Oceania,2020-01-06,43202462,-0.009753437864503197,0.01578624802975034,0.009435431463468596,4.539397672219465e-4,-0.009753437864503197,-0.017817519773238456,-0.02312233349889034,0,0,0
Americas,2020-01-13,1026788511,0.0010886910673308567,0.00652555468028862,0.0052604936468940615,0.002021297588565099,1.7719657221965492e-4,-9.102053460508925e-4,-0.0011403731071089548,0,0,0
Asia,2020-01-13,4679006159,-0.021805508262523355,-0.01673881217341848,-0.017879911625066025,-0.021805508262523355,-0.029072105799566546,-0.03425572810387101,-0.0364698951541925,-1.3699832206715994,-0.026862416091599988,0
Africa,2020-01-13,1371693397,0.015098218468415902,0.04476513992357873,0.03685030091839111,0.015275034418971047,-0.0010292514930341312,-0.01209147939794371,-0.014942888225904125,0,0,0
Europe,2020-01-13,747993718,-7.812769500066959e-6,2.1678186368976927e-5,1.494940645010585e-5,1.6105941183692614e-6,-7.812769500066959e-6,-1.4966580079887803e-5,-2.0679803928182152e-5,0,0,0
Oceania,2020-01-13,43202462,-0.009753437864503197,0.015714720878999396,0.008753067173906304,6.645101371658044e-4,-0.009753437864503197,-0.018441365563754364,-0.023331487457166046,0,0,0
Americas,2020-01-20,1026788511,2.2863036886901035e-4,0.0013330536842126618,0.0010874031168783905,4.278691436315586e-4,-3.6709856465702757e-4,-0.0010178928488984772,-0.0011022898987460318,0,0,0
Asia,2020-01-20,4679006159,-0.02941331648957009,-0.022322680901852514,-0.024343627053985722,-0.02941331648957009,-0.03865191806528564,-0.045487438850664016,-0.05042434485173661,-1.6925242941874026,-0.03318675086641966,0
Africa,2020-01-20,1371693397,0.012423927286458959,0.05694268677948352,0.05046900368052846,0.024151554584564413,0.0011232742726366891,-0.014766758200475976,-0.01949331590436591,0,0,0
Europe,2020-01-20,747993718,-1.9940579387384805e-5,2.086331492868652e-5,1.4055971785146705e-5,-1.725132141275718e-6,-1.9940579387384805e-5,-3.106368882964346e-5,-3.631500993913953e-5,0,0,0
Oceania,2020-01-20,43202462,-0.009847447630922851,0.019944542840148825,0.012704072797271468,3.0155659355281955e-4,-0.010646240236480182,-0.02052553704233513,-0.025098104550515747,0,0,0
Americas,2020-01-27,1026788511,-0.021613751562934165,-0.02032738683055378,-0.020528549448286883,-0.021207980122463624,-0.022064873347155012,-0.022772429526908087,-0.02286046609287483,-1.037212698868737,-0.02160859789309869,0
Asia,2020-01-27,4679006159,-0.012017359305044781,0.011766803877566496,0.002569149227195489,-0.007778495689845266,-0.024415731285869928,-0.03499608626190722,-0.038732466859270565,-0.9583543148321011,-0.01879126107513924,0
Africa,2020-01-27,1371693397,0.014824001630382843,0.05454385988256377,0.04706520322495106,0.023706324665457204,7.494725700271583e-4,-0.01420622000658785,-0.024777113808239184,-0.09403732108235043,-0.001709769474224553,0
Europe,2020-01-27,747993718,-0.11877021834497983,-0.11871915653427106,-0.11872604929020061,-0.11874761500069685,-0.1187713723322128,-0.1187899837709524,-0.1187950756841223,-5.818156587970776,-0.11873788955042403,0
Oceania,2020-01-27,43202462,-0.042180862621935704,-0.01294148480237724,-0.01936188013492498,-0.03337080608292015,-0.046252952369077706,-0.05802446458612793,-0.06237489492815796,-0.6786555132779976,-0.03231692920371417,0
Americas,2020-02-03,1026788511,-0.0040416824362108725,-0.0027573312434891104,-0.0031276804899250193,-0.0039036876551696614,-0.004908855673638554,-0.005696765985076909,-0.005874994304291172,-0.22233134187300102,-0.004631902955687522,0
Asia,2020-02-03,4679006159,0.019943626192851855,0.03718012428637792,0.03566299533352178,0.022089506437955694,0.0043892578120264866,-0.010479063085250146,-0.015315961933573022,0.725807490084785,0.014231519413427153,0.0010472309361198257
Africa,2020-02-03,1371693397,0.02529737236939966,0.05434331454434049,0.04321606304594564,0.02529737236939966,0.0038590238159872774,-0.008262250465053677,-0.017648238199556257,0.3830718414906405,0.006964942572557101,0
Europe,2020-02-03,747993718,-0.13483403537250058,-0.1347575796492047,-0.1347685047713416,-0.13479428670325963,-0.13483403537250058,-0.1348417039585081,-0.134848456267963,-6.604507393946799,-0.13478586518258773,0
Oceania,2020-02-03,43202462,-0.04088579912460108,-0.009140346643613585,-0.01621047450201178,-0.029486998988705885,-0.04393127544747746,-0.05787824800191155,-0.06702793716400621,-0.6455388120681415,-0.030739943431816262,0
Americas,2020-02-10,1026788511,-0.011154787823652116,-0.008034383191076267,-0.008625760568405388,-0.01005734767536512,-0.011640013356933737,-0.012519616400474495,-0.012944815108835592,-0.5543401766921965,-0.011548753681087424,0
Asia,2020-02-10,4679006159,-0.01602634960430695,0.004407996295370012,0.0029842249026276863,-0.010983294481300473,-0.029404095168708122,-0.04602217966863054,-0.05370755654390605,-0.9787152037695168,-0.019190494191559153,0.0017921968287795964
Africa,2020-02-10,1371693397,0.013871260423383129,0.06106130153753692,0.048674246987892696,0.024680345561909803,-0.0034046148390737482,-0.021107630319334245,-0.026397503071883457,0.13877005831515568,0.002523091969366467,0
Europe,2020-02-10,747993718,-0.11900567538499916,-0.1189444450542684,-0.11895359572911657,-0.1189896075611514,-0.1190123670098891,-0.11903392483767844,-0.11903933100847919,-5.830102494466114,-0.11898168356053297,0
Oceania,2020-02-10,43202462,-0.005426839130379207,0.022321636424453634,0.01576330217864766,0.006923744770384326,-0.007911461754330733,-0.01827066025264639,-0.0227334388404677,0.08879433774169697,0.004228301797223665,0
Americas,2020-02-17,1026788511,-0.005233470061431941,-0.0022123654359875885,-0.0028997796399675433,-0.004509721702722095,-0.006569792914128151,-0.007813407389649326,-0.008265915918443795,-0.2976507888950108,-0.006201058101979392,0
Asia,2020-02-17,4679006159,-0.033921470138465484,-0.007482521871842787,-0.01195709714389041,-0.026283925792484494,-0.04959144730148703,-0.06735545732746373,-0.0688941611222494,-1.8129160001404687,-0.03554737255177389,0.0026073913103391577
Africa,2020-02-17,1371693397,0.015498212385765897,0.05975381151926475,0.0550862171272035,0.027867026462866956,-0.002029265251998283,-0.022363927777978746,-0.029449372988075127,0.1397247350762945,0.0025404497286598995,0
Europe,2020-02-17,747993718,-0.17127766951908402,-0.17119831542413957,-0.17121293593980433,-0.17123729788128608,-0.17127766951908402,-0.17128986023604845,-0.17129994181518565,-8.390239860040442,-0.17122938489878453,1.9117807617737236e-5
Oceania,2020-02-17,43202462,-0.015553445646262291,0.01173121664525696,0.009417443275045427,-0.0023392318239284075,-0.018312024278389412,-0.02690287406918267,-0.029457732848804787,-0.1313320059838066,-0.006253905046847934,0
Americas,2020-02-24,1026788511,0.001261561459674125,0.0041355047870535126,0.003505722912989926,0.0018232400461640668,-2.2180217509993416e-5,-0.001122853931182706,-0.0016361478918998293,0.03567052431929385,7.431359233186219e-4,0
Asia,2020-02-24,4679006159,-0.03210783871888907,-0.008184121965678364,-0.010898186917230223,-0.02746451429577852,-0.050613177358555195,-0.06295792374170679,-0.06852764035061144,-1.6013502268294797,-0.03139902405548,0.002295979025232995
Africa,2020-02-24,1371693397,-0.004777913323115638,0.03661428377138191,0.02999063087909319,-0.004777913323115638,-0.05309506074913414,-0.08735123059920395,-0.1192521668164463,-0.315218789487551,-0.005731250717955473,0
Europe,2020-02-24,747993718,-0.1625898813276404,-0.16250921148648095,-0.16251536953904167,-0.16255046715063806,-0.1625898813276404,-0.16260559136537958,-0.16261353419029087,-7.96452807471103,-0.16254138927981693,1.3369096236179887e-4
Oceania,2020-02-24,43202462,-0.0038638854229374785,0.024779559555630593,0.019934673253972433,0.009325606015039695,-0.0068264295298683065,-0.01808966725998198,-0.020678601342267035,0.12087499747681217,0.005755952260800579,0
Americas,2020-03-02,1026788511,0.02602529829536055,0.02828708364711383,0.027514403735388698,0.026217806279976573,0.023494988978264984,0.0214190679063777,0.020539748986783943,1.1768629362470868,0.024517977838480975,8.346412049014445e-5
Asia,2020-03-02,4679006159,-0.06436553949872655,-0.05519232195619094,-0.06080169215463894,-0.06436553949872655,-0.0988232629580461,-0.11799089657857217,-0.12171937862332434,-2.7085846920216103,-0.053109503765129615,0.0012151298388577308
Africa,2020-03-02,1371693397,0.026284628627137457,0.15226204170264238,0.13193880258231414,0.06790637582411663,-0.010117258006288491,-0.08152409535169719,-0.09638947320723829,0.5585947788225611,0.010156268705864748,0
Europe,2020-03-02,747993718,-0.11243087444464026,-0.1123633200451684,-0.11237854673301664,-0.11240648649532657,-0.11243547462921286,-0.1124593885981889,-0.11246440059029503,-5.5075612756768475,-0.11239920970769075,8.977348122594795e-4
Oceania,2020-03-02,43202462,-0.04246524318172658,-0.01720678732284138,-0.019904585902428135,-0.03289859420451574,-0.04656827709968904,-0.05787004243145516,-0.0607910980144314,-0.6960152258063752,-0.03314358218125596,3.3099965460301774e-4
Americas,2020-03-09,1026788511,0.02259081730169862,0.02616295934153942,0.025213128317785192,0.02324622812818131,0.019929411403289812,0.017538553992618843,0.01651597912211404,1.0131124257417559,0.021106508869619914,2.504897525095117e-4
Asia,2020-03-09,4679006159,-0.024449593720477617,-0.01032900262880302,-0.01626509037588136,-0.024449593720477617,-0.05787149469460187,-0.07769131094741916,-0.0918045072574395,-0.6835762891736382,-0.013403456650463495,0.001267042572405385
Africa,2020-03-09,1371693397,9.426564977051466e-4,0.0520604791605006,0.040433437582427775,9.426564977051466e-4,-0.05292023733887864,-0.11002414974611265,-0.126874618815543,0.4396802414550756,0.007994186208274101,1.0425070231638651e-5
Europe,2020-03-09,747993718,0.06573439274949026,0.06579937402441907,0.06579181955484782,0.06575463317374741,0.06572862204231768,0.06570655648987996,0.0656981743565349,3.221736635351845,0.06574972725207848,0.008995663784438359
Oceania,2020-03-09,43202462,-0.03828605035445786,-0.01549592197755115,-0.019743220829313353,-0.028872334974319788,-0.04262927087175723,-0.05391304617717233,-0.05792704264872173,-0.5950487577379605,-0.028335655130379073,6.619993092060355e-4
Americas,2020-03-16,1026788511,0.027184466218259987,0.0306537055118607,0.03010954911093834,0.027383402597952407,0.02445539363160224,0.022293495477113505,0.021457151848482785,1.331653471157421,0.027742780649112942,0.001182716778567461
Asia,2020-03-16,4679006159,-0.013106644436382625,0.011438312717393545,0.002572851605468974,-0.013106644436382625,-0.0521350343196077,-0.0722887173151034,-0.0781050298855179,-0.9924063913607428,-0.01945894885021064,0.00237841106034757
Africa,2020-03-16,1371693397,0.007365978651945662,0.057632557292883135,0.03750599473213328,0.007365978651945662,-0.07461658694768063,-0.12302172754266567,-0.15365643050737707,0.35398845537523527,0.0064361537340951866,6.247751880079947e-5
Europe,2020-03-16,747993718,0.31327190905296104,0.31333342630766176,0.31332657291914173,0.3132882422866792,0.3132601016576044,0.31323941769622343,0.3132304810459263,15.350742242856272,0.3132804539358423,0.04402269592322966
Oceania,2020-03-16,43202462,-0.0028441619044680478,0.018486833885667905,0.013553163618962739,0.0052382815516654625,-0.008112345148828802,-0.019123647243038222,-0.021717805814930238,0.12949328340774555,0.006166346828940264,0
Americas,2020-03-23,1026788511,0.13054530698176856,0.13685947748923763,0.1357226218146476,0.131963646622605,0.1286702488146898,0.1258191590283672,0.12532946402829173,6.335861058305503,0.13199710538136464,0.011520093839460578
Asia,2020-03-23,4679006159,0.001446507683565988,0.014776571210562906,0.008443779818446148,0.001446507683565988,-0.037978216325541464,-0.07289389472831578,-0.08918775976931771,0.7324498219755373,0.014361761215206615,0.0037279497840472923
Africa,2020-03-23,1371693397,-0.009151805239461309,0.010630768888707396,-9.420199394886451e-4,-0.009151805239461309,-0.1022232933802499,-0.16465193573011913,-0.1946733893470496,0.10367220860457155,0.0018849492473558462,5.000388581734932e-4
Europe,2020-03-23,747993718,0.5884204908913455,0.5884913992581197,0.5884784058675547,0.5884460598057102,0.5884118758299505,0.5883877504543387,0.5883852877090261,28.832818037508783,0.5884248579083425,0.14526512373730924
Oceania,2020-03-23,43202462,0.020055715655825687,0.04239926199046323,0.03557659607270676,0.026158151676035045,0.009385066849431321,-9.579868099153574e-4,-0.0026775170269663392,0.5786343531921472,0.02755401681867367,0.001321683935512749
Americas,2020-03-30,1026788511,0.31552420347802956,0.320606721567716,0.3194731071044513,0.31552420347802956,0.3101741999526261,0.3075027479050631,0.3067390702856223,15.060985119278698,0.31377052331830624,0.05516501148307064
Asia,2020-03-30,4679006159,-0.043546909024705475,-0.0022999025645384814,-0.019608346931033308,-0.043546909024705475,-0.0901099625276511,-0.12812980575361252,-0.14664552206702794,-0.3081002638034653,-0.006041181643205201,0.004488239443670286
Africa,2020-03-30,1371693397,-0.02592808944899601,0.022379473033967718,-0.013538682845664384,-0.02592808944899601,-0.12365722132516836,-0.17688147839087864,-0.20295237423481138,-0.19647816509755617,-0.0035723302745010216,0.0012082875106236295
Europe,2020-03-30,747993718,0.8140233770474679,0.8141051763708744,0.8140933674241201,0.8140633696842747,0.8140233770474679,0.8139985939232627,0.8139888720991808,39.886509801267714,0.8140104041075044,0.3340172437116644
Oceania,2020-03-30,43202462,0.05433728154924209,0.07851102442206001,0.06972830018848243,0.05983246136308626,0.042276342194760015,0.03220563854589362,0.028392062872514133,1.302759751415987,0.062036178638856514,0.0036386815177338735
Americas,2020-04-06,1026788511,0.4275136273477711,0.4339184633336522,0.4327470300483391,0.4275136273477711,0.4207738467973625,0.4169118470986299,0.41631660796008496,20.46673949714333,0.42639040619048607,0.16342226096450743
Asia,2020-04-06,4679006159,-0.038195006343990284,-0.00341468446205977,-0.01772161497115293,-0.038195006343990284,-0.08729565122962622,-0.12753743804669526,-0.13529977862729267,-0.36389502373201515,-0.007135196543765003,0.006255986635900472
Africa,2020-04-06,1371693397,-0.024324406413167007,0.019770958770714626,-0.024324406413167007,-0.024324406413167007,-0.12979999422682967,-0.17950264950597647,-0.208724176934457,-0.4927147336313012,-0.008958449702387294,0.0032704101439951744
Europe,2020-04-06,747993718,0.8021196909516589,0.8022090809160912,0.8021976026006076,0.8021620752132941,0.8021196909516589,0.8020918550977629,0.8020856126345861,39.3032458320024,0.8021070577959672,0.49349157769263513
Oceania,2020-04-06,43202462,0.019007536084751125,0.04364558754870883,0.03645347878405333,0.02469598142811005,0.008773800421173627,-3.607744461730002e-4,-0.006549424550266448,0.552744251627284,0.02632115483939448,0.007606048007171443
Americas,2020-04-13,1026788511,0.4147866876072636,0.4227379594682869,0.4206490810174297,0.415637474434187,0.40872467922113437,0.4054652230025932,0.40473157922731817,19.903652335203414,0.41465942365007114,0.24915452136374752
Asia,2020-04-13,4679006159,-0.03725865988488084,-0.0018873835690817898,-0.014668476519355952,-0.03725865988488084,-0.09069698333477853,-0.1276227705541984,-0.13324010039593986,-0.43534755997195707,-0.008536226666116807,0.007382572030506276
Africa,2020-04-13,1371693397,0.008808868233193148,0.02244887234923947,0.008808868233193148,0.008808868233193148,-0.12780299541533632,-0.17887240257362835,-0.20302979574433339,-0.5916956202261996,-0.010758102185930903,0.003603793683640514
Europe,2020-04-13,747993718,0.6799449969233966,0.6800296626831981,0.6800221730857592,0.6799934283823753,0.6799449969233966,0.6799180404003139,0.6799022209617303,33.315013722277556,0.6798982392301542,0.534134031323509
Oceania,2020-04-13,43202462,-0.03585276540798204,-0.008029201745387814,-0.01619211465550743,-0.02977923584032871,-0.04506479143181373,-0.054553331447047236,-0.0615915944062624,-0.5192779863646162,-0.024727523160219825,0.008265732633478157
Americas,2020-04-20,1026788511,0.4096250200398927,0.4166015006636151,0.4151599326424243,0.4098538229253075,0.4030366089246142,0.400489473719273,0.39965054152549706,19.635698978086705,0.40907706204347294,0.2747543403317258
Asia,2020-04-20,4679006159,-0.034483109476298325,-4.004202070296855e-4,-0.01377477000719747,-0.034483109476298325,-0.08846198573848998,-0.12059902688587669,-0.13408594859448097,-0.6054739809208658,-0.011872038841585603,0.01160203644861242
Africa,2020-04-20,1371693397,0.009657465773584045,0.056349708099425175,0.022097290317820234,0.009657465773584045,-0.13726041432397634,-0.19796739648610018,-0.21186190326888454,-0.8572485081046425,-0.015586336510993497,0.003395292279007741
Europe,2020-04-20,747993718,0.4837245723879617,0.483794551192279,0.4837834869928923,0.48374545835246197,0.4836895253944894,0.48364510498316093,0.48363239671919594,23.694799238069773,0.48356733138917896,0.48273908097180035
Oceania,2020-04-20,43202462,-0.02561717332445872,-0.004412696670395724,-0.005726271723884955,-0.020146972818391118,-0.03567521247700338,-0.04676307905301134,-0.052470699835106646,-0.3085955488683416,-0.014695026136587696,0.004298366144040587
Americas,2020-04-27,1026788511,0.3724227100647177,0.3790372848103651,0.3775072191930581,0.3724227100647177,0.3655797964792904,0.36300304290302493,0.36146900401024085,17.82018531440825,0.37125386071683847,0.2848132764118939
Asia,2020-04-27,4679006159,-0.027909666811881683,0.02904745660536207,0.004028464307302168,-0.027909666811881683,-0.07771803431912225,-0.10756197974384132,-0.13882318322974943,-0.5464502745333284,-0.010714711265359382,0.007535232654520641
Africa,2020-04-27,1371693397,0.01064518846275298,0.06801678280914067,0.01876348690260631,0.01064518846275298,-0.13769901878431687,-0.19832034674652413,-0.21437966678952805,-1.1121472033287743,-0.020220858242341353,0.003155661468858117
Europe,2020-04-27,747993718,0.306226607876783,0.3063321244782699,0.3063202985832099,0.3062659196998262,0.3062185968153969,0.3061838487987835,0.30617293508954235,15.000071136088733,0.30612390073650475,0.384533443367769
Oceania,2020-04-27,43202462,-0.09524406070246787,-0.06429433209530673,-0.07433052323549096,-0.08764299069194481,-0.10741106306007073,-0.12220325081751743,-0.12846661111113372,-1.5308870006842212,-0.07289938098496292,0.007606048007171443
Americas,2020-05-04,1026788511,0.4669920568063936,0.473071006800305,0.472149786403572,0.46780382732370257,0.4612926730474294,0.45751189237740497,0.4567188930625051,22.30998057814629,0.46479126204471444,0.30559934849134673
Asia,2020-05-04,4679006159,0.0340026104808148,0.08230814270364332,0.06884183376690263,0.03846179992404897,-2.0365921806010312e-4,-0.025627698186158045,-0.04107947978005536,-0.16325985773343177,-0.0032011736810476812,0.007660408809476842
Africa,2020-05-04,1371693397,0.04670747713940831,0.08247946435163077,0.06683500322311328,0.04670747713940831,-0.09660919826084413,-0.16065770360471657,-0.18458433965863466,0.8909220708185109,0.016198583105791108,0.003957662850803969
Europe,2020-05-04,747993718,0.2304044476644315,0.23046523709069017,0.23045797649094873,0.23043285176233155,0.23039826709474148,0.23037964240697684,0.23037442183047138,11.288213385473371,0.2303717017443545,0.28031211353034385
Oceania,2020-05-04,43202462,-0.06508747814724351,-0.037389101740734725,-0.04213203627381683,-0.057268565178991176,-0.07555814336136339,-0.09028857291936852,-0.09922714146472465,-0.9621022118495864,-0.045814391040456495,0.004629365798643605
Americas,2020-05-11,1026788511,0.4616531527144928,0.4665325793105868,0.46598840620219234,0.4616531527144928,0.4550392274100625,0.45101662486613237,0.4496939205171486,22.002503154770142,0.4583854823910447,0.31582521281249515
Asia,2020-05-11,4679006159,0.03741449786987049,0.10527365871173633,0.08592413659672528,0.05536352352439021,0.012717789115448892,-0.01971176075339725,-0.029555598683608075,-0.18766595634363137,-0.003679724634188851,0.007431407187425333
Africa,2020-05-11,1371693397,0.050854068214803025,0.0896949177191805,0.07086886425664919,0.050854068214803025,-0.09162688763848359,-0.15651813441595716,-0.17317517018265993,0.9410998813839808,0.017110906934254197,0.0052283549776393655
Europe,2020-05-11,747993718,0.23269818664633266,0.2327609235052041,0.2327562410922381,0.23272719112408571,0.2326954207824068,0.23267033422892408,0.23266689198996493,11.40182396528844,0.23269028500588648,0.2203228396632069
Oceania,2020-05-11,43202462,-0.10698943391907068,-0.07763774048165684,-0.08419434682186923,-0.09927155684096128,-0.11823835774186818,-0.13375854569239748,-0.1406227332101555,-1.8442741584391154,-0.08782257897329121,6.619993092060355e-4
Americas,2020-05-18,1026788511,0.44709053326452947,0.45264037679463576,0.4519019424613669,0.44709053326452947,0.4395705169474379,0.4352898897315288,0.4339011493487916,21.23856784423976,0.4424701634216617,0.31369682904447693
Asia,2020-05-18,4679006159,0.07375816188134125,0.16447070555156257,0.12684909822829504,0.07375816188134125,0.027987306147777075,-0.012671861548764462,-0.02537678379974305,-0.12330448639633149,-0.0024177350273790485,0.007971778350463163
Africa,2020-05-18,1371693397,0.05264797809920039,0.09453558748847798,0.07653061645085944,0.05264797809920039,-0.078138187140641,-0.13232038124245737,-0.16895364305865918,1.1215337892392647,0.020391523440713905,0.0050720518267538175
Europe,2020-05-18,747993718,0.17410991436092332,0.17417903964167614,0.1741704230961717,0.17414232532956722,0.17410704246588724,0.1740865608149009,0.17408060579576817,8.53086402495368,0.1740992658153812,0.17588048780912355
Oceania,2020-05-18,43202462,-0.10596518621863328,-0.07229264861752725,-0.07741259361221596,-0.09701678124625411,-0.11631888877380857,-0.1336906205126762,-0.13694136563933373,-1.7576124306884917,-0.08369583003278531,6.619993092060355e-4
Americas,2020-05-25,1026788511,0.43529716001197954,0.4430113004014985,0.44204696876779065,0.43735563716126763,0.43070129151531666,0.42620274543463466,0.42541992354358227,20.788075853879047,0.43308491362248014,0.3111506377188126
Asia,2020-05-25,4679006159,0.12889493077478661,0.2794137574307152,0.2532415251584627,0.13287093827040744,0.041767137262390536,-0.004007178338325583,-0.01614291354419913,-0.22323028531243236,-0.00437706441789083,0.008158035852673046
Africa,2020-05-25,1371693397,0.1488563879016586,0.1488563879016586,0.1488563879016586,0.1488563879016586,-0.06999759629319587,-0.12392614715895933,-0.14500776147325214,0.999296976743016,0.01816903594078211,0.006748811374499895
Europe,2020-05-25,747993718,0.12787488195616759,0.12794452099793144,0.12793718067930493,0.12790682146498986,0.12787284925901016,0.12785027323919065,0.1278449457747279,6.266251422953151,0.12788268210108472,0.09329757499380496
Oceania,2020-05-25,43202462,-0.1284578464154884,-0.09490352478633238,-0.10165167956082644,-0.11919677313282304,-0.13977908883822543,-0.15295546421860268,-0.1592541400223914,-2.230085504098058,-0.10619454781419323,9.929989638090533e-4
Americas,2020-06-01,1026788511,0.4250678945039664,0.43069169510972816,0.42954868306481736,0.4254796257817911,0.4177497618635741,0.41351575150898556,0.41198921900517615,19.934966615128367,0.415311804481841,0.298406143736059
