continent,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Americas,2020-01-01,1037129342,5.3260670526345367e-5,0.010683584541524353,0.006872582905127551,0.0016412868622976628,-0.0017071147731395795,-0.005659161675881072,-0.008394753499232235,0,0,0
Asia,2020-01-01,4695793204,-0.11686777377188226,0.027518710214904783,-0.02643421871775014,-0.10971770326913091,-0.15805400391458282,-0.18808069832460375,-0.2163610311311265,-7.520106483008961,-0.15040212966017918,0
Africa,2020-01-01,1426736614,0.12893843887015843,0.5902154102285351,0.45685921811398567,0.15758015086329819,0.0229944356214575,-0.06188952420005563,-0.10240791257704593,0,0,0
Europe,2020-01-01,746515263,-1.1259997846850018e-4,9.18819508896988e-5,3.793133741290694e-5,-4.1471850579281674e-5,-1.4779926528028125e-4,-2.820498589970363e-4,-3.574735692939877e-4,0,0,0
Oceania,2020-01-01,45038907,-0.05119507905555135,0.2809280574830781,0.2331297079663922,0.0769459386867778,-0.05119507905555135,-0.14947834401240653,-0.1849408832226951,0,0,0
Americas,2020-01-06,1037129342,-0.002513312451992925,0.024288197775981533,0.01631186162824109,0.004403810783110126,-0.003183117771515903,-0.012720223131262302,-0.01735118486453606,0,0,0
Asia,2020-01-06,4695793204,-0.23385648077858592,0.05476436392360911,-0.06987620400076287,-0.21972480233715957,-0.316471440078518,-0.37304472003226724,-0.4215582548093852,-15.040212966017922,-0.30080425932035837,0
Africa,2020-01-06,1426736614,0.26087793933594233,1.1713349513157263,0.9140364722630969,0.3196757518139768,0.0451005751372237,-0.12462575209810382,-0.2320086070534138,0,0,0
Europe,2020-01-06,746515263,-2.2736668937987692e-4,1.8325946653146338e-4,8.23571678524917e-5,-8.730655135995091e-5,-3.0317482973893226e-4,-5.641068044724424e-4,-7.168577100603283e-4,0,0,0
Oceania,2020-01-06,45038907,-0.10236814274876992,0.5687369110651845,0.47626053811924446,0.1392830407391584,-0.10236814274876992,-0.28590271937482503,-0.3689797245908532,0,0,0
Americas,2020-01-13,1037129342,-0.0025202589980124887,0.04081427849949663,0.024592410151800706,0.006904713713989153,-0.004604999648364487,-0.01781890508693842,-0.024009605486876327,0,0,0
Asia,2020-01-13,4695793204,-0.3847339046381105,0.04576232507862923,-0.12657107450462166,-0.3588966428392014,-0.5072136713588589,-0.6033158931964137,-0.662175623236815,-24.40844783226012,-0.48816895664520227,2.1316952355297966e-5
Africa,2020-01-13,1426736614,0.39284343030698377,1.791701621722865,1.309025055341679,0.473848565440391,0.06063635748774287,-0.18001605931487105,-0.3386945210172169,0,0,0
Europe,2020-01-13,746515263,-3.4378029261125767e-4,2.534060734535666e-4,1.2569089513602278e-4,-1.5900139142363065e-4,-4.808666849877134e-4,-8.46050630488334e-4,-0.0010384568495112286,0,0,0
Oceania,2020-01-13,45038907,-0.15030666379832108,0.8574427268522132,0.7128201716559031,0.21590398879845563,-0.15030666379832108,-0.43880678543673274,-0.4954706894409775,0,0,0
Americas,2020-01-20,1037129342,-0.005576739943231255,0.060672962367969985,0.03302610555257998,0.01016525981928647,-0.006762885830637207,-0.026245509170386323,-0.03586412875301605,0,0,0
Asia,2020-01-20,4695793204,-0.5260277897414841,-0.015469053284828475,-0.1638685826088051,-0.4946162383972108,-0.7381025095762601,-0.9219973248821499,-0.9712125825501637,-35.98228674175816,-0.7196457348351631,8.526780942119186e-5
Africa,2020-01-20,1426736614,0.5262148708459399,2.5037933813874345,1.8191315049220311,0.6625313679069154,0.07519362479398235,-0.2476976494629526,-0.4627639105495082,0,0,0
Europe,2020-01-20,746515263,-7.894247059422136e-4,4.389064470082674e-5,-2.2983536549218452e-4,-6.031660619722129e-4,-0.001133447688189346,-0.0015980953449361132,-0.0017966862263382201,0,0,0
Oceania,2020-01-20,45038907,-0.20131085511544747,1.1142763732801808,0.9296227636907543,0.2949653634771253,-0.20298382689556077,-0.5621454664350709,-0.6920150687602239,0,0,0
Americas,2020-01-27,1037129342,-0.24776443900168313,-0.15993358674728017,-0.19126374814931396,-0.22117046220021203,-0.24776443900168313,-0.2758962199353841,-0.2847526780420642,-12.948925582366991,-0.23979491819198132,0
Asia,2020-01-27,4695793204,-0.5693573958782109,0.0810717401611319,-0.0907626413823316,-0.4975970946583521,-0.8587144308790448,-1.1369721360226983,-1.1756004854156876,-42.75257866363591,-0.8550515732727182,0.0017463503275686415
Africa,2020-01-27,1426736614,0.6560255835521382,3.3073817245006785,2.2231980346034614,0.8389041729781567,0.09639900955104377,-0.346334666577368,-0.6615973393929441,-0.7964920793167127,-0.013732622057184703,0
Europe,2020-01-27,746515263,-0.8341049471578641,-0.8330476999033017,-0.8331861831643569,-0.8337693063054032,-0.8346573881704263,-0.8353437851237933,-0.8354960895512581,-41.64407142867918,-0.8328814285735835,0
Oceania,2020-01-27,45038907,-0.22898632361315507,1.376636823315657,1.2109696546703708,0.4153240222726166,-0.22898632361315507,-0.649579963325038,-0.8326756294247971,0.6249622168114335,0.026040092367143056,0
Americas,2020-02-03,1037129342,-0.35572177232586777,-0.2407558759892331,-0.27813388482858104,-0.31619052860718355,-0.35572177232586777,-0.37823929992356436,-0.3921647262630791,-18.02428274723277,-0.3337830138376439,0
Asia,2020-02-03,4695793204,-0.4323340274588488,0.3019619836878383,0.20367317882925895,-0.33417326871865316,-0.806446581961934,-1.1181479065107516,-1.2405231242123906,-38.393282422676975,-0.7678656484535394,0.009072077527543524
Africa,2020-02-03,1426736614,0.8409876777714294,4.207585906540176,2.669648289125648,1.1180873183048328,0.17297636567893698,-0.36428094446201786,-0.7092049452134503,1.6433968483872339,0.028334428420469546,0
Europe,2020-02-03,746515263,-1.7790391895531505,-1.77747597543929,-1.7777573513883536,-1.7785983182637422,-1.7798303606304033,-1.7806303161320396,-1.7810649035798858,-88.86909085401265,-1.777381817080253,0
Oceania,2020-02-03,45038907,-0.334613672010161,1.5950428261194955,1.4102747344365771,0.4451025646266225,-0.334613672010161,-0.8231313718434281,-1.0501190187032583,-0.6990665286106997,-0.029127772025445822,0
Americas,2020-02-10,1037129342,-0.538363534536391,-0.3956983258265073,-0.4506480715894934,-0.4921735849438342,-0.538363534536391,-0.5653031574814594,-0.5805056494689643,-27.69171421482323,-0.5128095224967265,0
Asia,2020-02-10,4695793204,-0.5344379336127328,0.35373558591982485,0.23534379954853518,-0.42225039807499143,-0.9989502995215005,-1.3512156608309,-1.6043581026328506,-45.68987268450225,-0.913797453690045,0.021572606713964656
Africa,2020-02-10,1426736614,1.0022142022158542,5.178961024852825,3.3008321492475208,1.3064002109589512,0.26266471475330383,-0.345079571560478,-0.8245272786115138,2.3596319665030325,0.04068330976729367,0
Europe,2020-02-10,746515263,-2.613139392741439,-2.611142445855855,-2.611491603877292,-2.6125408666772922,-2.614066847577969,-2.6149673855866875,-2.615600751064087,-130.5516917849505,-2.6110338356990095,0
Oceania,2020-02-10,45038907,-0.11943766571419985,2.128709081200415,1.95969912547962,0.8351171180284751,-0.11943766571419985,-0.6724900626944336,-0.9433519774130525,5.6591515442569325,0.2357979810107055,0
Americas,2020-02-17,1037129342,-0.6856425548372818,-0.5407962710299523,-0.5819147838159382,-0.6372963800294607,-0.6877332417923526,-0.7238622064224175,-0.7338453953051565,-35.485261759457515,-0.6571344770269911,0
Asia,2020-02-17,4695793204,-0.7642297927956815,0.3489869682727376,0.2055580139033048,-0.6414143513168037,-1.3016834180985624,-1.9050323260184492,-2.056805329044265,-58.690904335163125,-1.1738180867032624,0.039759097534568515
Africa,2020-02-17,1426736614,1.155674499002034,6.001835612506886,3.523420585957993,1.580523614649232,0.3070273491728227,-0.4862630994167734,-0.7331243424057833,3.0995808752381886,0.05344104957307222,0
Europe,2020-02-17,746515263,-3.812691991999995,-3.810153037741697,-3.8106331922591026,-3.811917072539512,-3.8137784001189234,-3.81486108240656,-3.815631668947635,-190.50697113175258,-3.8101394226350522,2.681793794750583e-4
Oceania,2020-02-17,45038907,0.016099879542526892,2.579914729024814,2.4276989382658294,1.088815330181246,0.016099879542526892,-0.5906646829195196,-0.9170921847213043,10.107909425295304,0.42116289272063767,0
Americas,2020-02-24,1037129342,-0.8257109355486048,-0.6781845875369209,-0.7160924713696769,-0.7650325015683249,-0.8257109355486048,-0.8668845819792111,-0.8765213474986291,-42.25936025289912,-0.7825807454240578,0
Asia,2020-02-24,4695793204,-0.970890286968283,0.27040071826327217,0.15173448692998123,-0.7893248242343258,-1.583481747664484,-2.3823239851216274,-2.539391276931154,-70.2437533890846,-1.4048750677816921,0.055645742614350444
Africa,2020-02-24,1426736614,0.7810778340430736,6.178496427616256,3.5858967425267183,1.463132824279568,-0.06865574475885591,-1.0542184408244364,-1.7182147532889014,0.8760656017136764,0.015104579339890973,0
Europe,2020-02-24,746515263,-4.946597868926255,-4.943588167878982,-4.944094584753802,-4.9457060168402815,-4.947820311843423,-4.949122877015786,-4.949987174419045,-247.1805102479485,-4.943610204958969,8.045381384251749e-4
Oceania,2020-02-24,45038907,0.2383527173108675,3.1110908053345554,2.9733417714148973,1.4823710944040533,0.2383527173108675,-0.4321397657366022,-0.8019661589627679,16.623666695515084,0.692652778979795,0
Americas,2020-03-02,1037129342,-0.8157485734167266,-0.6533320097665117,-0.6905903905211749,-0.7527759691045206,-0.8297598193352188,-0.8796433453602549,-0.8871931785492626,-41.55798459573431,-0.7695923073284132,1.9303281846595367e-4
Asia,2020-03-02,4695793204,-1.5274322045005992,-0.20501946857369618,-0.4594992290776575,-1.3100856430561243,-2.1953597313458486,-3.010970221364666,-3.3214029664701687,-88.90280265769043,-1.7780560531538085,0.0638870552784249
Africa,2020-03-02,1426736614,0.8773289268538342,6.275795793583546,4.008319792307898,1.3594975644159544,-0.17711238322460454,-1.460651945734657,-2.0040457525299633,5.05099654734688,0.08708614736804968,0
Europe,2020-03-02,746515263,-5.738194229647105,-5.73474022917147,-5.735418779255418,-5.736989861741138,-5.739607139819756,-5.740986371505107,-5.741584056255223,-286.7383376435887,-5.734766752871773,0.005225747139211539
Oceania,2020-03-02,45038907,0.20202982620119517,3.3984963597778846,3.1984422332928832,1.574690666160786,0.20202982620119517,-0.5278774722056389,-0.9651690226856066,16.943885378531256,0.705995224105469,0.0022225228511873075
Americas,2020-03-09,1037129342,-0.7923224931664697,-0.6155893782586969,-0.6754156494059107,-0.7407197501749909,-0.8373583965781157,-0.8997023639346541,-0.9239852036743187,-40.92672555474765,-0.7579023250879193,0.0025074018202832795
Asia,2020-03-09,4695793204,-1.7046478510218708,-0.35441777240394695,-0.5989340512030711,-1.506132454270393,-2.4640185337446923,-3.2687056314878173,-3.759136170398497,-93.71441639734584,-1.874288327946917,0.07304410247619585
Africa,2020-03-09,1426736614,0.5306696849833863,6.464035608161047,4.508249644875784,1.39638073470472,-0.48145018097394937,-2.0556642320395495,-2.653665208066485,8.377922340432695,0.144446936904012,4.204700391883263e-4
Europe,2020-03-09,746515263,-5.284456040101891,-5.28097089935291,-5.281586284331236,-5.283196532590152,-5.286102788160657,-5.287712223875377,-5.288274110451586,-264.0415772184304,-5.280831544368608,0.05680058011084497
Oceania,2020-03-09,45038907,0.21358349136184993,3.7375368112056635,3.4920813077866515,1.7243268625341972,0.21358349136184993,-0.615806727338223,-1.1010166319633103,18.383136546061316,0.7659640227525548,0.00889009140474923
Americas,2020-03-16,1037129342,-0.7508691532846368,-0.5584436250257135,-0.6196649581126463,-0.6997955814848682,-0.8055225578598232,-0.881362233936477,-0.937801662980121,-37.82047145186223,-0.7003791009604118,0.009932415931975434
Asia,2020-03-16,4695793204,-1.7861248891304204,-0.20451064879751304,-0.659767782142176,-1.643975543880876,-2.7293667396891297,-3.5939228653544206,-4.101188344984316,-100.63574609425397,-2.0127149218850797,0.08956980891784604
Africa,2020-03-16,1426736614,0.16435109401347625,6.814844285406724,4.816957851357486,1.406184536831755,-0.7978612679360102,-2.795128390879096,-3.8635586926253915,11.104821477161918,0.1914624392614124,6.309503738578618e-4
Europe,2020-03-16,746515263,-3.0947925573498276,-3.0913588555899985,-3.0914352854135037,-3.0935111861262867,-3.096563200005139,-3.0983872460919115,-3.0988213991529925,-154.55087806036718,-3.091017561207343,0.34212749913996066
Oceania,2020-03-16,45038907,0.47072130042370597,4.289582895265553,4.106871851845486,2.1160155640905067,0.47072130042370597,-0.4436284498697506,-0.9867687151076986,25.53478211072887,1.063949254613703,0.015557659958311156
Americas,2020-03-23,1037129342,0.019179215360516665,0.243902658750549,0.15060646696924318,0.05726215922920865,-0.06739506349951128,-0.1646139628691118,-0.22927181074906036,3.7383250533956662,0.0692282417295494,0.05775663417687781
Asia,2020-03-23,4695793204,-1.9241695297405224,-0.2553306583529711,-0.7471531816413549,-1.729154011553906,-2.9034110255573196,-3.904799382288602,-4.686592734494938,-95.76427394948966,-1.915285478989793,0.11514627593468445
Africa,2020-03-23,1426736614,-0.21814883180751038,6.990156772068024,4.8129184038052575,1.369911032451654,-1.2440350770298814,-3.6893369859559484,-5.0894338786411675,12.038958043069488,0.2075682421218877,0.0026641217185444715
