region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Other,2020-01-01,44924020,-0.002539737740319118,0.003977227299688442,0.00319763244235721,-6.800695886692297e-5,-0.0029891062775099795,-0.008906155126205278,-0.01159683341014798,0,0,0
EMRO,2020-01-01,774669408,0.0015102753179014586,0.01476246538581919,0.013523779917356822,0.006549668835771172,3.083969369288423e-4,-0.0038502082055561575,-0.00514629200704793,0,0,0
AFRO,2020-01-01,1191645942,0.01984894091968963,0.07514788254062607,0.06880257206003165,0.024339903675275658,0.0032767507723604873,-0.008534903974040605,-0.018620643272444427,0,0,0
EURO,2020-01-01,933468778,-0.0017970992459351396,0.0013268007053997095,0.0012235067086001855,5.358290964502308e-5,-0.0017970992459351396,-0.002802548601623419,-0.003237037716337658,0,0,0
AMRO,2020-01-01,1032012460,-1.032107965011975e-4,0.0010972447860234937,9.531778229312473e-4,2.3374732106747615e-4,-1.4032067015937915e-4,-5.784963910372845e-4,-6.796626590528498e-4,0,0,0
WPRO,2020-01-01,1927284137,-0.05258654949185971,-0.050852916570740925,-0.051043651841655914,-0.05181919293089602,-0.05267892391736499,-0.053536220910723215,-0.05365313418547233,-1.4134580580220977,-0.05235029844526287,0
SEARO,2020-01-01,2044764457,0.011317398502349326,0.045113706796934376,0.036596567082906525,0.011781027494175622,-0.002430653560621078,-0.00931310942504123,-0.011650348798070082,0,0,0
Other,2020-01-06,44924020,-0.0024998388048847898,0.004359340507958805,0.003771423469793043,7.129920324925158e-4,-0.0024998388048847898,-0.009134656550599281,-0.00949376383955675,0,0,0
EMRO,2020-01-06,774669408,0.001575850632737887,0.014886582992001293,0.013707931928261221,0.006475939895027584,5.625320186379696e-4,-0.004046338502671064,-0.006548998828802943,0,0,0
AFRO,2020-01-06,1191645942,0.02038305640237527,0.07511384322298621,0.06891939875125055,0.024061905463346578,0.00274857279297988,-0.008878845968183498,-0.01811290637762004,0,0,0
EURO,2020-01-06,933468778,-0.0017914612791001536,0.0013265841891189692,0.0012157117565691755,7.661269774251407e-5,-0.0017914612791001536,-0.002599386551929463,-0.0032132556246611006,0,0,0
AMRO,2020-01-06,1032012460,-4.7919502644598036e-4,0.0013716254917096333,0.0012509483021334272,4.64288247712949e-4,-4.7919502644598036e-4,-7.90964639717142e-4,-9.178315933169299e-4,0,0,0
WPRO,2020-01-06,1927284137,-0.05259252407872946,-0.05081511183382658,-0.051031746737451394,-0.051757653235616485,-0.05268374694760351,-0.053486320272251885,-0.05376370796196882,-1.4134580580220977,-0.05235029844526287,0
SEARO,2020-01-06,2044764457,0.011260735715886368,0.045100388111965525,0.03670566591661456,0.011634589396857718,-0.00230135279139261,-0.009806629409001776,-0.013863934431834517,0,0,0
Other,2020-01-13,44924020,-0.0025478958850252073,0.00428148381415528,0.003649546702244008,4.801833710833098e-4,-0.002759756266149828,-0.008779898575496065,-0.010334108313009353,0,0,0
EMRO,2020-01-13,774669408,0.0014129493420973987,0.015022647141613285,0.013725271356584847,0.006175050350666538,5.419574149032284e-4,-0.004531824054004082,-0.006936398227385356,0,0,0
AFRO,2020-01-13,1191645942,0.020304556989267735,0.07535404225808559,0.065980500785027,0.02490028390943792,0.002892712060803055,-0.00941712855791366,-0.01841541953623264,0,0,0
EURO,2020-01-13,933468778,-0.0018200869455304888,0.0013294030399127704,0.0012201741066836386,6.354032028524791e-5,-0.0018200869455304888,-0.0030814503215341256,-0.0034124271803070774,0,0,0
AMRO,2020-01-13,1032012460,-1.12445238364379e-4,0.0013339111604079661,0.0011422968787123536,3.3509572282498703e-4,-1.12445238364379e-4,-5.73224915965511e-4,-6.45547353384869e-4,0,0,0
WPRO,2020-01-13,1927284137,-0.06544899442000059,-0.06365580909665984,-0.0638092278599892,-0.06468499425083689,-0.06553344035382944,-0.06643898075274242,-0.06650843492423282,-1.7608270695437473,-0.06521581739050916,0
SEARO,2020-01-13,2044764457,0.011253163235691071,0.04529600640959462,0.036587225565029476,0.011253163235691071,-0.0022874376771273713,-0.009862286298389292,-0.012227412868538002,0,0,0
Other,2020-01-20,44924020,-0.003275764090470173,0.004263702849671985,0.0041518758656030955,-1.243838405270185e-4,-0.004455596222104998,-0.01012880640774314,-0.011872878930091004,0,0,0
EMRO,2020-01-20,774669408,0.006845421941869378,0.024338123101614338,0.022830027847027264,0.011163551706554314,5.582245505453633e-4,-0.007152246978332384,-0.007837527602813407,0,0,0
AFRO,2020-01-20,1191645942,0.021204983258097776,0.08968665888560767,0.07575460389674897,0.03583543638387697,0.0020081645723233426,-0.018587249119469296,-0.021275118701532838,0,0,0
EURO,2020-01-20,933468778,-0.004502604942749194,-5.511607841350345e-4,-0.0010985609252600198,-0.0031770525722276772,-0.006911940213897213,-0.008876169137650434,-0.010137207085730822,0,0,0
AMRO,2020-01-20,1032012460,-5.48841411247165e-4,0.0015283361477658084,0.0013527944703858536,7.12426001451037e-4,-5.48841411247165e-4,-0.0013083947813290365,-0.0019126861607165159,0,0,0
WPRO,2020-01-20,1927284137,-0.0806426547131928,-0.07718373902376763,-0.07748191990275496,-0.07914765376606957,-0.0806426547131928,-0.08184632592453689,-0.08222623276804869,-2.17538620042705,-0.08056985927507593,0
SEARO,2020-01-20,2044764457,0.027535005392140106,0.07018659820988367,0.06382949626146293,0.02992349429627595,-0.0030045369926516674,-0.02221214495973629,-0.02800960039910309,0,0,0
Other,2020-01-27,44924020,-0.06219582927735599,-0.05146641252778648,-0.053695542926736436,-0.057650083920627294,-0.06303266405940047,-0.06859810970347259,-0.07025847210342774,-2.135332360848517,-0.05931478780134768,0
EMRO,2020-01-27,774669408,-0.0035296069834517417,0.01623170230967884,0.01397908518204071,0.0024879115984970915,-0.009696824059197891,-0.01761077421545151,-0.02014684605306076,-0.24547490019342846,-0.011689280961591832,0
AFRO,2020-01-27,1191645942,0.024048848338473035,0.09037591375274008,0.07790186759181308,0.03425963295387418,0.0018913850568071193,-0.010454782338154701,-0.019319597741273304,0.05104839312379659,0.0010861360239105657,0
