custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Latin America and Caribbean,2020-03-02,649993496,9254.43609062812,42376.52734432151,34803.6786801268,9254.43609062812,-16085.204525491714,-30916.591883628145,-32616.32458814312,-212613.72444604195,-4724.749432134266,0
Latin America and Caribbean,2020-03-09,649993496,10114.605478454754,44525.96628847899,37335.74607998045,10114.605478454754,-15816.525663246657,-31328.396624934612,-31896.013796917065,-185120.0973722111,-4113.779941604691,1.001
Latin America and Caribbean,2020-03-16,649993496,10595.40340570366,46582.12161361285,38913.113430403086,10595.40340570366,-15994.56327871089,-31702.124323183027,-32069.326061914428,-175881.6119186971,-3908.480264859936,8.008
Latin America and Caribbean,2020-03-23,649993496,14004.335338746578,50956.59124579539,43073.34783993444,14116.639512862801,-13269.35375812432,-28937.74875749792,-29724.337914253854,-38895.57544553325,-864.3461210118496,138.019
Latin America and Caribbean,2020-06-15,649993496,237855.8241291535,281438.1074928426,271130.2920633895,237855.8241291535,197198.07157541515,180957.03445303475,175657.1881693252,9115939.333200185,202576.42962667075,105132.097
Latin America and Caribbean,2020-06-22,649993496,265606.1387376514,309085.2506511471,300144.4423162226,265606.1387376514,224569.1832896617,206503.28932482057,201989.42785219487,10201716.948705606,226704.82108234678,124280.114
Latin America and Caribbean,2020-06-29,649993496,295451.306779031,336920.3892855544,329980.58767825505,295451.306779031,253005.40974686365,234702.1714948501,229577.17595008822,11307977.001307802,251288.37780684006,142690.128
Latin America and Caribbean,2020-07-06,649993496,330306.79403706454,370123.33397703397,364287.46840044466,330306.79403706454,287435.7773683077,266094.6645779801,262101.16288325586,12615881.013587417,280352.91141305375,161174.132
Latin America and Caribbean,2020-07-13,649993496,367115.3791702824,404599.4340787833,401861.70530392544,367115.3791702824,323250.8939355308,297211.47269188386,293401.18164126395,13947590.025867034,309946.4450192674,180429.123
Latin America and Caribbean,2020-05-04,649993496,82803.06878780827,125438.61509845295,116093.62813279362,83159.33839969398,51532.06781370998,32587.73213982353,25691.910930109298,2841087.2966192616,63135.27325820581,20359.073
Latin America and Caribbean,2020-05-11,649993496,105057.58663960785,147572.69509327214,138154.79487632756,105057.58663960785,72526.81304380667,53861.966834056126,46316.59191745868,3782246.776640814,84049.92836979586,30278.066000000003
Latin America and Caribbean,2020-05-18,649993496,128759.60764503492,171719.71672017104,161696.49074134434,128759.60764503492,94775.63501008591,76738.64781516764,68552.81666554623,4787232.006662366,106382.9334813859,42010.087
Latin America and Caribbean,2020-05-25,649993496,153925.49970000458,197822.0591605869,186519.08753987183,153925.49970000458,117705.42745920502,101605.9105405854,95248.53401351094,5833900.736683917,129642.23859297595,55950.097
Latin America and Caribbean,2020-06-01,649993496,180801.87955141588,225144.21575093488,212056.78134123317,180801.87955141588,142767.84581098813,126602.1894741647,122353.26345041502,6897976.35218934,153288.3633819853,70405.097
Latin America and Caribbean,2020-06-08,649993496,209386.43713058188,253732.1088550906,242272.06359454244,209386.43713058188,170842.90207066922,154034.0762512035,149075.93889124555,8008559.467694762,177967.9881709947,87980.102
Latin America and Caribbean,2020-02-17,649993496,8708.362231813024,36424.60208031968,30481.791405771066,8708.362231813024,-15072.612537047033,-27180.746092682835,-31867.477353421295,-209704.8241129865,-4660.1072025108115,0
Latin America and Caribbean,2020-02-24,649993496,8409.923950877697,37097.58440082407,32285.436280947146,8409.923950877697,-16387.436408135105,-30213.499215125677,-33426.195861660395,-244951.63191724205,-5443.369598160934,0
Latin America and Caribbean,2021-03-01,649993496,1321184.4673230625,1375604.894461094,1363560.7715306864,1321184.4673230625,1235576.8602393602,1191607.6999994721,1190788.8675592344,46978125.939028196,1043958.3542006265,760040.225
Latin America and Caribbean,2021-03-08,649993496,1358580.4518989902,1412830.8017380403,1402210.0562696604,1358580.4518989902,1272782.4076592159,1227306.862404199,1226641.9297965548,48410967.30663134,1075799.2734806966,785300.222
Latin America and Caribbean,2021-03-15,649993496,1395253.5035061617,1448536.1077564564,1439067.2994052314,1395253.5035061617,1309208.1652309967,1263014.1584013954,1261272.8797446392,49813886.674234495,1106975.2594274331,810074.237
Latin America and Caribbean,2021-03-22,649993496,1432186.324166371,1485818.3716060945,1476131.722444984,1432186.324166371,1344944.461171882,1299091.6661168789,1296556.3578892972,51224848.29183764,1138329.9620408365,837544.246
Latin America and Caribbean,2020-03-30,649993496,21045.027677351503,57922.36426781601,50262.61441850792,21045.027677351503,-7291.613875193657,-23148.01548115219,-30161.970483465026,246999.84489859917,5488.885442191093,625.016
Latin America and Caribbean,2020-04-06,649993496,28672.60453633714,66701.04866541688,58882.22896384336,28672.60453633714,-311.5952360046192,-16974.82065662995,-24004.112778147726,561675.3104040219,12481.673564533818,1731.0159999999998
Latin America and Caribbean,2020-04-13,649993496,36425.20587946955,75956.23414720582,68497.73573979236,36425.20587946955,7018.151521692396,-10569.51838181451,-17399.220596278483,877315.2759094443,19495.89502020987,3803.0440000000003
