custom_regions,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and Caribbean,2020-01-01,655119303,1.540705370791211,8.254073507995654,7.2251982856254875,3.4213939491389773,-1.7275491423288596,-10.439290334999122,-17.82665937205753,0,0,0
Asia,2020-01-01,4666863690,-568.5538148505877,-349.30599121162044,-422.98300440897475,-568.5538148505877,-995.3748482392562,-1171.1581906364083,-1211.7991388146254,-49438.01088277774,-1008.938997607709,0
Oceania,2020-01-01,44446737,-3.0334031687510365,11.85190129624373,10.050961702657595,4.520208733387937,-4.318415531532368,-13.102086900045125,-14.60663599909231,0,0,0
European Union,2020-01-01,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-01,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-06,655119303,-1.4419018342202337,16.449143631411207,13.563800263903365,6.3421398476953454,-1.9820707998101061,-12.278464292169991,-21.09128490070327,0,0,0
Asia,2020-01-06,4666863690,-567.7203045915297,-331.2372209179294,-426.1420129249798,-567.7203045915297,-993.5680541575676,-1169.842068386959,-1214.2281798585946,-49438.01088277774,-1008.938997607709,0
Oceania,2020-01-06,44446737,-3.052225846917834,11.633860685735511,10.335055014756067,4.211749978798753,-3.8999156679145712,-13.025986161869644,-14.524686604100772,0,0,0
European Union,2020-01-06,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-06,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-13,655119303,2.1615347793501445,12.236617586400513,9.327046759829164,4.856632317117676,-1.9171202240242655,-11.344983330030589,-16.10996274374157,0,0,0
Asia,2020-01-13,4666863690,-817.877256657404,-475.9149034833818,-549.8546012496121,-817.877256657404,-1236.2091968285652,-1405.3440178524036,-1478.9181173377128,-61587.81106572635,-1256.8941033821704,0
Oceania,2020-01-13,44446737,-2.71643264775239,11.743518981017571,10.462249133658426,4.244481074407736,-3.851213077666785,-13.024979666884354,-14.524498294105841,0,0,0
European Union,2020-01-13,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-13,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-20,655119303,-2.820535691528659,18.623443341355248,15.317006772830274,8.044949143470498,-2.820535691528659,-17.313506899446935,-27.766967060161008,0,0,0
Asia,2020-01-20,4666863690,-1089.8365378181225,38.35983670630264,-85.64564402820947,-650.9941813835857,-1395.3716618272458,-2221.2196545490033,-2336.9211882381746,-76087.69573357631,-1552.8101170117616,0
Oceania,2020-01-20,44446737,-3.064849739230663,12.368774569853716,10.700440703806057,2.5318369752527605,-5.1766611211402065,-13.226803108465049,-16.191626514360003,0,0,0
European Union,2020-01-20,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-20,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-27,655119303,-166.3892175852271,-138.2196615767023,-144.84397479097137,-154.26038152610016,-166.3892175852271,-176.5971338671014,-179.49664916148612,-7878.314570633955,-164.13155355487405,0
Asia,2020-01-27,4666863690,-374.97904334275574,823.4502637908934,786.5280275514078,262.29439138781044,-562.2438315265138,-1674.542424649,-1813.3188279161345,-42598.69738019137,-869.3611710243136,13
Oceania,2020-01-27,44446737,-1.79704592794675,13.925067815960334,13.199399763890101,6.060513612860216,-3.7408277996596437,-13.104681552103903,-15.534031878709104,30.011181270437564,1.3048339682798942,0
European Union,2020-01-27,447593544,-510.91328180747985,-510.91328180747985,-510.91328180747985,-510.91328180747985,-510.91328180747985,-510.91328180747985,-510.91328180747985,-13794.658608801956,-510.91328180747985,0
North America,2020-01-27,375152636,-198.113184791636,-198.113184791636,-198.113184791636,-198.113184791636,-198.113184791636,-198.113184791636,-198.113184791636,-396.226369583272,-198.113184791636,0
Latin America and Caribbean,2020-02-03,655119303,-26.58797576346366,5.890771308522754,2.054141545449385,-5.928890722468354,-26.58797576346366,-32.29057227840843,-35.07408526272854,-713.6216102025111,-14.867116879218981,0
Asia,2020-02-03,4666863690,1188.8796550677437,2276.70502926719,2225.3515470766497,1507.9477378609035,686.4233025117326,-541.8628755450334,-901.0002743798436,32738.83450742607,668.1394797433892,49.5
Oceania,2020-02-03,44446737,-7.25821972287944,9.00362296515898,8.658115279559228,1.2121044076306178,-8.442444647733712,-17.26462533999105,-18.847216666273297,-92.90249265296754,-4.039238810998588,0
European Union,2020-02-03,447593544,-777.8573320749655,-777.8573320749655,-777.8573320749655,-777.8573320749655,-777.8573320749655,-777.8573320749655,-777.8573320749655,-21002.14796602407,-777.8573320749655,0
North America,2020-02-03,375152636,-132.256041934492,-132.256041934492,-132.256041934492,-132.256041934492,-132.256041934492,-132.256041934492,-132.256041934492,-264.512083868984,-132.256041934492,0
Latin America and Caribbean,2020-02-10,655119303,-71.81086625893556,-54.495221559579974,-58.43685389311923,-71.74838803441597,-87.17871988530246,-104.28098945146728,-108.58122128967209,-3916.764467345409,-81.59925973636268,0
Asia,2020-02-10,4666863690,-537.5727099167242,516.2661455533668,447.954737672423,-102.65540592352623,-1147.076037962413,-2400.5040479340755,-2641.1315451928895,-43798.41783615783,-893.8452619624047,83.857
Oceania,2020-02-10,44446737,13.54541218792316,34.567193851068964,31.31678358184925,23.074424498800976,13.3823457352465,7.712791359786002,4.587399505744125,383.52607877560223,16.675046903287054,0
European Union,2020-02-10,447593544,-686.1192368368748,-686.1192368368748,-686.1192368368748,-686.1192368368748,-686.1192368368748,-686.1192368368748,-686.1192368368748,-18525.21939459562,-686.1192368368748,0
North America,2020-02-10,375152636,-190.565565744014,-190.565565744014,-190.565565744014,-190.565565744014,-190.565565744014,-190.565565744014,-190.565565744014,-381.131131488028,-190.565565744014,0
Latin America and Caribbean,2020-02-17,655119303,-112.76098780105141,-97.07244599292824,-99.12510347566354,-112.76098780105141,-131.30331703770378,-148.81955987857293,-153.38387196334006,-5928.8787530597,-123.51830735541041,0
Asia,2020-02-17,4666863690,-1330.6211510411133,-159.78898407485758,-290.6051236759436,-990.3746230864397,-2090.839527441753,-3538.093731037194,-3741.75746977212,-81525.2124516592,-1663.7798459522287,122.414
Oceania,2020-02-17,44446737,8.72163264439252,29.815298451944702,26.954883262175464,17.83680044637974,8.536428076644318,1.5212362879434815,-2.0006155324061394,273.45465020417333,11.889332617572753,0
European Union,2020-02-17,447593544,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-1056.8335225511605,-28534.505108881334,-1056.8335225511605,0.3333333333333333
North America,2020-02-17,375152636,-96.04175622020671,-96.04175622020671,-96.04175622020671,-96.04175622020671,-96.04175622020671,-96.04175622020671,-96.04175622020671,-192.08351244041341,-96.04175622020671,0
Latin America and Caribbean,2020-02-24,655119303,-221.5864063289202,-172.12110161457454,-185.86599307705342,-197.37904388749155,-221.5864063289202,-240.53377228962935,-242.98871909157302,-9770.598641894634,-203.55413837280489,0
