custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Latin America and Caribbean,2020-01-01,655119303,-0.0024561324638596193,0.001557871509480288,0.0012996729208025579,5.813701619373877e-4,-0.0024561324638596193,-0.0024561324638596193,-0.002730326736539695,0,0,0
Asia,2020-01-01,4666863690,-0.006114421907863324,-0.006114421907863324,-0.006114421907863324,-0.006114421907863324,-0.02185534727685409,-0.02651038736807587,-0.0287996496160919,-1.0593412228583376,-0.021619208629761993,0
Oceania,2020-01-01,44446737,0.003508719866441186,0.02545839984388218,0.02341592329595041,0.005273384329812774,-0.011813594837350111,-0.029477207099505468,-0.03286323583009549,0,0,0
European Union,2020-01-01,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-01,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-06,655119303,-0.002434877752346816,0.0025254769853309497,0.0021434571698417185,0.0010627496031018772,-0.002434877752346816,-0.002434877752346816,-0.0032452279773677083,0,0,0
Asia,2020-01-06,4666863690,-0.006046941036543894,-0.006046941036543894,-0.006046941036543894,-0.006046941036543894,-0.02161290412130308,-0.02597414441842144,-0.028432707405086532,-1.0593412228583376,-0.021619208629761993,0
Oceania,2020-01-06,44446737,0.0035033110212809235,0.026174123109142054,0.02325423356817268,0.006766285864748101,-0.010930113276771472,-0.02930598927045431,-0.03267885920197195,0,0,0
European Union,2020-01-06,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-06,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-13,655119303,-0.0023070829816296866,0.002177990121958445,0.00164629816401963,8.747231169209038e-4,-0.0023070829816296866,-0.0023070829816296866,-0.0024750775357179865,0,0,0
Asia,2020-01-13,4666863690,-0.011359107807579875,-0.011359107807579875,-0.011359107807579875,-0.011359107807579875,-0.027099042994661985,-0.03140218796606138,-0.03360770297241197,-1.3196830924737457,-0.026932308009668275,0
Oceania,2020-01-13,44446737,0.0035033110212809235,0.026420117993896538,0.023540405574235486,0.006296222279666688,-0.011389950318498215,-0.029303724773545817,-0.032678435526337604,0,0,0
European Union,2020-01-13,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-13,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-20,655119303,-0.002336057138572602,0.004424556589904269,0.0038339142084794805,0.001604374101220499,-0.002336057138572602,-0.002841252671438681,-0.004018756415916237,0,0,0
Asia,2020-01-20,4666863690,-0.01694531087806067,0.0015189064047745565,-0.004131190987750498,-0.016843356059465544,-0.031919093688959725,-0.04909684362813131,-0.05278604221563629,-1.6303817893077635,-0.03327309774097477,0
Oceania,2020-01-20,44446737,0.0034876853841182332,0.024915011261101083,0.020231149130911064,0.004247314570487466,-0.015536203503593004,-0.02857896607074489,-0.03622993994185554,0,0,0
European Union,2020-01-20,447593544,0,0,0,0,0,0,0,0,0,0
North America,2020-01-20,375152636,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-27,655119303,-0.018416824581379162,-0.011727770438014908,-0.012029018183612433,-0.014185820859954804,-0.018416824581379162,-0.018450658388884933,-0.018552361764939313,-0.7748438351730826,-0.01614257989943922,0
Asia,2020-01-27,4666863690,-0.00204191071810901,0.016809071140317697,0.016171765129023803,0.0031381613210499613,-0.016458506216089054,-0.03179647420534531,-0.03560358036876678,-0.9133972290325743,-0.018640759776174985,2.785596679812176e-4
Oceania,2020-01-27,44446737,0.006253345889700735,0.02909220526551064,0.024011275085361022,0.008133512841982514,-0.012515785485984629,-0.029483044765516317,-0.03492908057786205,0.06752167492168788,0.0029357249965951252,0
European Union,2020-01-27,447593544,-0.11401065542890076,-0.11401065542890076,-0.11401065542890076,-0.11401065542890076,-0.11401065542890076,-0.11401065542890076,-0.11401065542890076,-3.0782876965803205,-0.11401065542890076,0
North America,2020-01-27,375152636,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.052808687926062185,-0.10561737585212437,-0.052808687926062185,0
Latin America and Caribbean,2020-02-03,655119303,0.00356159900224217,0.008552336153221714,0.008453764083574048,0.007220810954552683,0.00356159900224217,0.00356159900224217,0.0030231894818807596,0.2841240073735232,0.005919250153615067,0
Asia,2020-02-03,4666863690,0.03159782787369675,0.04816320755431469,0.04159865603369358,0.03159782787369675,0.008554272328109942,-0.007192210901121325,-0.011471943726587969,0.7003798434489791,0.014293466192836309,0.0010606695050054055
Oceania,2020-02-03,44446737,-0.005694733237848791,0.017126524039575375,0.013047020580914085,-0.0027744242362023044,-0.021970242415421278,-0.0407388215371071,-0.04239879075372122,-0.209019826703966,-0.009087818552346348,0
European Union,2020-02-03,447593544,-0.17362389298007463,-0.17362389298007463,-0.17362389298007463,-0.17362389298007463,-0.17362389298007463,-0.17362389298007463,-0.17362389298007463,-4.687845110462015,-0.17362389298007463,0
North America,2020-02-03,375152636,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.03525392846619689,-0.07050785693239378,-0.03525392846619689,0
Latin America and Caribbean,2020-02-10,655119303,-0.006774935962963872,-4.603525742113044e-4,-4.917757649858947e-4,-0.002531720551705958,-0.006774935962963872,-0.008651706560243208,-0.009312182892687457,-0.2056886310516914,-0.004285179813576905,0
Asia,2020-02-10,4666863690,-0.0035483290082080213,0.008454236935477533,0.007320290285470145,-0.0035483290082080213,-0.025284905375059747,-0.048092867494348525,-0.05223503666335074,-0.9396348950912825,-0.019176222348801685,0.001796859852146228
Oceania,2020-02-10,44446737,0.04255607942593362,0.0636008030991331,0.0627278675771414,0.04716452650876147,0.02735214687206142,0.01065326776346185,0.009353883939176636,0.8628891672646345,0.03751692031585368,0
European Union,2020-02-10,447593544,-0.15312804435405186,-0.15312804435405186,-0.15312804435405186,-0.15312804435405186,-0.15312804435405186,-0.15312804435405186,-0.15312804435405186,-4.134457197559401,-0.15312804435405186,0
North America,2020-02-10,375152636,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.050796808407342235,-0.10159361681468447,-0.050796808407342235,0
Latin America and Caribbean,2020-02-17,655119303,-0.011834483124907773,-0.006070784929243845,-0.006301034013948063,-0.008835685640797291,-0.011834483124907773,-0.01439418311773266,-0.015934705242497516,-0.5067199511003193,-0.010556665647923319,0
Asia,2020-02-17,4666863690,-0.021083413238635718,-0.009051593675837126,-0.012888398227436497,-0.021083413238635718,-0.045659877237861954,-0.07408554101637425,-0.08784628483948331,-1.748032078328948,-0.035674124047529544,0.0026230463997117515
Oceania,2020-02-17,44446737,0.0314663587207607,0.05404768066939315,0.049325624897682295,0.03680457911904763,0.014353127369920924,-3.587239235923113e-4,-0.0014150558300976015,0.6152412272787838,0.02674961857733843,0
European Union,2020-02-17,447593544,-0.23613809309765466,-0.23613809309765466,-0.23613809309765466,-0.23613809309765466,-0.23613809309765466,-0.23613809309765466,-0.23613809309765466,-6.375728513636676,-0.23613809309765466,7.447232825443373e-5
North America,2020-02-17,375152636,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.025600714750197495,-0.05120142950039499,-0.025600714750197495,0
Latin America and Caribbean,2020-02-24,655119303,-0.024521966367672867,-0.018313540242850892,-0.019718104474523008,-0.02161557221760517,-0.024758380142913355,-0.027201775988050084,-0.027791253114446517,-1.0910691525036655,-0.022730607343826367,0
Asia,2020-02-24,4666863690,-0.01875200350060963,-0.008818831281976486,-0.011582301895008577,-0.01875200350060963,-0.04391045195451251,-0.07219262781508676,-0.09955581196280755,-1.5431331690807626,-0.03149251365470944,0.002311745256909357
Oceania,2020-02-24,44446737,0.042713640128073514,0.0647773792401976,0.06107635680658245,0.045883007276176155,0.026107834703530463,0.011270321805450163,0.009272268644157948,0.87647318767435,0.03810752989888478,0
European Union,2020-02-24,447593544,-0.23159698733319337,-0.23159698733319337,-0.23159698733319337,-0.23159698733319337,-0.23159698733319337,-0.23159698733319337,-0.23159698733319337,-6.253118657996222,-0.23159698733319337,3.9097972333577714e-4
North America,2020-02-24,375152636,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.0028012572326904434,0.005602514465380887,0.0028012572326904434,0
Latin America and Caribbean,2020-03-02,655119303,0.0049668866486324405,0.014339623382668542,0.01369409355952275,0.009691768216695967,0.0049668866486324405,8.635939837233404e-4,5.242476561308771e-4,0.3153045675132462,0.0065688451565259634,0
Asia,2020-03-02,4666863690,-0.07635342431681394,-0.05489708546790465,-0.05658750150661116,-0.07556142238686225,-0.10094756974603725,-0.13075024235697075,-0.14053849436617966,-2.607926390092013,-0.05322298755289822,0.0012259410987853386
Oceania,2020-03-02,44446737,0.0030826797745176176,0.025213072444431803,0.021554709963008064,0.0076366892565744955,-0.012523573491312036,-0.03278260293676918,-0.03912524032247316,0.009581308105345965,4.165786132759115e-4,0.0011249419726806942
European Union,2020-03-02,447593544,-0.13192637907364424,-0.13192637907364424,-0.13192637907364424,-0.13192637907364424,-0.13192637907364424,-0.13192637907364424,-0.13192637907364424,-3.5620122349883943,-0.13192637907364424,0.0015002450526855678
North America,2020-03-02,375152636,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.009034389319486559,0.018068778638973118,0.009034389319486559,5.331163393451406e-4
Latin America and Caribbean,2020-03-09,655119303,0.003819511096566695,0.01575599945608309,0.014176099282649216,0.009944397136956575,0.003819511096566695,-0.0010120963352593926,-0.0013004165796676307,0.2871831901419861,0.005982983127958044,1.5264395285266078e-4
Asia,2020-03-09,4666863690,-0.01546197503733828,-0.004851040672574264,-0.010534196165646086,-0.01546197503733828,-0.05519692193194588,-0.09327794299737703,-0.1029710735640997,-0.6591578562173322,-0.013452201147292496,0.0012703392243281911
Oceania,2020-03-09,44446737,0.012140048610412358,0.030538735174887224,0.02911981806761404,0.012842289695437588,-0.004982230843064323,-0.026100591590881714,-0.03109648230676959,0.18552223263260575,0.008066184027504596,6.43466808373357e-4
European Union,2020-03-09,447593544,0.14411488061504654,0.14411488061504654,0.14411488061504654,0.14411488061504654,0.14411488061504654,0.14411488061504654,0.14411488061504654,3.891101776606257,0.14411488061504654,0.01540244140191024
North America,2020-03-09,375152636,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.009925455200962826,0.019850910401925652,0.009925455200962826,8.75910145544066e-4
Latin America and Caribbean,2020-03-16,655119303,-0.016507310996664113,-0.0036648139925991546,-0.005050461364523075,-0.009959686842720101,-0.016507310996664113,-0.018711667266363283,-0.02465972272781969,-0.428812896364459,-0.008933602007592896,5.467197578006134e-4
Asia,2020-03-16,4666863690,-0.013594387869366545,0.005511984960249407,-0.0029713522620128502,-0.013594387869366545,-0.05370531464246917,-0.08344417063858325,-0.10907607146180155,-0.9579389375266248,-0.019549774235237242,0.002405255594683975
Oceania,2020-03-16,44446737,0.04822435394901601,0.07762003559537081,0.06736487115581524,0.05016589882214742,0.028922465326022814,0.008689767177790879,0.003992544795167913,1.0031300583769287,0.04361435036421429,0
European Union,2020-03-16,447593544,0.5442483169837004,0.5442483169837004,0.5442483169837004,0.5442483169837004,0.5442483169837004,0.5442483169837004,0.5442483169837004,14.694704558559913,0.5442483169837004,0.07061369351058677
North America,2020-03-16,375152636,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.053046951106280285,0.10609390221256057,0.053046951106280285,0.002970257684661451
Latin America and Caribbean,2020-03-23,655119303,0.0414389236864215,0.05588531207674094,0.05388761869634445,0.047965994099490386,0.0414389236864215,0.037070668213684196,0.03309712367214199,2.4391838049935752,0.05081632927069949,0.002773845911238552
Asia,2020-03-23,4666863690,-0.013889540682019553,0.014135537419398759,0.008289525397032075,-0.013889540682019553,-0.04120878157810065,-0.0718572397515241,-0.08133537617287799,0.7019677447262249,0.01432587234135153,0.0037802404009504437
Oceania,2020-03-23,44446737,0.05021002244836503,0.07715233995821609,0.0691734893946853,0.051593379212522945,0.030875346644966044,0.01224782791065604,0.0037453497545620103,1.0859257875662294,0.04721416467679258,0.0012846837328013526
European Union,2020-03-23,447593544,0.9682822640480847,0.9682822640480847,0.9682822640480847,0.9682822640480847,0.9682822640480847,0.9682822640480847,0.9682822640480847,26.14362112929829,0.9682822640480847,0.22860025880980983
North America,2020-03-23,375152636,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.23020151067067016,0.4604030213413403,0.23020151067067016,0.027341138021485207
Latin America and Caribbean,2020-03-30,655119303,0.11499278086707762,0.1276161893828916,0.12524349208089824,0.11997086328907594,0.11148475920099647,0.1045814783314204,0.1030322177003484,5.886459946171724,0.12263458221191094,0.008650892502654078
Asia,2020-03-30,4666863690,-0.0545982847283023,-0.031190759437436096,-0.03743524377003124,-0.05436919771322649,-0.09071898100347103,-0.12563050302900977,-0.1276849299608552,-0.2986077123031326,-0.006094034944961889,0.004536415618630022
Oceania,2020-03-30,44446737,0.07251421936794422,0.1023550148388193,0.08753916891264898,0.07251421936794422,0.050106649493862905,0.030473925448162183,0.021180625752051426,1.631490503117147,0.07093436970074553,0.004340026130602118
European Union,2020-03-30,447593544,1.1506147803161417,1.1506147803161417,1.1506147803161417,1.1506147803161417,1.1506147803161417,1.1506147803161417,1.1506147803161417,31.06659906853583,1.1506147803161417,0.48822978554847074
North America,2020-03-30,375152636,0.6032687089966926,0.6032687089966926,0.6032687089966926,0.6032687089966926,0.6032687089966926,0.6032687089966926,0.6032687089966926,1.2065374179933852,0.6032687089966926,0.13624907596277694
Latin America and Caribbean,2020-04-06,655119303,0.12248385926111478,0.13500574615381922,0.132720225136549,0.12781167356620915,0.11882893004461513,0.11337585931994333,0.10966886200383655,6.278969816433816,0.1308118711757045,0.02473366290048089
Asia,2020-04-06,4666863690,-0.04594750755528831,-0.02224212225613903,-0.02744036442307008,-0.04594750755528831,-0.08935201390897364,-0.11545763398930574,-0.12576531138776906,-0.34873358795994847,-0.007117011999182621,0.006284498958657179
Oceania,2020-04-06,44446737,0.0442580766894782,0.0742974345010077,0.0648299556964801,0.044738222483961136,0.0235338453223571,0.005098715771449797,-0.016335525864068706,0.9130102138962493,0.03969609625635867,0.008358318857017558
European Union,2020-04-06,447593544,1.0021447767949052,1.0021447767949052,1.0021447767949052,1.0021447767949052,1.0021447767949052,1.0021447767949052,1.0021447767949052,27.05790897346244,1.0021447767949052,0.6668597078781815
North America,2020-04-06,375152636,0.8916237210007782,0.8916237210007782,0.8916237210007782,0.8916237210007782,0.8916237210007782,0.8916237210007782,0.8916237210007782,1.7832474420015565,0.8916237210007782,0.40474965501775123
Latin America and Caribbean,2020-04-13,655119303,0.12459523364757023,0.13951172892122707,0.13428924261586928,0.1297570490098181,0.12028182345887398,0.11513721568903969,0.11121441504053069,6.367764984436105,0.1326617705090855,0.04511788900837807
Asia,2020-04-13,4666863690,-0.04971463411630397,-0.01572064875471608,-0.027726026620566408,-0.04971463411630397,-0.0907050125019294,-0.12390683207190845,-0.1321613659996926,-0.41927260985282955,-0.00855658387454754,0.0073956520465674885
Oceania,2020-04-13,44446737,0.01885114646425311,0.041146064898973024,0.03347025555674564,0.01885114646425311,-0.0020829947526503963,-0.017134903457152482,-0.042687996643390104,0.3349186047352521,0.01456167846675009,0.009321269185632232
European Union,2020-04-13,447593544,0.681726520589799,0.681726520589799,0.681726520589799,0.681726520589799,0.681726520589799,0.681726520589799,0.681726520589799,18.40661605592457,0.681726520589799,0.6616337611875832
North America,2020-04-13,375152636,0.848890638428409,0.848890638428409,0.848890638428409,0.848890638428409,0.848890638428409,0.848890638428409,0.848890638428409,1.697781276856818,0.848890638428409,0.6039067255814244
Latin America and Caribbean,2020-04-20,655119303,0.16665368634041514,0.18234557136832227,0.17767898213045533,0.17184619421268932,0.16266148765543348,0.1563854934097708,0.15338435996144573,8.354439114580867,0.1740508148871014,0.06894087808613998
Asia,2020-04-20,4666863690,-0.0568981655708041,-0.021647902163837832,-0.03434363955233126,-0.05441407341675099,-0.09000208739624933,-0.142178288682198,-0.14552827716902586,-0.5815627580786926,-0.011868627715891686,0.007680340027244293
Oceania,2020-04-20,44446737,6.036030126356188e-4,0.021633499891433976,0.016807035907423586,6.036030126356188e-4,-0.024611109842014683,-0.03996660964338487,-0.05628166050614884,-0.04505465243706447,-0.0019588979320462815,0.0038563010823494197
European Union,2020-04-20,447593544,0.3738642989283899,0.3738642989283899,0.3738642989283899,0.3738642989283899,0.3738642989283899,0.3738642989283899,0.3738642989283899,10.094336071066529,0.3738642989283899,0.5890549663513467
North America,2020-04-20,375152636,0.7759984029445222,0.7759984029445222,0.7759984029445222,0.7759984029445222,0.7759984029445222,0.7759984029445222,0.7759984029445222,1.5519968058890443,0.7759984029445222,0.6300672774694298
Latin America and Caribbean,2020-04-27,655119303,0.2091446347558227,0.22478980273060264,0.22317862899025287,0.21420910441949173,0.20455411371009677,0.199578790188929,0.19789203168319544,10.360843565945812,0.2158509076238711,0.11022541950652918
