region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and the Caribbean,2020-01-01,658613257,-2.5787333746815078,13.18169418778237,11.311437941534498,3.125316308710183,-3.1715648331165522,-7.3514431510070235,-12.198816157117133,0,0,0
Southern Asia,2020-01-01,1962272390,722.9400802455747,734.6884623113092,722.9400802455747,722.9400802455747,-36.95725213083138,-185.1982069398493,-310.84680776793425,0,0,0
Sub-Saharan Africa,2020-01-01,1121670004,423.75845230350495,807.1033861619597,548.8323404507762,423.75845230350495,5.6193696292610955,-160.59957536169622,-250.66959031474056,0,0,0
Southern Europe,2020-01-01,150192351,-6.263362446599968e-4,6.426445216799998e-4,4.279144914800015e-4,9.005185560001722e-6,-6.263362446599968e-4,-8.482183586800035e-4,-0.0011735343684400018,0,0,0
Western Asia,2020-01-01,284170120,-13.085328765091386,26.997726108718112,18.9821852932872,7.743568206105052,-13.085328765091386,-28.133219374085225,-35.33946848706579,0,0,0
Australia and New Zealand,2020-01-01,30914517,0,0,0,0,0,0,0,0,0,0
Western Europe,2020-01-01,198599053,0,0,0,0,0,0,0,0,0,0
Eastern Europe,2020-01-01,292475148,0,0,0,0,0,0,0,0,0,0
Northern America,2020-01-01,371107718,-0.004175165597354979,0.0031846476335599954,0.0020710046056799966,-1.4501715060002767e-4,-0.004175165597354979,-0.00645886655415002,-0.00829844459539,0,0,0
South-eastern Asia,2020-01-01,674675391,52.27759957096085,251.43276177487482,185.48645123213117,65.47406872330713,-14.596466713035191,-60.29455435209717,-83.22566474196572,0,0,0
Eastern Asia,2020-01-01,1658782555,-1017.1609187893589,-995.5549263190089,-1003.034430157009,-1010.2254640329089,-1017.642897554209,-1039.3861065709089,-1050.289342295009,-7062.572983253963,-1008.938997607709,0
Polynesia,2020-01-01,633057,-0.13754683922521518,0.12471393296090952,0.08991704626076968,0.011310567011190247,-0.13754683922521518,-0.14029879987683128,-0.18092275846229944,0,0,0
Northern Europe,2020-01-01,106727166,-0.15486090177843453,0.1177835906293804,0.056152090042351124,-0.011367445355000493,-0.15486090177843453,-0.20459434676501012,-0.24087335527313994,0,0,0
Northern Africa,2020-01-01,250635265,5.191505555372585,18.57404728250575,17.03857504104033,7.972250297525077,-1.6900437736809828,-9.992149106711597,-12.551607095279305,0,0,0
