region,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Latin America and the Caribbean,2020-01-01,654992992,14.532351750081917,59.55030657817279,50.52657024666437,23.927993562663673,-12.504623724734873,-72.67371417668943,-125.27178219261329,0,0,0
Southern Asia,2020-01-01,1989452477,3454.779595685622,3565.1448468005938,3454.779595685622,3454.779595685622,-103.91660699514861,-1065.3620582611884,-1180.264927935179,0,0,0
Sub-Saharan Africa,2020-01-01,1136656566,1850.794001197917,3973.158289592047,3645.52477813557,1988.9919814763598,216.40670910987194,-1473.241719406554,-1963.4964043777604,0,0,0
Southern Europe,2020-01-01,150043376,-0.004120427348023701,0.0019438568363200097,0.001439485886020014,1.2288604649971712e-5,-0.004120427348023701,-0.00430190984797001,-0.01090396243685002,0,0,0
Western Asia,2020-01-01,289775883,8.064038549661445,236.28624469663782,222.22570754040714,92.03346886628579,-89.87378120312388,-186.22293466959093,-204.5097518234642,0,0,0
Australia and New Zealand,2020-01-01,31050817,0,0,0,0,0,0,0,0,0,0
Western Europe,2020-01-01,198272204,0,0,0,0,0,0,0,0,0,0
Eastern Europe,2020-01-01,291464163,0,0,0,0,0,0,0,0,0,0
Northern America,2020-01-01,375278947,-0.04008445853958839,0.020424013865009895,0.018108300811649918,-2.7337883306984223e-4,-0.04008445853958839,-0.06308764681904991,-0.13013307353424042,0,0,0
South-eastern Asia,2020-01-01,675308604,1397.8772482850666,2063.8129931119593,1687.2772936459414,1397.8772482850666,-51.783505079470565,-372.9337039564355,-493.6387998705044,0,0,0
Eastern Asia,2020-01-01,1613865100,-7062.572983253963,-7062.572983253963,-7062.572983253963,-7062.572983253963,-7062.572983253963,-7062.572983253963,-7062.572983253963,-42375.43789952378,-7062.572983253963,0
Polynesia,2020-01-01,672480,-0.9282413266969003,1.309534790665928,0.7998793079867057,0.10620286344171558,-0.9282413266969003,-1.5554589442986329,-1.9502863536838593,0,0,0
Northern Europe,2020-01-01,106197356,-1.3024428515455633,0.42379960065352074,0.3531662684774748,-0.18279838415509947,-1.3024428515455633,-1.796458958756068,-1.864418556727503,0,0,0
Northern Africa,2020-01-01,255737737,56.10784321036836,105.75380528629564,100.51611644507452,56.43935212661883,-14.712106009204247,-53.340776003625045,-68.39202654266691,0,0,0
Melanesia,2020-01-01,12188834,-9.501034792279713,78.80084869638866,72.69589266225793,35.50823847075058,-25.68682295034695,-92.08902021385566,-99.10390330495228,0,0,0
