region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Latin America and the Caribbean,2020-01-01,658613257,-3.5716561225115966e-4,0.0020126498446754663,0.0017122784408607518,4.8529020378555574e-4,-3.611506861689116e-4,-9.78306564089057e-4,-0.0015490107332868667,0,0,0
Southern Asia,2020-01-01,1962272390,0.03816178766664838,0.03816178766664838,0.03816178766664838,0.03816178766664838,-0.0023283347397263766,-0.010173590597258001,-0.01470737792141323,0,0,0
Sub-Saharan Africa,2020-01-01,1121670004,0.03867801200339555,0.060649061132860775,0.046601679991134744,0.03867801200339555,0.0012097565874922781,-0.015312980730438823,-0.02502336088271647,0,0,0
Southern Europe,2020-01-01,150192351,-4.151233873288247e-7,6.76395657326116e-7,2.980698509473373e-7,2.0177335395727904e-8,-4.151233873288247e-7,-7.021994715563084e-7,-1.0062404107117277e-6,0,0,0
Western Asia,2020-01-01,284170120,-0.004545313408592279,0.006640278244807547,0.006236470295126191,0.0029550223870817047,-0.004545313408592279,-0.009027835328890095,-0.011851217089452434,0,0,0
Australia and New Zealand,2020-01-01,30914517,0,0,0,0,0,0,0,0,0,0
Western Europe,2020-01-01,198599053,0,0,0,0,0,0,0,0,0,0
Eastern Europe,2020-01-01,292475148,0,0,0,0,0,0,0,0,0,0
Northern America,2020-01-01,371107718,-1.1135770621334765e-6,9.716779890926443e-7,5.36772499775931e-7,-4.53396315594734e-8,-1.1135770621334765e-6,-2.017467264148903e-6,-2.5850751571650143e-6,0,0,0
South-eastern Asia,2020-01-01,674675391,0.022727958504901884,0.0435855574423243,0.02998888093918789,0.022727958504901884,-0.0022414986208044176,-0.008230046915408035,-0.010756767440414847,0,0,0
Eastern Asia,2020-01-01,1658782555,-0.06132447554765,-0.06001765652229257,-0.06046157729191992,-0.06088403291544798,-0.06132447554765,-0.06238974883071452,-0.06304895393531607,-0.4257684626574797,-0.060824066093925676,0
Polynesia,2020-01-01,633057,-0.02192425624187791,0.01754188717169552,0.012737182643382604,0.002453397627654333,-0.02192425624187791,-0.02192425624187791,-0.022736849046952987,0,0,0
Northern Europe,2020-01-01,106727166,-1.4457528246213783e-4,1.2364201103576565e-4,7.336808902929119e-5,-2.9471344087407176e-6,-1.4457528246213783e-4,-1.7289544301386282e-4,-2.2569076299949718e-4,0,0,0
Northern Africa,2020-01-01,250023393,0.00233773696726986,0.00837885143251163,0.006683023600869988,0.003233928960482834,-3.083975040074235e-4,-0.003973480112208098,-0.00448940635989213,0,0,0
Melanesia,2020-01-01,11328580,-0.03592990179560188,0.09196538385410162,0.07271501769825837,0.01910704740563756,-0.04162776596498903,-0.08374441029206592,-0.10537096524215603,0,0,0
Micronesia,2020-01-01,554402,-0.02209010370398273,0.1283728271448929,0.10543242161575889,0.03236762948229482,-0.03867063899915202,-0.10649961971715725,-0.12276262709588029,0,0,0
Central Asia,2020-01-01,75250695,-5.608471316311442e-4,0.002159009747298662,0.0018142257956288567,6.025254744823317e-4,-5.608471316311442e-4,-0.0015158305502958964,-0.001982629837956989,0,0,0
Other,2020-01-01,23855008,0,0,0,0,0,0,0,0,0,0
Latin America and the Caribbean,2020-01-06,658613257,1.0454062726692463e-4,0.0029942216453024894,0.002569349283973484,0.001359700506442427,-9.151950288957578e-5,-0.0012460822544165195,-0.0016490534787013923,0,0,0
Southern Asia,2020-01-06,1962272390,0.038291459493775624,0.038291459493775624,0.038291459493775624,0.038291459493775624,-0.002543125012697511,-0.009938384295228192,-0.014647869139148652,0,0,0
Sub-Saharan Africa,2020-01-06,1121670004,0.038905717660301264,0.059745985654751844,0.04645396257001167,0.038905717660301264,0.0010663442195086095,-0.01727765870327172,-0.027505745276139974,0,0,0
Southern Europe,2020-01-06,150192351,-4.151233873288247e-7,6.76395657326116e-7,2.980698509473373e-7,2.0177335395727904e-8,-4.151233873288247e-7,-7.021994715563084e-7,-1.0062404107117277e-6,0,0,0
Western Asia,2020-01-06,284170120,-0.004687681492962495,0.006924279672460993,0.006583559868648992,0.0027743950060894573,-0.004687681492962495,-0.008986201829635871,-0.011216939755712913,0,0,0
Australia and New Zealand,2020-01-06,30914517,0,0,0,0,0,0,0,0,0,0
Western Europe,2020-01-06,198599053,0,0,0,0,0,0,0,0,0,0
Eastern Europe,2020-01-06,292475148,0,0,0,0,0,0,0,0,0,0
Northern America,2020-01-06,371107718,-1.1135770621334765e-6,9.428762440047118e-7,5.402919123740765e-7,-3.894653533182558e-8,-1.1135770621334765e-6,-1.9919519349069475e-6,-2.5850751571650143e-6,0,0,0
South-eastern Asia,2020-01-06,674675391,0.023174491273965866,0.04392789742604866,0.028963319968060345,0.023174491273965866,-0.0019326230780989573,-0.00808793973313565,-0.010543560807840928,0,0,0
