continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"W. Europe, NA, and Aus/NZ",2020-01-01,1062311981,-0.05607864591505984,0.023585140046309967,0.0124495887659401,-0.004422726988560312,-0.05607864591505984,-0.05607864591505984,-0.057206803230270144,0,0,0
"W. Europe, NA, and Aus/NZ",2020-01-06,1062311981,-0.056190750671034836,0.023612120259719965,0.012580779858450093,-0.004374012604530312,-0.056190750671034836,-0.056190750671034836,-0.05710796621589014,0,0,0
"W. Europe, NA, and Aus/NZ",2020-01-13,1062311981,-0.056100885564384834,0.023670145176479966,0.01235547255852009,-0.005167646107230134,-0.056100885564384834,-0.056100885564384834,-0.057247905290700146,0,0,0
"W. Europe, NA, and Aus/NZ",2020-01-20,1062311981,-0.10174707346970951,-0.010986964217310071,-0.03014077284864038,-0.07429534651053012,-0.21296039487219043,-0.3134298133828195,-0.3401984624334609,0,0,0
"W. Europe, NA, and Aus/NZ",2020-01-27,1062311981,-911.927694038145,-911.8292862593698,-911.8306951404323,-911.927694038145,-912.0781501621607,-912.159399430121,-912.1674205132925,-41943.121823524016,-911.8069961635655,0
"W. Europe, NA, and Aus/NZ",2020-02-03,1062311981,-1093.0639903935344,-1092.9135193993495,-1092.9313939334743,-1093.0529460279454,-1093.19228291365,-1093.2894297287671,-1093.2948521179585,-50274.76711193923,-1092.929719824766,0
"W. Europe, NA, and Aus/NZ",2020-02-10,1062311981,-1081.414046402341,-1081.2822014607975,-1081.3239877379885,-1081.414046402341,-1081.5460281512699,-1081.6271006813076,-1081.6309283549954,-49739.19568336799,-1081.2868626819127,0
"W. Europe, NA, and Aus/NZ",2020-02-17,1062311981,-1389.185551984476,-1389.009868265222,-1389.0147421748918,-1389.185551984476,-1389.3392729637185,-1389.4160568509453,-1389.4240891806344,-63897.00996908241,-1389.0654341104873,0.3333333333333333
"W. Europe, NA, and Aus/NZ",2020-02-24,1062311981,-1277.669283580171,-1277.3906099654641,-1277.416172617654,-1277.5496288001193,-1277.7960322791994,-1277.9279162533498,-1277.940974367644,-58767.316607343055,-1277.550361029197,1.75
"W. Europe, NA, and Aus/NZ",2020-03-02,1062311981,-801.1135096821254,-800.8500623390252,-800.9129753687415,-801.082495482856,-801.2965596808715,-801.3960795622701,-801.4028091530578,-36845.343238925314,-800.985722585333,9.548333333333334
"W. Europe, NA, and Aus/NZ",2020-03-09,1062311981,559.3918475251147,559.6606698581905,559.5870445715121,559.4338631662351,559.2457261690915,559.1455357027229,559.0993675509172,25737.262475360254,559.5057059860925,73.76233333333333
"W. Europe, NA, and Aus/NZ",2020-03-16,1062311981,2503.6300842117857,2503.8435111417125,2503.816066855839,2503.6771085813393,2503.525825162022,2503.398595415257,2503.3668193514927,115170.98818964681,2503.7171345575393,342.8763333333333
"W. Europe, NA, and Aus/NZ",2020-03-23,1062311981,5344.508543060717,5344.824802377163,5344.790291719742,5344.594027583598,5344.417529193906,5344.302948323755,5344.247779773756,245850.67961821752,5344.579991700381,1191.4753333333333
"W. Europe, NA, and Aus/NZ",2020-03-30,1062311981,8416.8756971538,8417.125597708422,8417.08582811532,8416.962604461423,8416.732512702145,8416.594673268588,8416.533476960487,387158.6053325031,8416.491420271806,3002.5
"W. Europe, NA, and Aus/NZ",2020-04-06,1062311981,9229.679326108804,9229.905146277122,9229.881097554071,9229.746671005432,9229.545717902618,9229.408531624571,9229.380411072681,424555.3504016286,9229.464139165839,5255.773666666667
"W. Europe, NA, and Aus/NZ",2020-04-13,1062311981,8293.460000294948,8293.728923400055,8293.711848594505,8293.567900067823,8293.383417106868,8293.229529202883,8293.198522280676,381479.24183019926,8293.02699630868,6305.359
"W. Europe, NA, and Aus/NZ",2020-04-20,1062311981,6832.103588886306,6832.771392060846,6832.693139379325,6832.3561686362455,6831.984797560979,6831.7767344184585,6831.718848771277,314222.1161159137,6830.9155677372555,5998.191333333333
"W. Europe, NA, and Aus/NZ",2020-04-27,1062311981,5066.3034456877185,5066.955957198238,5066.814395138606,5066.503139360639,5066.2765253641655,5066.134851563618,5066.115654254409,233012.7961159143,5065.495567737267,5103.002
