region,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America & Caribbean,2020-01-01,658613257,1.063457867380865,11.85557242159365,10.951707682841095,3.1056177996318173,-3.3941497199516624,-12.198781690538752,-13.831357858690701,0,0,0
South Asia,2020-01-01,1877243630,665.6277562232038,1017.2210294628505,734.6884623113092,665.6277562232038,-36.95725213083138,-161.7584805652572,-290.9849015095427,0,0,0
Sub-Saharan Africa,2020-01-01,1165571063,476.76392240228705,962.6658675915859,692.0752517888202,476.76392240228705,18.47608580452705,-158.056637931314,-246.14241691590496,0,0,0
Europe & Central Asia,2020-01-01,925895167,-18.16705032309196,12.855367543722922,6.697001946092503,-1.2228072673776125,-18.16705032309196,-24.808776387444528,-28.091176741699773,0,0,0
Middle East & North Africa,2020-01-01,472721233,17.799938262610336,34.59316289492297,26.628768711454267,17.799938262610336,-3.5870088370685895,-17.746859150024004,-21.00662211156287,0,0,0
East Asia & Pacific,2020-01-01,2375062416,-855.7650134127624,-677.1880678596932,-747.793770500299,-855.7650134127624,-1022.449659075185,-1075.9494079980718,-1093.1307294196945,-40357.55990430836,-1008.938997607709,0
North America,2020-01-01,371050850,-0.004623186188599984,0.00273506162971001,0.0019372072024399943,-1.958263619299692e-4,-0.004623186188599984,-0.01640343090099006,-0.025133244703920008,0,0,0
Other,2020-01-01,2411176,-0.25228732021437794,1.1315227316458232,0.7491353339162711,0.1577710905129321,-0.2713201532426412,-1.2597205993926912,-1.9219921085655616,0,0,0
Latin America & Caribbean,2020-01-06,658613257,2.00434375443728,17.26118428708555,15.864852087602342,8.29740404775289,-1.7119217094218744,-10.508683068380469,-14.13081936843268,0,0,0
South Asia,2020-01-06,1877243630,664.5151167407492,1003.6667956855108,736.4703365815914,664.5151167407492,-36.79363006105727,-172.26397367709401,-283.39686928311824,0,0,0
