region,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Latin America & Caribbean,2020-01-01,660258572,6.453375652365578e-4,0.0020579924438737063,0.0018778837242840365,6.453375652365578e-4,-3.6329441548648664e-4,-0.0015088805545181514,-0.001762315815505337,0,0,0
South Asia,2020-01-01,1918999115,0.027633844654458044,0.046929417823851384,0.03214261324031288,0.027633844654458044,-0.0030715580194340627,-0.010411795473684853,-0.017169560683755927,0,0,0
Sub-Saharan Africa,2020-01-01,1211214422,0.035088720936967056,0.0993365634497059,0.08698209932290407,0.035088720936967056,0.004537060402518245,-0.0070417255809687345,-0.010783391442032688,0,0,0
Europe & Central Asia,2020-01-01,923927595,-2.4787278231161507e-4,2.925658970203697e-4,2.637773205087284e-4,7.438899691220262e-5,-2.4787278231161507e-4,-4.510497900809881e-4,-5.64342989470003e-4,0,0,0
Middle East & North Africa,2020-01-01,493379661,0.0012896600979865733,0.005697710789804826,0.0053610740275589755,0.00230243821207109,-6.94598201859608e-4,-0.003538124384071479,-0.004718313303529993,0,0,0
East Asia & Pacific,2020-01-01,2362944397,-0.038578839675869246,-0.02442663507492849,-0.029373913081562866,-0.03781049717742393,-0.04350675589462164,-0.045640337483250845,-0.04598758285552303,-1.7506336143345176,-0.042698380837427254,0
North America,2020-01-01,376814276,-1.8287147481893782e-6,9.235568150554906e-7,5.843655443139276e-7,-1.413998225481195e-7,-1.8287147481893782e-6,-1.8287147481893782e-6,-1.884596333274274e-6,0,0,0
Other,2020-01-01,3675292,-0.014772219392932924,0.10413829155598821,0.08192361232710003,0.021118620206247957,-0.014772219392932924,-0.03465334129714729,-0.038886562383449154,0,0,0
Latin America & Caribbean,2020-01-06,660258572,4.023681723445848e-4,0.0023026724521104124,0.00215102308792968,6.162211096983017e-4,-4.405260935191573e-4,-0.0013319486178795877,-0.0019045474066400694,0,0,0
South Asia,2020-01-06,1918999115,0.027605062833139352,0.04700843286431037,0.030594773923585013,0.027605062833139352,-0.0036261795762244074,-0.010490392418926037,-0.017071693213573096,0,0,0
Sub-Saharan Africa,2020-01-06,1211214422,0.03507249140567189,0.0977820686742054,0.08681817002609422,0.03507249140567189,0.004136948539170803,-0.010548730531763098,-0.015492286274728304,0,0,0
Europe & Central Asia,2020-01-06,923927595,-2.3463546634145492e-4,2.762657256258418e-4,2.7056145448591483e-4,6.435681353922082e-5,-2.3463546634145492e-4,-4.795654312909081e-4,-5.780890602337525e-4,0,0,8.117519208850993e-5
Middle East & North Africa,2020-01-06,493379661,0.0012872777045814378,0.006321915965998825,0.005678497080320813,0.002365804892647705,-7.165375192910865e-4,-0.0035704030959944847,-0.004730291874059876,0,0,0
East Asia & Pacific,2020-01-06,2362944397,-0.038541949925421246,-0.023478758593509255,-0.02942414365335646,-0.03832361773030941,-0.04347698926295969,-0.045171496485851434,-0.045410935911473084,-1.7506336143345176,-0.042698380837427254,0
North America,2020-01-06,376814276,-1.8287147481893782e-6,9.88035901657285e-7,7.548398043841674e-7,-1.357838430065215e-7,-1.8287147481893782e-6,-1.8287147481893782e-6,-2.120749078094927e-6,0,0,0
Other,2020-01-06,3675292,-0.015383487866254932,0.10357499302954018,0.08179695052523422,0.02015144103769496,-0.015383487866254932,-0.035064583633257186,-0.039265745975618986,0,0,0
Latin America & Caribbean,2020-01-13,660258572,6.99527980671618e-4,0.002501398366337691,0.0018474567226645883,6.99527980671618e-4,-4.7671933297618906e-4,-0.001272337894375833,-0.001915187237923632,0,0,0
South Asia,2020-01-13,1918999115,0.027746067945891167,0.04704661237972607,0.035478958571163836,0.027746067945891167,-0.0038119933953143477,-0.013178122267720036,-0.01708023122174045,0,0,0
Sub-Saharan Africa,2020-01-13,1211214422,0.03578640686479246,0.10451679260776818,0.08713965079962967,0.03578640686479246,0.004416961409481745,-0.008720093068591938,-0.011116841959866385,0,0,0
Europe & Central Asia,2020-01-13,923927595,-2.5133117513779845e-4,3.2357708894295475e-4,2.784540574878611e-4,4.714590338851381e-5,-2.676679344139987e-4,-5.270528423117142e-4,-6.289840773261992e-4,0,0,0
Middle East & North Africa,2020-01-13,493379661,0.0012926170398234406,0.006182071274899772,0.005586230150299251,0.0021461450599731756,-8.564610302417363e-4,-0.003753128274416896,-0.005116876049608018,0,0,0
East Asia & Pacific,2020-01-13,2362944397,-0.049057506226271676,-0.03234200203290819,-0.03783715418640733,-0.047574876916104354,-0.053666233374197826,-0.05579867306985077,-0.05625385389315816,-2.1808663083268054,-0.05319186117870257,6.051771687118543e-6
North America,2020-01-13,376814276,-1.8563091439826522e-6,9.243710320571846e-7,6.778901130858374e-7,-3.0768855056595645e-7,-1.8563091439826522e-6,-2.230506760603718e-6,-2.5071567356035993e-6,0,0,0
Other,2020-01-13,3675292,-0.01477249798983483,0.10423855659707744,0.08191332915516976,0.020097127803064083,-0.01477249798983483,-0.035348400082795065,-0.03888091832852155,0,0,0
Latin America & Caribbean,2020-01-20,660258572,2.1795400173970454e-4,0.002834441034673049,0.0026035546883769116,0.0010965176815045665,-6.891909481183306e-4,-0.002276981052279945,-0.0026028138081277564,0,0,0
South Asia,2020-01-20,1918999115,0.029892683600489415,0.0527207623222546,0.04896983721142994,0.029892683600489415,-0.007386963879978344,-0.0254710877817997,-0.027883116782551124,0,0,0
Sub-Saharan Africa,2020-01-20,1211214422,0.032693919090129614,0.10797708149521155,0.09378033125836491,0.03882471602970664,0.004342230861411614,-0.009245922788362296,-0.011723378575427535,0,0,0
Europe & Central Asia,2020-01-20,923927595,-3.4634024322832425e-4,4.442043279121753e-4,3.9933532569700134e-4,2.271185336484292e-5,-4.286937265758467e-4,-9.164764533895054e-4,-0.0010568281287183607,0,0,0
Middle East & North Africa,2020-01-20,493379661,3.9634688853490196e-4,0.005624100946764607,0.005312101405331604,0.002984821267054778,-0.0019416177819690595,-0.004617445831185429,-0.005081620100995073,0,0,0
East Asia & Pacific,2020-01-20,2362944397,-0.061309744903053597,-0.04205712410441556,-0.04699970244456609,-0.05342516688070266,-0.06581456822463233,-0.06866767207283155,-0.06910287361311826,-2.694317093466598,-0.06571505106016093,1.815531506135563e-5
