continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
W. Europe,2020-01-01,530152257,-0.03876769881400524,0.028680203007870088,0.016096409654369894,-0.003148720588380078,-0.03876769881400524,-0.06003767120622015,-0.06756967892048951,0,0,0
W. Europe,2020-01-06,530152257,-0.03876769881400524,0.028458755297100093,0.016019601317669895,-0.00291547053651043,-0.03876769881400524,-0.06003588366380997,-0.06771256979573952,0,0,0
W. Europe,2020-01-13,530152257,-0.03890727670852025,0.028590808724520092,0.015362499949799551,-0.0037437883803299295,-0.03890727670852025,-0.0629157971810697,-0.06822229481348954,0,0,0
W. Europe,2020-01-20,530152257,-0.11348218548935446,-0.006261641360550374,-0.009144223715490075,-0.11348218548935446,-0.23999084729493075,-0.32368529606106106,-0.36140590859502086,0,0,0
W. Europe,2020-01-27,530152257,-607.1403881114466,-607.038575544868,-607.0475894406924,-607.1403881114466,-607.2878925352064,-607.388030015029,-607.4432752671861,-24887.9667785623,-607.0235799649341,0
W. Europe,2020-02-03,530152257,-910.1188976108721,-909.9523199953248,-909.9910843572039,-910.1020714315841,-910.2617569290717,-910.3761937334782,-910.3995036106554,-37310.238924862104,-910.005827435661,0
W. Europe,2020-02-10,530152257,-791.7331840946787,-791.5919621778901,-791.6124638304702,-791.7331840946787,-791.8848520575257,-791.9739117130875,-791.9889438504481,-32456.619877243247,-791.6248750547134,0
W. Europe,2020-02-17,530152257,-1177.5433138064445,-1177.3721676032542,-1177.3883049176657,-1177.5433138064445,-1177.6945217730445,-1177.8000597602118,-1177.8266933409666,-48274.810353433764,-1177.4343988642381,0.3333333333333333
W. Europe,2020-02-24,530152257,-1102.7909332399888,-1102.5403796565104,-1102.5515115086134,-1102.6892716130358,-1102.9217342951772,-1103.064305240976,-1103.0818411085938,-45210.3808784467,-1102.6922165474805,1.75
W. Europe,2020-03-02,530152257,-698.2163881319077,-698.0101527455564,-698.0244169678466,-698.2163881319077,-698.4032579078641,-698.5038770793822,-698.5299189328044,-28622.096263307718,-698.0999088611638,7.048333333333334
W. Europe,2020-03-09,530152257,637.2447304615752,637.428548628605,637.4127630540244,637.2528495787468,637.0897155197454,636.9836691621438,636.93981441992,26130.47516526368,637.3286625674068,70.19033333333333
