location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Aruba,2020-01-01,0,0,0,0,0,NA,TRUE
Afghanistan,2020-01-01,-11.463,172.932,52.73,-15.318,-118.927,NA,FALSE
Angola,2020-01-01,86.022,281.573,87.301,10.813,-30.494,NA,FALSE
Anguilla,2020-01-01,-0.025,0.083,0.004,-0.043,-0.091,NA,FALSE
Albania,2020-01-01,0,0,0,0,0,NA,TRUE
Andorra,2020-01-01,0,0,0,0,0,NA,TRUE
United Arab Emirates,2020-01-01,0,0,0,0,0,NA,TRUE
Argentina,2020-01-01,0,0,0,0,0,NA,TRUE
Armenia,2020-01-01,-6.314,8.991,-0.556,-6.314,-7.262,NA,FALSE
American Samoa,2020-01-01,0.004,0.337,0.087,-0.055,-0.204,NA,FALSE
Antigua and Barbuda,2020-01-01,0,0,0,0,0,NA,TRUE
Australia,2020-01-01,0,0,0,0,0,NA,TRUE
Austria,2020-01-01,0,0,0,0,0,NA,TRUE
Azerbaijan,2020-01-01,-2.862,35.603,6.049,-5.534,-18.32,NA,FALSE
Burundi,2020-01-01,88.497,182.454,88.497,3.622,-34.805,NA,FALSE
Belgium,2020-01-01,0,0,0,0,0,NA,TRUE
Benin,2020-01-01,87.927,192.793,87.927,2.111,-23.064,NA,FALSE
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",2020-01-01,0.302,0.302,0.302,-0.072,-0.19,NA,FALSE
Burkina Faso,2020-01-01,148.151,291.108,148.151,0.707,-24.182,NA,FALSE
Bangladesh,2020-01-01,633.467,1108.021,633.467,-6.858,-280.712,NA,FALSE
Bulgaria,2020-01-01,0,0,0,0,0,NA,TRUE
Bahrain,2020-01-01,-1.308,6.76,0.69,-1.308,-1.972,NA,FALSE
Bahamas,2020-01-01,0,0,0,0,0,NA,TRUE
Bosnia,2020-01-01,0,0,0,0,0,NA,TRUE
Belarus,2020-01-01,0,0,0,0,0,NA,TRUE
Belize,2020-01-01,0,0,0,0,0,NA,TRUE
Bermuda,2020-01-01,0,0,0,0,0,NA,TRUE
Bolivia,2020-01-01,0,0,0,0,0,NA,TRUE
Brazil,2020-01-01,0,0,0,0,0,NA,TRUE
Barbados,2020-01-01,0,0,0,0,0,NA,TRUE
Brunei,2020-01-01,0,0,0,0,0,NA,TRUE
Bhutan,2020-01-01,0,0,0,0,0,NA,TRUE
Botswana,2020-01-01,-1.717,11.662,2.196,-1.836,-5.361,NA,FALSE
Central African Republic,2020-01-01,35.777,80.192,35.777,3.013,-5.305,NA,FALSE
Canada,2020-01-01,0,0,0,0,0,NA,TRUE
Switzerland,2020-01-01,0,0,0,0,0,NA,TRUE
Chile,2020-01-01,0,0,0,0,0,NA,TRUE
China,2020-01-01,-7062.573,-7062.573,-7062.573,-7062.573,-7062.573,NA,TRUE
Ivory Coast,2020-01-01,101.495,262.268,101.495,-1.82,-41.284,NA,FALSE
Cameroon,2020-01-01,189.372,367.494,189.372,15.264,-25.077,NA,FALSE
Congo,2020-01-01,342.598,1313.732,342.598,38.826,-95.131,NA,FALSE
Congo-Brazzaville,2020-01-01,23.118,68.514,23.118,2.075,-12.61,NA,FALSE
Cook Islands,2020-01-01,-0.071,0.096,0.008,-0.071,-0.111,NA,FALSE
Colombia,2020-01-01,0,0,0,0,0,NA,TRUE
Comoros,2020-01-01,4.938,10.229,4.938,0.029,-1.149,NA,FALSE
Cape Verde,2020-01-01,0,0,0,0,0,NA,TRUE
Costa Rica,2020-01-01,0,0,0,0,0,NA,TRUE
Cuba,2020-01-01,0,0,0,0,0,NA,TRUE
Curaçao,2020-01-01,-0.237,1.125,0.246,-0.237,-0.614,NA,FALSE
Cayman Islands,2020-01-01,-0.093,0.152,0.007,-0.101,-0.308,NA,FALSE
Cyprus,2020-01-01,0,0,0,0,0,NA,TRUE
Czech Republic,2020-01-01,0,0,0,0,0,NA,TRUE
Germany,2020-01-01,0,0,0,0,0,NA,TRUE
Djibouti,2020-01-01,2.593,12.038,2.593,-0.165,-2.485,NA,FALSE
Dominica,2020-01-01,-0.251,0.341,0.045,-0.251,-0.256,NA,FALSE
Denmark,2020-01-01,0,0,0,0,0,NA,TRUE
Dominican Republic,2020-01-01,0,0,0,0,0,NA,TRUE
Algeria,2020-01-01,0,0,0,0,0,NA,TRUE
Ecuador,2020-01-01,0,0,0,0,0,NA,TRUE
Egypt,2020-01-01,0,0,0,0,0,NA,TRUE
Eritrea,2020-01-01,9.487,35.829,9.487,-0.577,-7.519,NA,FALSE
Western Sahara,2020-01-01,0.817,8.393,1.749,-0.311,-3.364,NA,FALSE
Spain,2020-01-01,0,0,0,0,0,NA,TRUE
Estonia,2020-01-01,0,0,0,0,0,NA,TRUE
Ethiopia,2020-01-01,310.594,1714.001,331.69,30.936,-271.302,NA,FALSE
Finland,2020-01-01,0,0,0,0,0,NA,TRUE
Fiji,2020-01-01,-3.242,7.252,0.942,-3.242,-7.234,NA,FALSE
Falkland Islands,2020-01-01,-0.014,0.017,-0.007,-0.026,-0.049,NA,FALSE
France,2020-01-01,0,0,0,0,0,NA,TRUE
Faroe Islands,2020-01-01,0,0,0,0,0,NA,TRUE
Micronesia,2020-01-01,0.912,1.625,0.912,0.004,-0.707,NA,FALSE
Gabon,2020-01-01,4.275,30.798,5.774,-0.59,-5.024,NA,FALSE
Britain,2020-01-01,0,0,0,0,0,NA,TRUE
Georgia,2020-01-01,0,0,0,0,0,NA,TRUE
Guernsey,2020-01-01,-0.175,0.202,-0.014,-0.208,-0.474,NA,FALSE
Ghana,2020-01-01,189.088,307.757,189.088,-0.722,-62.364,NA,FALSE
Gibraltar,2020-01-01,0,0,0,0,0,NA,TRUE
Guinea,2020-01-01,83.612,184.485,83.612,3.365,-25.578,NA,FALSE
Guadeloupe,2020-01-01,0.213,1.712,0.213,-1.039,-2.813,NA,FALSE
The Gambia,2020-01-01,14.407,36.592,14.407,-0.203,-4.379,NA,FALSE
Guinea-Bissau,2020-01-01,13.703,27.921,13.703,0.367,-3.115,NA,FALSE
Equatorial Guinea,2020-01-01,2.073,13.657,3.164,-0.309,-2.854,NA,FALSE
Greece,2020-01-01,0,0,0,0,0,NA,TRUE
Grenada,2020-01-01,-0.321,0.473,0.018,-0.321,-0.426,NA,FALSE
Greenland,2020-01-01,0,0,0,0,0,NA,TRUE
Guatemala,2020-01-01,0,0,0,0,0,NA,TRUE
French Guiana,2020-01-01,-0.201,1.287,0.025,-0.8,-2.542,NA,FALSE
Guam,2020-01-01,0.286,2.469,0.711,-0.291,-1.33,NA,FALSE
Guyana,2020-01-01,-0.307,2.826,0.587,-0.516,-1.773,NA,FALSE
Hong Kong,2020-01-01,0,0,0,0,0,NA,TRUE
Honduras,2020-01-01,8.553,42.716,10.556,-1.232,-13.253,NA,FALSE
Croatia,2020-01-01,0,0,0,0,0,NA,TRUE
Haiti,2020-01-01,10.289,35.281,10.289,-2.738,-21.218,NA,FALSE
Hungary,2020-01-01,0,0,0,0,0,NA,TRUE
Indonesia,2020-01-01,519.808,2378.632,659.304,-87.462,-396.977,NA,FALSE
Isle of Man,2020-01-01,-0.331,0.185,-0.056,-0.331,-0.598,NA,FALSE
India,2020-01-01,2085.139,7095.376,2190.188,-204.284,-2081.572,NA,FALSE
Ireland,2020-01-01,0,0,0,0,0,NA,TRUE
Iran,2020-01-01,0,0,0,0,0,NA,TRUE
Iraq,2020-01-01,16.507,111.839,26.066,-14.69,-43.027,NA,FALSE
Iceland,2020-01-01,0,0,0,0,0,NA,TRUE
Israel,2020-01-01,0,0,0,0,0,NA,TRUE
Italy,2020-01-01,0,0,0,0,0,NA,TRUE
Jamaica,2020-01-01,0,0,0,0,0,NA,TRUE
Jersey,2020-01-01,-0.38,0.33,-0.073,-0.484,-1.041,NA,FALSE
Jordan,2020-01-01,0,0,0,0,0,NA,TRUE
Japan,2020-01-01,0,0,0,0,0,NA,TRUE
Kazakhstan,2020-01-01,0,0,0,0,0,NA,TRUE
Kenya,2020-01-01,210.661,535.359,210.661,9.291,-118.989,NA,FALSE
Kyrgyzstan,2020-01-01,0,0,0,0,0,NA,TRUE
Cambodia,2020-01-01,25.662,109.323,26.625,-4.004,-28.171,NA,FALSE
Kiribati,2020-01-01,0.036,1.419,0.489,-0.177,-0.884,NA,FALSE
Saint Kitts and Nevis,2020-01-01,0,0,0,0,0,NA,TRUE
South Korea,2020-01-01,0,0,0,0,0,NA,TRUE
Kosovo,2020-01-01,0,0,0,0,0,NA,TRUE
Kuwait,2020-01-01,0,0,0,0,0,NA,TRUE
Laos,2020-01-01,7.904,38.137,9.957,-1.615,-14.939,NA,FALSE
Lebanon,2020-01-01,0,0,0,0,0,NA,TRUE
Liberia,2020-01-01,31.606,73.521,31.606,0.087,-8.742,NA,FALSE
Libya,2020-01-01,-5.564,19.694,3.562,-5.564,-13.249,NA,FALSE
Saint Lucia,2020-01-01,-0.632,1.12,0.088,-0.632,-0.654,NA,FALSE
Liechtenstein,2020-01-01,0,0,0,0,0,NA,TRUE
Sri Lanka,2020-01-01,17.604,103.255,17.604,-19.188,-53.584,NA,FALSE
Lesotho,2020-01-01,1.794,13.683,4.814,-0.19,-5.013,NA,FALSE
Lithuania,2020-01-01,0,0,0,0,0,NA,TRUE
Luxembourg,2020-01-01,0,0,0,0,0,NA,TRUE
Latvia,2020-01-01,0,0,0,0,0,NA,TRUE
Macau,2020-01-01,0,0,0,0,0,NA,TRUE
Saint-Martin (The french part),2020-01-01,-0.015,0.175,0.019,-0.084,-0.212,NA,FALSE
Morocco,2020-01-01,-36.45,22.284,-3.785,-36.45,-61.745,NA,FALSE
Monaco,2020-01-01,0,0,0,0,0,NA,TRUE
Moldova,2020-01-01,0,0,0,0,0,NA,TRUE
Madagascar,2020-01-01,220.03,339.692,220.03,14.217,-39.401,NA,FALSE
Maldives,2020-01-01,0,0,0,0,0,NA,TRUE
Mexico,2020-01-01,0,0,0,0,0,NA,TRUE
Marshall Islands,2020-01-01,0.014,0.673,0.225,-0.056,-0.339,NA,FALSE
North Macedonia,2020-01-01,0,0,0,0,0,NA,TRUE
Mali,2020-01-01,61.558,138.141,61.558,1.178,-33.216,NA,FALSE
Malta,2020-01-01,0,0,0,0,0,NA,TRUE
Myanmar,2020-01-01,55.954,313.645,80.907,-18.44,-96.084,NA,FALSE
Montenegro,2020-01-01,0,0,0,0,0,NA,TRUE
Mongolia,2020-01-01,0,0,0,0,0,NA,TRUE
Northern Mariana Islands,2020-01-01,-0.023,0.751,0.261,-0.065,-0.407,NA,FALSE
Mozambique,2020-01-01,87.428,243.285,89.335,10.65,-44.029,NA,FALSE
Mauritania,2020-01-01,5.588,13.395,5.588,-1.093,-8.716,NA,FALSE
Montserrat,2020-01-01,-0.018,0.02,-0.001,-0.018,-0.027,NA,FALSE
Martinique,2020-01-01,-0.056,1.621,0.079,-0.986,-2.527,NA,FALSE
Mauritius,2020-01-01,0,0,0,0,0,NA,TRUE
Malawi,2020-01-01,125.747,262.025,125.747,2.661,-36.936,NA,FALSE
Malaysia,2020-01-01,0,0,0,0,0,NA,TRUE
Mayotte,2020-01-01,0.432,5.488,1.232,-0.208,-1.691,NA,FALSE
Namibia,2020-01-01,0,0,0,0,0,NA,TRUE
New Caledonia,2020-01-01,-1.305,2.607,-0.242,-1.305,-3.141,NA,FALSE
Niger,2020-01-01,44.462,123.277,51.518,2.202,-59.93,NA,FALSE
Nigeria,2020-01-01,792.867,2724.636,792.867,43.682,-348.199,NA,FALSE
Nicaragua,2020-01-01,0,0,0,0,0,NA,TRUE
Niue,2020-01-01,-0.004,0.011,0,-0.005,-0.01,NA,FALSE
Netherlands,2020-01-01,0,0,0,0,0,NA,TRUE
Norway,2020-01-01,0,0,0,0,0,NA,TRUE
Nepal,2020-01-01,33.806,108.965,37.779,-17.081,-59.994,NA,FALSE
Nauru,2020-01-01,-0.063,0.192,0.059,-0.063,-0.112,NA,FALSE
New Zealand,2020-01-01,0,0,0,0,0,NA,TRUE
Oman,2020-01-01,0,0,0,0,0,NA,TRUE
Pakistan,2020-01-01,35.957,1160.013,340.258,8.014,-298.786,NA,FALSE
Panama,2020-01-01,0,0,0,0,0,NA,TRUE
Pitcairn,2020-01-01,-0,0,0,-0,-0,NA,FALSE
Peru,2020-01-01,0,0,0,0,0,NA,TRUE
Philippines,2020-01-01,0,0,0,0,0,NA,TRUE
Palau,2020-01-01,-0.098,0.223,0.077,-0.098,-0.177,NA,FALSE
Papua New Guinea,2020-01-01,50.968,143.043,50.968,-11.643,-45.117,NA,FALSE
Poland,2020-01-01,0,0,0,0,0,NA,TRUE
Puerto Rico,2020-01-01,-0.341,13.217,-0.184,-5.71,-17.404,NA,FALSE
Portugal,2020-01-01,0,0,0,0,0,NA,TRUE
Paraguay,2020-01-01,0,0,0,0,0,NA,TRUE
Palestinian Territories,2020-01-01,0,0,0,0,0,NA,TRUE
French Polynesia,2020-01-01,0,0,0,0,0,NA,TRUE
Qatar,2020-01-01,0,0,0,0,0,NA,TRUE
Réunion,2020-01-01,1.01,15.064,3.315,-0.885,-4.778,NA,FALSE
Romania,2020-01-01,0,0,0,0,0,NA,TRUE
Russia,2020-01-01,0,0,0,0,0,NA,TRUE
Rwanda,2020-01-01,96.082,178.154,96.082,3.311,-35.033,NA,FALSE
Saudi Arabia,2020-01-01,-2.586,102.865,17.143,-9.751,-44.216,NA,FALSE
Sudan,2020-01-01,144.358,144.358,144.358,10.195,-29.616,NA,FALSE
Senegal,2020-01-01,104.168,206.341,104.168,-0.24,-21.961,NA,FALSE
Singapore,2020-01-01,0,0,0,0,0,NA,TRUE
St. Helena Ascension and Tristan da Cunha,2020-01-01,-0.017,0.027,-0.008,-0.035,-0.075,NA,FALSE
Solomon Islands,2020-01-01,1.928,7.884,1.928,-1.289,-4.535,NA,FALSE
Sierra Leone,2020-01-01,50.811,115.146,50.811,-0.353,-23.888,NA,FALSE
El Salvador,2020-01-01,0,0,0,0,0,NA,TRUE
San Marino,2020-01-01,0,0,0,0,0,NA,TRUE
Somalia,2020-01-01,130.7,250.704,130.7,8.426,-15.174,NA,FALSE
St. Pierre and Miquelon,2020-01-01,-0.033,0.025,-0.003,-0.033,-0.052,NA,FALSE
Serbia,2020-01-01,0,0,0,0,0,NA,TRUE
South Sudan,2020-01-01,20.368,103.77,36.347,6.343,-32.562,NA,FALSE
São Tomé and Príncipe,2020-01-01,0.189,1.981,0.382,-0.123,-0.778,NA,FALSE
Suriname,2020-01-01,0,0,0,0,0,NA,TRUE
Slovakia,2020-01-01,0,0,0,0,0,NA,TRUE
Slovenia,2020-01-01,0,0,0,0,0,NA,TRUE
Sweden,2020-01-01,0,0,0,0,0,NA,TRUE
Eswatini,2020-01-01,-0.358,5.863,1.25,-0.358,-1.782,NA,FALSE
Sint Maarten,2020-01-01,0.039,0.253,0.048,-0.068,-0.187,NA,FALSE
Seychelles,2020-01-01,0,0,0,0,0,NA,TRUE
Syria,2020-01-01,-9.108,72.547,14.879,-14.854,-53.631,NA,FALSE
Turks and Caicos Islands,2020-01-01,0.026,0.209,0.026,-0.071,-0.169,NA,FALSE
Chad,2020-01-01,117.845,225.87,117.845,2.433,-46.037,NA,FALSE
Togo,2020-01-01,51.941,117.06,51.941,0.683,-13.497,NA,FALSE
Thailand,2020-01-01,0,0,0,0,0,NA,TRUE
Tajikistan,2020-01-01,0,0,0,0,0,NA,TRUE
Tokelau,2020-01-01,-0.005,0.011,0.001,-0.005,-0.011,NA,FALSE
Turkmenistan,2020-01-01,-7.776,21.721,5.754,-7.776,-11.145,NA,FALSE
Timor-Leste,2020-01-01,4.373,9.422,4.373,-0.462,-1.772,NA,FALSE
Tonga,2020-01-01,-0.29,0.479,0.039,-0.29,-0.434,NA,FALSE
Trinidad and Tobago,2020-01-01,-1.534,5.761,0.024,-1.679,-3.576,NA,FALSE
Tunisia,2020-01-01,0,0,0,0,0,NA,TRUE
Turkey,2020-01-01,0,0,0,0,0,NA,TRUE
Tuvalu,2020-01-01,0.009,0.097,0.03,-0.009,-0.045,NA,FALSE
Taiwan,2020-01-01,0,0,0,0,0,NA,TRUE
Tanzania,2020-01-01,264.197,1010.439,302.868,51.662,-61.403,NA,FALSE
Uganda,2020-01-01,299.092,663.638,299.092,21.868,-48.148,NA,FALSE
Ukraine,2020-01-01,0,0,0,0,0,NA,TRUE
Uruguay,2020-01-01,0,0,0,0,0,NA,TRUE
United States,2020-01-01,0,0,0,0,0,NA,TRUE
Uzbekistan,2020-01-01,0,0,0,0,0,NA,TRUE
Vatican,2020-01-01,-0.003,0.004,-0,-0.003,-0.007,NA,FALSE
Saint Vincent and the Grenadines,2020-01-01,0,0,0,0,0,NA,TRUE
Venezuela,2020-01-01,48.883,90.684,48.883,-7.383,-50.873,NA,FALSE
Virgin Islands (British),2020-01-01,-0.083,0.128,-0.004,-0.083,-0.168,NA,FALSE
Virgin Islands (U.S.),2020-01-01,-0.142,0.365,0.011,-0.192,-0.685,NA,FALSE
Vietnam,2020-01-01,70.95,313.329,70.95,-45.271,-153.7,NA,FALSE
Vanuatu,2020-01-01,-1.081,3.992,0.579,-1.081,-2.515,NA,FALSE
Wallis and Futuna,2020-01-01,-0.008,0.175,0.041,-0.012,-0.059,NA,FALSE
Samoa,2020-01-01,-0.585,0.907,0.062,-0.585,-0.764,NA,FALSE
Yemen,2020-01-01,90.09,126.894,90.09,7.625,-30.173,NA,FALSE
South Africa,2020-01-01,0,0,0,0,0,NA,TRUE
Zambia,2020-01-01,52.815,119.95,52.815,2.739,-26.939,NA,FALSE
Zimbabwe,2020-01-01,28.522,78.381,28.522,0.857,-18.585,NA,FALSE
European Union,2020-01-01,0,0,0,0,0,NA,TRUE
Aruba,2020-01-06,0,0,0,0,0,NA,TRUE
Afghanistan,2020-01-06,-22.926,348.783,106.69,-30.925,-234.634,NA,FALSE
Angola,2020-01-06,172.025,563.145,184.055,20.994,-60.988,NA,FALSE
Anguilla,2020-01-06,-0.045,0.184,0.014,-0.084,-0.193,NA,FALSE
Albania,2020-01-06,0,0,0,0,0,NA,TRUE
Andorra,2020-01-06,0,0,0,0,0,NA,TRUE
United Arab Emirates,2020-01-06,0,0,0,0,0,NA,TRUE
Argentina,2020-01-06,0,0,0,0,0,NA,TRUE
Armenia,2020-01-06,-12.634,17.702,-1.458,-12.634,-14.514,NA,FALSE
American Samoa,2020-01-06,0.008,0.674,0.182,-0.102,-0.408,NA,FALSE
Antigua and Barbuda,2020-01-06,0,0,0,0,0,NA,TRUE
Australia,2020-01-06,0,0,0,0,0,NA,TRUE
Austria,2020-01-06,0,0,0,0,0,NA,TRUE
Azerbaijan,2020-01-06,-5.72,70.896,12.553,-11.435,-38.243,NA,FALSE
Burundi,2020-01-06,177.037,365.552,177.037,7.23,-69.167,NA,FALSE
Belgium,2020-01-06,0,0,0,0,0,NA,TRUE
Benin,2020-01-06,175.885,376.031,175.885,2.197,-51.195,NA,FALSE
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",2020-01-06,0.615,0.615,0.615,-0.123,-0.411,NA,FALSE
Burkina Faso,2020-01-06,296.366,582.281,296.366,5.807,-50.499,NA,FALSE
Bangladesh,2020-01-06,1266.969,2077.098,1266.969,-11.693,-566.184,NA,FALSE
Bulgaria,2020-01-06,0,0,0,0,0,NA,TRUE
Bahrain,2020-01-06,-2.616,13.473,1.425,-2.616,-3.931,NA,FALSE
Bahamas,2020-01-06,0,0,0,0,0,NA,TRUE
Bosnia,2020-01-06,0,0,0,0,0,NA,TRUE
Belarus,2020-01-06,0,0,0,0,0,NA,TRUE
Belize,2020-01-06,0,0,0,0,0,NA,TRUE
Bermuda,2020-01-06,0,0,0,0,0,NA,TRUE
Bolivia,2020-01-06,0,0,0,0,0,NA,TRUE
Brazil,2020-01-06,0,0,0,0,0,NA,TRUE
Barbados,2020-01-06,0,0,0,0,0,NA,TRUE
Brunei,2020-01-06,0,0,0,0,0,NA,TRUE
Bhutan,2020-01-06,0,0,0,0,0,NA,TRUE
Botswana,2020-01-06,-3.293,23.638,4.048,-3.402,-10.175,NA,FALSE
Central African Republic,2020-01-06,71.55,160.489,71.55,6.368,-10.886,NA,FALSE
Canada,2020-01-06,0,0,0,0,0,NA,TRUE
Switzerland,2020-01-06,0,0,0,0,0,NA,TRUE
Chile,2020-01-06,0,0,0,0,0,NA,TRUE
China,2020-01-06,-14125.146,-14125.146,-14125.146,-14125.146,-14125.146,NA,TRUE
Ivory Coast,2020-01-06,203.071,522.661,203.071,-5.441,-81.956,NA,FALSE
Cameroon,2020-01-06,379.324,734.987,379.324,29.512,-51.522,NA,FALSE
Congo,2020-01-06,685.145,2628.919,685.145,76.607,-190.263,NA,FALSE
Congo-Brazzaville,2020-01-06,46.257,137.028,46.257,4.298,-25.424,NA,FALSE
Cook Islands,2020-01-06,-0.142,0.176,0.016,-0.142,-0.222,NA,FALSE
Colombia,2020-01-06,0,0,0,0,0,NA,TRUE
Comoros,2020-01-06,9.879,20.5,9.879,0.007,-2.297,NA,FALSE
Cape Verde,2020-01-06,0,0,0,0,0,NA,TRUE
Costa Rica,2020-01-06,0,0,0,0,0,NA,TRUE
