location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Aruba,2020-01-01,0,0,0,0,0,NA,TRUE
Afghanistan,2020-01-01,-0.126,0.138,0.014,-0.126,-0.183,NA,FALSE
Angola,2020-01-01,0.118,0.63,0.18,-0.022,-0.186,NA,FALSE
Anguilla,2020-01-01,-0.112,0.499,0.018,-0.15,-0.447,NA,FALSE
Albania,2020-01-01,0,0,0,0,0,NA,TRUE
Andorra,2020-01-01,0,0,0,0,0,NA,TRUE
United Arab Emirates,2020-01-01,-0.039,0.116,0.015,-0.06,-0.137,NA,FALSE
Argentina,2020-01-01,0,0,0,0,0,NA,TRUE
Armenia,2020-01-01,-0.199,0.186,-0.04,-0.199,-0.236,NA,FALSE
Antigua and Barbuda,2020-01-01,0,0,0,0,0,NA,TRUE
Australia,2020-01-01,0,0,0,0,0,NA,TRUE
Austria,2020-01-01,0,0,0,0,0,NA,TRUE
Azerbaijan,2020-01-01,-0.001,0.082,0.009,-0.065,-0.175,NA,FALSE
Burundi,2020-01-01,0.175,0.489,0.175,-0.007,-0.316,NA,FALSE
Belgium,2020-01-01,0,0,0,0,0,NA,TRUE
Benin,2020-01-01,-0.218,0.387,0.051,-0.218,-0.349,NA,FALSE
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",2020-01-01,-0.131,0.564,0.032,-0.131,-0.511,NA,FALSE
Burkina Faso,2020-01-01,-0.222,0.342,0.073,-0.222,-0.222,NA,FALSE
Bangladesh,2020-01-01,0.265,0.321,0.265,-0.036,-0.183,NA,FALSE
Bulgaria,2020-01-01,0,0,0,0,0,NA,TRUE
Bahrain,2020-01-01,-0.074,0.284,-0.014,-0.11,-0.263,NA,FALSE
Bahamas,2020-01-01,-0.141,0.257,-0.045,-0.167,-0.311,NA,FALSE
Bosnia,2020-01-01,0,0,0,0,0,NA,TRUE
Belarus,2020-01-01,0,0,0,0,0,NA,TRUE
Belize,2020-01-01,0,0,0,0,0,NA,TRUE
Bermuda,2020-01-01,0,0,0,0,0,NA,TRUE
Bolivia,2020-01-01,0,0,0,0,0,NA,TRUE
Brazil,2020-01-01,0,0,0,0,0,NA,TRUE
Barbados,2020-01-01,0,0,0,0,0,NA,TRUE
Brunei,2020-01-01,0,0,0,0,0,NA,TRUE
Bhutan,2020-01-01,-0.02,0.184,-0.017,-0.121,-0.23,NA,FALSE
Botswana,2020-01-01,-0.138,0.203,0.058,-0.138,-0.314,NA,FALSE
Central African Republic,2020-01-01,-0.133,0.643,0.171,-0.133,-0.199,NA,FALSE
Canada,2020-01-01,0,0,0,0,0,NA,TRUE
Switzerland,2020-01-01,0,0,0,0,0,NA,TRUE
Chile,2020-01-01,0,0,0,0,0,NA,TRUE
China,2020-01-01,-0.489,-0.489,-0.489,-0.489,-0.489,NA,TRUE
Ivory Coast,2020-01-01,-0.219,0.34,0.039,-0.219,-0.301,NA,FALSE
Cameroon,2020-01-01,0.112,0.364,0.112,-0.048,-0.328,NA,FALSE
Congo,2020-01-01,0.299,0.517,0.299,0.01,-0.167,NA,FALSE
Congo-Brazzaville,2020-01-01,0.194,0.492,0.194,-0.022,-0.209,NA,FALSE
Cook Islands,2020-01-01,-0.178,0.55,0.065,-0.178,-0.508,NA,FALSE
Colombia,2020-01-01,0,0,0,0,0,NA,TRUE
Comoros,2020-01-01,0.141,0.579,0.146,-0.068,-0.19,NA,FALSE
Cape Verde,2020-01-01,-0.173,0.281,-0.02,-0.173,-0.255,NA,FALSE
Costa Rica,2020-01-01,0,0,0,0,0,NA,TRUE
Cuba,2020-01-01,0,0,0,0,0,NA,TRUE
Curaçao,2020-01-01,-0.07,0.649,0.07,-0.113,-0.293,NA,FALSE
Cayman Islands,2020-01-01,-0.15,0.417,-0.006,-0.164,-0.331,NA,FALSE
Cyprus,2020-01-01,0,0,0,0,0,NA,TRUE
Czech Republic,2020-01-01,0,0,0,0,0,NA,TRUE
Germany,2020-01-01,0,0,0,0,0,NA,TRUE
Djibouti,2020-01-01,0.136,0.218,0.136,-0.085,-0.388,NA,FALSE
Dominica,2020-01-01,-0.119,0.269,0,-0.142,-0.279,NA,FALSE
Denmark,2020-01-01,0,0,0,0,0,NA,TRUE
Dominican Republic,2020-01-01,0,0,0,0,0,NA,TRUE
Algeria,2020-01-01,0,0,0,0,0,NA,TRUE
Ecuador,2020-01-01,0,0,0,0,0,NA,TRUE
Egypt,2020-01-01,0,0,0,0,0,NA,TRUE
Eritrea,2020-01-01,-0.071,0.442,0.07,-0.077,-0.395,NA,FALSE
Spain,2020-01-01,0,0,0,0,0,NA,TRUE
Estonia,2020-01-01,0,0,0,0,0,NA,TRUE
Ethiopia,2020-01-01,0.251,0.467,0.251,-0.024,-0.375,NA,FALSE
Finland,2020-01-01,0,0,0,0,0,NA,TRUE
Fiji,2020-01-01,-0.457,0.223,-0.084,-0.457,-0.725,NA,FALSE
Falkland Islands,2020-01-01,-0.205,0.765,0.175,-0.234,-0.71,NA,FALSE
France,2020-01-01,0,0,0,0,0,NA,TRUE
Faroe Islands,2020-01-01,0,0,0,0,0,NA,TRUE
Micronesia,2020-01-01,-0.034,0.864,0.156,-0.22,-0.796,NA,FALSE
Gabon,2020-01-01,0.131,0.566,0.131,-0.067,-0.203,NA,FALSE
Britain,2020-01-01,0,0,0,0,0,NA,TRUE
Georgia,2020-01-01,0,0,0,0,0,NA,TRUE
Guernsey,2020-01-01,-0.174,0.548,0.061,-0.174,-0.493,NA,FALSE
Ghana,2020-01-01,-0.157,0.39,0.035,-0.157,-0.356,NA,FALSE
Gibraltar,2020-01-01,0,0,0,0,0,NA,TRUE
Guinea,2020-01-01,0.081,0.405,0.081,-0.075,-0.218,NA,FALSE
The Gambia,2020-01-01,0.139,0.537,0.139,-0.077,-0.243,NA,FALSE
Guinea-Bissau,2020-01-01,0.194,0.755,0.236,-0.022,-0.197,NA,FALSE
Equatorial Guinea,2020-01-01,-0.106,0.489,0.073,-0.106,-0.378,NA,FALSE
Greece,2020-01-01,0,0,0,0,0,NA,TRUE
Grenada,2020-01-01,-0.144,0.393,-0.013,-0.156,-0.261,NA,FALSE
Greenland,2020-01-01,0,0,0,0,0,NA,TRUE
Guatemala,2020-01-01,0,0,0,0,0,NA,TRUE
Guyana,2020-01-01,-0.067,0.228,-0.002,-0.1,-0.232,NA,FALSE
Hong Kong,2020-01-01,0,0,0,0,0,NA,TRUE
Honduras,2020-01-01,0.282,0.282,0.282,-0.005,-0.085,NA,FALSE
Croatia,2020-01-01,0,0,0,0,0,NA,TRUE
Haiti,2020-01-01,0.105,0.218,0.105,-0.063,-0.164,NA,FALSE
Hungary,2020-01-01,0,0,0,0,0,NA,TRUE
Indonesia,2020-01-01,0.27,0.468,0.27,-0.046,-0.211,NA,FALSE
Isle of Man,2020-01-01,-0.143,0.396,0.007,-0.149,-0.392,NA,FALSE
India,2020-01-01,-0.034,0.127,0.03,-0.063,-0.165,NA,FALSE
Ireland,2020-01-01,0,0,0,0,0,NA,TRUE
Iran,2020-01-01,0,0,0,0,0,NA,TRUE
Iraq,2020-01-01,0.016,0.162,0.022,-0.052,-0.16,NA,FALSE
Iceland,2020-01-01,0,0,0,0,0,NA,TRUE
Israel,2020-01-01,0,0,0,0,0,NA,TRUE
Italy,2020-01-01,0,0,0,0,0,NA,TRUE
Jamaica,2020-01-01,0,0,0,0,0,NA,TRUE
Jersey,2020-01-01,-0.174,0.548,0.053,-0.174,-0.493,NA,FALSE
Jordan,2020-01-01,0,0,0,0,0,NA,TRUE
Japan,2020-01-01,0,0,0,0,0,NA,TRUE
Kazakhstan,2020-01-01,0,0,0,0,0,NA,TRUE
Kenya,2020-01-01,0.223,0.703,0.24,0.009,-0.175,NA,FALSE
Kyrgyzstan,2020-01-01,0,0,0,0,0,NA,TRUE
Cambodia,2020-01-01,-0.097,0.259,0.04,-0.097,-0.289,NA,FALSE
Kiribati,2020-01-01,-0.408,0.577,0.102,-0.408,-0.897,NA,FALSE
Saint Kitts and Nevis,2020-01-01,-0.141,0.334,0.008,-0.141,-0.304,NA,FALSE
South Korea,2020-01-01,0,0,0,0,0,NA,TRUE
Kuwait,2020-01-01,0,0,0,0,0,NA,TRUE
Laos,2020-01-01,0.206,0.293,0.206,-0.05,-0.215,NA,FALSE
