iso3c,location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths,demography_adjusted_ifr_percent,aged_65_older_pct
ABW,Aruba,2021-05-10,38.06708783890962,161.95208422694006,0.605,0.228,38.06708783890962,0.375,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-01-01,0,5.67667099352161,0.006,-0.019,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-10-04,97.8390941824607,151.2665858861935,0.739,0.542,43.9107197440054,0.25,FALSE,0.598942585166585,13.085
ABW,Aruba,2020-10-12,82.14476849448918,82.14476849448918,0.492,0.241,6.678436462966601,0.375,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-05-04,0,37.56620510418713,0.082,-0.501,0,0,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-02-22,175.80983988759576,175.80983988759576,1.053,0.46,42.24111062826375,0.375,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-08-16,327.9112303316601,500.3818519877725,2.024,1.656,191.17024375241894,1.25,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-02-24,0,16.696091157416504,0.005,-0.107,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-02-03,0,7.179319197689095,-0.005,-0.107,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-07-05,84.4822212565275,84.4822212565275,0.506,0.05,0,0,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-06-07,0,44.41160247872789,0.076,-0.193,0,0,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-01-04,52.091804411139485,102.68096061811148,0.415,0.254,1.836570027315815,0,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-10-11,82.47869031763751,137.74275204868613,0.628,0.436,36.7314005463163,0.375,FALSE,0.598942585166585,13.085
ABW,Aruba,2021-07-26,84.4822212565275,150.43178132832267,0.627,0.405,29.71904226020137,0.125,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-07-27,0,17.03001298056483,-0.024,-0.256,0,0,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-04-26,193.6746574260314,193.6746574260314,1.16,0.524,36.230517811593806,0.75,TRUE,0.598942585166585,13.085
