location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Oceania,2020-01-01,-23.058,125.245,40.945,-23.058,-53.516,NA,FALSE
Europe,2020-01-01,-0.841,0.684,-0.298,-1.055,-1.943,NA,FALSE
Asia,2020-01-01,-5487.869,-190.815,-5194.748,-7529.85,-9325.668,NA,FALSE
Africa,2020-01-01,1839.612,8420.819,2158.544,264.504,-938.576,NA,FALSE
Latin America and Caribbean,2020-01-01,0.552,88.641,15.009,-21.195,-78.425,0,FALSE
North America,2020-01-01,0,0,0,0,0,NA,FALSE
Oceania,2020-01-06,-46.105,250.722,82.846,-46.105,-105.801,NA,FALSE
Europe,2020-01-06,-1.697,1.344,-0.652,-2.159,-3.953,NA,FALSE
Asia,2020-01-06,-10981.417,-557.864,-10426.867,-15058.233,-18732.421,NA,FALSE
Africa,2020-01-06,3722.041,16711.865,4359.087,564.015,-2413.952,NA,FALSE
Latin America and Caribbean,2020-01-06,-26.066,173.335,33.375,-34.222,-145.787,0,FALSE
North America,2020-01-06,0,0,0,0,0,0,FALSE
Oceania,2020-01-13,-67.696,381.808,123.864,-67.696,-159.973,NA,FALSE
Europe,2020-01-13,-2.566,1.42,-1.092,-3.349,-6.173,NA,FALSE
Asia,2020-01-13,-18066.309,-1750.488,-17341.559,-24223.256,-29991.617,1,FALSE
Africa,2020-01-13,5604.841,25562.863,6437.34,761.01,-3286.086,NA,FALSE
Latin America and Caribbean,2020-01-13,-26.138,255.055,51.73,-61.286,-240.274,0,FALSE
North America,2020-01-13,0,0,0,0,0,0,FALSE
Oceania,2020-01-20,-90.668,490.72,176.879,-90.668,-207.339,NA,FALSE
Europe,2020-01-20,-5.893,-0.787,-4.423,-7.781,-11.93,NA,FALSE
Asia,2020-01-20,-24701.177,-726.395,-24331.063,-34716.763,-43597.971,4,FALSE
Africa,2020-01-20,7507.7,34720.124,9281.128,1000.281,-4777.445,NA,FALSE
Latin America and Caribbean,2020-01-20,-57.838,342.523,84.397,-89.676,-325.007,0,FALSE
North America,2020-01-20,0,0,0,0,0,0,FALSE
Oceania,2020-01-27,-103.133,599.483,226.18,-103.133,-248.703,NA,FALSE
Europe,2020-01-27,-6226.721,-6219.573,-6224.215,-6229.83,-6235.914,NA,FALSE
Asia,2020-01-27,-26746.793,3796.014,-25028.717,-41409.892,-54555.626,82,FALSE
Africa,2020-01-27,9359.757,44021.1,11832.496,1297.485,-5999.35,NA,FALSE
Latin America and Caribbean,2020-01-27,-1182.803,-568.323,-960.274,-1198.431,-1505.878,0,FALSE
North America,2020-01-27,-1386.792,-1386.792,-1386.792,-1386.792,-1386.792,0,FALSE
Oceania,2020-02-03,-150.706,695.278,247.279,-150.706,-328.097,NA,FALSE
Europe,2020-02-03,-13280.799,-13270.764,-13277.508,-13285.921,-13292.677,NA,FALSE
Asia,2020-02-03,-20300.24,14180.782,-17970.647,-38013.524,-58142.439,426,FALSE
Africa,2020-02-03,11998.679,54189.921,15308.601,2163.365,-5470.95,NA,FALSE
Latin America and Caribbean,2020-02-03,-1376.626,-565.46,-1012.946,-1376.626,-1681.778,0,FALSE
North America,2020-02-03,-2312.585,-2312.585,-2312.585,-2312.585,-2312.585,0,FALSE
Oceania,2020-02-10,-53.793,937.685,436.578,-53.793,-255.208,NA,FALSE
Europe,2020-02-10,-19507.484,-19494.722,-19503.016,-19513.31,-19521.131,NA,FALSE
Asia,2020-02-10,-25069.775,13323.863,-22683.385,-46961.284,-74534.73,1013,FALSE
Africa,2020-02-10,14298.957,66383.034,18625.227,3217.538,-6639.6,NA,FALSE
Latin America and Caribbean,2020-02-10,-1938.523,-968.012,-1566.537,-1938.523,-2409.871,0,FALSE
North America,2020-02-10,-3646.544,-3646.544,-3646.544,-3646.544,-3646.544,0,FALSE
Oceania,2020-02-17,7.251,1150.363,543.52,7.251,-236.191,NA,FALSE
Europe,2020-02-17,-28462.328,-28446.034,-28456.543,-28468.824,-28478.52,2,FALSE
Asia,2020-02-17,-35867.44,13094.578,-34161.259,-61638.246,-95822.075,1867,FALSE
Africa,2020-02-17,16488.431,79485.856,21635.333,3873.607,-7807.718,NA,FALSE
Latin America and Caribbean,2020-02-17,-2793.662,-1717.871,-2373.505,-2887.471,-3293.588,0,FALSE
North America,2020-02-17,-4318.836,-4318.836,-4318.836,-4318.836,-4318.836,0,FALSE
Oceania,2020-02-24,107.351,1398.513,700.489,107.351,-168.199,NA,FALSE
Europe,2020-02-24,-36927.108,-36907.264,-36919.947,-36934.605,-36945.958,6,FALSE
Asia,2020-02-24,-45572.926,11621.179,-45224.665,-76204.527,-119226.489,2613,FALSE
Africa,2020-02-24,11143.923,79304.265,20569.598,-979.537,-15912.322,NA,FALSE
Latin America and Caribbean,2020-02-24,-4319.865,-2967.649,-3770.642,-4431.221,-4877.272,0,FALSE
North America,2020-02-24,-4245.273,-4245.273,-4245.273,-4245.273,-4245.273,0,FALSE
Oceania,2020-03-02,90.992,1530.646,762.994,90.992,-218.219,1,FALSE
Europe,2020-03-02,-42836.496,-42812.823,-42827.073,-42844.896,-42858.53,38,FALSE
Asia,2020-03-02,-71694.921,-17762.16,-63902.452,-105694.983,-155936.078,3000,FALSE
Africa,2020-03-02,12517.173,76396.387,19967.019,-3011.312,-24154.417,NA,FALSE
Latin America and Caribbean,2020-03-02,-4454.741,-3119.632,-3895.241,-4664.708,-5328.202,0,FALSE
North America,2020-03-02,-4008.024,-4008.024,-4008.024,-4008.024,-4008.024,2,FALSE
Oceania,2020-03-09,96.196,1683.346,839.687,96.196,-253.207,4,FALSE
Europe,2020-03-09,-39449.271,-39423.754,-39439.916,-39460.243,-39473.954,424,FALSE
Asia,2020-03-09,-80017.138,-17014.205,-73631.722,-120500.957,-176491.661,3430,FALSE
Africa,2020-03-09,7571.259,73345.825,20926.787,-7740.534,-35279.518,6,FALSE
Latin America and Caribbean,2020-03-09,-4472.381,-3259.906,-4021.438,-4972.381,-5910.339,2,FALSE
North America,2020-03-09,-3747.374,-3747.374,-3747.374,-3747.374,-3747.374,24,FALSE
Oceania,2020-03-16,212.008,1931.981,1036.824,212.008,-183.934,7,FALSE
Europe,2020-03-16,-23102.922,-23077.733,-23093.251,-23114.724,-23130.043,2554,FALSE
Asia,2020-03-16,-83851.471,-4198.854,-82157.495,-130583.137,-192565.339,4206,FALSE
Africa,2020-03-16,2344.857,75752.588,21030.458,-12955.028,-46595.87,9,FALSE
Latin America and Caribbean,2020-03-16,-5436.451,-4075.698,-4920.981,-6082.88,-7474.423,20,FALSE
North America,2020-03-16,-2354.325,-2354.325,-2354.325,-2354.325,-2354.325,83,FALSE
Oceania,2020-03-23,335.591,2162.888,1226.897,335.591,-65.234,10,FALSE
Europe,2020-03-23,7644.617,7674.744,7654.866,7633.213,7617.252,10370,FALSE
Asia,2020-03-23,-90355.276,-7618.282,-85749.823,-139720.408,-220078.936,5407,FALSE
Africa,2020-03-23,-3112.494,78607.308,19242.298,-18216.806,-59478.332,38,FALSE
Latin America and Caribbean,2020-03-23,-3498.555,-2108.973,-3189.825,-4467.323,-6268.044,98,FALSE
North America,2020-03-23,3690.924,3690.924,3690.924,3690.924,3690.924,501,FALSE
Oceania,2020-03-30,515.867,2486.807,1444.717,515.867,118.619,21,FALSE
Europe,2020-03-30,50199.958,50235.025,50211.505,50189.696,50174.618,28771,FALSE
Asia,2020-03-30,-115880.842,-19656.403,-101075.914,-161439.807,-264145.984,6807,FALSE
Africa,2020-03-30,-10187.038,79215.335,17687.035,-26036.331,-80281.359,151,FALSE
Latin America and Caribbean,2020-03-30,1445.891,3140.646,1766.987,321.787,-1735.689,472,FALSE
North America,2020-03-30,19533.173,19533.173,19533.173,19533.173,19533.173,2703,FALSE
Oceania,2020-04-06,621.716,2760.539,1590.741,621.716,213.733,47,FALSE
Europe,2020-04-06,92167.016,92205.762,92178.165,92154.581,92141.954,57066,FALSE
Asia,2020-04-06,-134345.278,2237.725,-120563.603,-180473.469,-293532.657,8639,FALSE
Africa,2020-04-06,-16700.674,74739.702,12542.993,-34742.09,-102788.828,630,FALSE
Latin America and Caribbean,2020-04-06,6748.19,8717.172,7055.469,5433.513,3018.269,1534,FALSE
North America,2020-04-06,42947.823,42947.823,42947.823,42947.823,42947.823,10519,FALSE
Oceania,2020-04-13,641.118,3023.748,1643.64,641.118,189.976,75,FALSE
Europe,2020-04-13,127833.069,127876.561,127846.728,127816.977,127805.458,86686,FALSE
Asia,2020-04-13,-153279.752,4247.474,-136435.132,-204330.324,-323768.253,10997,FALSE
Africa,2020-04-13,-23097.335,74307.279,13075.85,-45249.153,-125054.861,991,FALSE
Latin America and Caribbean,2020-04-13,12105.331,14374.051,12459.913,10619.07,7788.155,3726,FALSE
North America,2020-04-13,65240.272,65240.272,65240.272,65240.272,65240.272,25481,FALSE
Oceania,2020-04-20,611.588,3086.503,1689.517,611.588,112.802,93,FALSE
Europe,2020-04-20,153229.107,153270.547,153238.422,153208.843,153192.356,112241,FALSE
Asia,2020-04-20,-174927.974,-4030.053,-147722.025,-231670.809,-367043.973,14726,FALSE
Africa,2020-04-20,-29343.781,73966.25,8388.092,-54953.178,-148531.564,1517,FALSE
Latin America and Caribbean,2020-04-20,19430.184,22028.05,19828.865,17675.713,14613.419,7157,FALSE
North America,2020-04-20,85618.521,85618.521,85618.521,85618.521,85618.521,41847,FALSE
Oceania,2020-04-27,399.264,3033.599,1533.956,399.264,-154.709,112,FALSE
Europe,2020-04-27,169322.897,169370.767,169337.589,169302.05,169285.288,131260,FALSE
Asia,2020-04-27,-196287.697,-10966.395,-156779.296,-260902.227,-402247.236,17236,FALSE
Africa,2020-04-27,-33401.009,74578.105,8616.778,-63552.063,-170568.655,1808,FALSE
Latin America and Caribbean,2020-04-27,28677.991,31613.347,29125.202,26793.307,23332.712,12563,FALSE
North America,2020-04-27,101308.17,101308.17,101308.17,101308.17,101308.17,57787,FALSE
Oceania,2020-05-04,263.894,2902.627,1442.466,263.894,-378.59,126,FALSE
Europe,2020-05-04,181276.594,181327.562,181293.086,181253.013,181233.809,145282,FALSE
Asia,2020-05-04,-189241.418,1438.15,-146796.887,-253188.257,-413596.354,19629,FALSE
Africa,2020-05-04,-33655.549,78259.146,15213.96,-65329.519,-187252.519,2187,FALSE
Latin America and Caribbean,2020-05-04,47573.573,50641.79,48096.585,45456.932,41822.322,21561,FALSE
North America,2020-05-04,114955.22,114955.22,114955.22,114955.22,114955.22,72234,FALSE
Oceania,2020-05-11,130.113,2773.113,1382.06,130.113,-544.178,129,FALSE
Europe,2020-05-11,193343.974,193397.634,193360.769,193318.27,193293.772,156174,FALSE
Asia,2020-05-11,-181754.029,38444.69,-130350.8,-255084.728,-415759.434,22208,FALSE
Africa,2020-05-11,-33027.317,94056.334,23724.785,-69899.927,-204402.119,2661,FALSE
Latin America and Caribbean,2020-05-11,68362.118,71522.576,68956.48,65972.111,62179.051,32607,FALSE
North America,2020-05-11,126619.869,126619.869,126619.869,126619.869,126619.869,85997,FALSE
Oceania,2020-05-18,-69.299,2695.23,1292.122,-69.299,-771.108,132,FALSE
Europe,2020-05-18,202345.396,202402.375,202365.298,202316.992,202286.68,164527,FALSE
Asia,2020-05-18,-169666.649,66669.929,-108609.715,-242234.322,-415769.434,24831,FALSE
Africa,2020-05-18,-32923.422,114860.875,33165.505,-73640.678,-221430.52,3123,FALSE
Latin America and Caribbean,2020-05-18,90947.746,94053.173,91193.355,88184.384,84144.198,45921,FALSE
North America,2020-05-18,135395.318,135395.318,135395.318,135395.318,135395.318,96859,FALSE
Oceania,2020-05-25,-350.65,2551.226,1133.351,-350.65,-1082.866,135,FALSE
Europe,2020-05-25,208921.515,208981.293,208940.125,208890.082,208857.859,170687,FALSE
Asia,2020-05-25,-156549.364,74474.809,-84098.142,-222508.222,-408587.854,27542,FALSE
Africa,2020-05-25,-32409.228,136468.587,42059.084,-70872.732,-239358.541,3711,FALSE
Latin America and Caribbean,2020-05-25,114796.802,119015.904,114895.024,111468.099,107243.818,61335,FALSE
North America,2020-05-25,142632.567,142632.567,142632.567,142632.567,142632.567,105787,FALSE
Oceania,2020-06-01,-751.321,2282.407,839.787,-751.321,-1520.572,136,FALSE
Europe,2020-06-01,218962.137,219024.448,218979.861,218929.531,218893.495,175918,FALSE
Asia,2020-06-01,-130424.145,123551.186,-40951.912,-188456.039,-381060.864,30885,FALSE
Africa,2020-06-01,-24844.517,161087.112,57314.878,-59978.495,-245066.715,4566,FALSE
Latin America and Caribbean,2020-06-01,139390.453,144412.994,139479.82,135718.23,131165.319,77781,FALSE
North America,2020-06-01,148346.217,148346.217,148346.217,148346.217,148346.217,113284,FALSE
Oceania,2020-06-08,-1060.31,2103.843,655.683,-1060.31,-1865.643,136,FALSE
