location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-01-01,-0,0,-0,-0,-0,NA,FALSE
Africa,2020-01-01,0.03,0.038,0.03,0.001,-0.018,NA,FALSE
North America,2020-01-01,0,0,0,0,0,NA,FALSE
Latin America and Caribbean,2020-01-01,-0,0.002,0,-0,-0.001,0,FALSE
Asia,2020-01-01,-0.003,-0.002,-0.003,-0.024,-0.031,NA,FALSE
Oceania,2020-01-01,-0.01,0.025,0.004,-0.011,-0.027,NA,FALSE
Europe,2020-01-06,-0,0,-0,-0,-0,NA,FALSE
Africa,2020-01-06,0.031,0.038,0.031,0.001,-0.022,NA,FALSE
North America,2020-01-06,0,0,0,0,0,NA,FALSE
Latin America and Caribbean,2020-01-06,0,0.003,0.001,-0,-0.001,0,FALSE
Asia,2020-01-06,-0.003,-0.002,-0.003,-0.023,-0.03,NA,FALSE
Oceania,2020-01-06,-0.01,0.026,0.002,-0.011,-0.026,NA,FALSE
Europe,2020-01-13,-0,0,-0,-0,-0,NA,FALSE
Africa,2020-01-13,0.031,0.037,0.031,0.001,-0.021,NA,FALSE
North America,2020-01-13,0,0,0,0,0,NA,FALSE
Latin America and Caribbean,2020-01-13,0,0.002,0.001,-0,-0.002,0,FALSE
Oceania,2020-01-13,-0.01,0.025,0.002,-0.011,-0.025,NA,FALSE
Asia,2020-01-13,-0.008,-0.006,-0.008,-0.028,-0.036,NA,FALSE
Europe,2020-01-20,-0,-0,-0,-0,-0,NA,FALSE
Africa,2020-01-20,0.032,0.041,0.032,-0.003,-0.024,NA,FALSE
North America,2020-01-20,0,0,0,0,0,NA,FALSE
Latin America and Caribbean,2020-01-20,0.001,0.005,0.002,0,-0.002,0,FALSE
Oceania,2020-01-20,-0.02,0.02,-0.002,-0.021,-0.039,NA,FALSE
Asia,2020-01-20,-0.013,0.003,-0.013,-0.037,-0.052,NA,FALSE
Europe,2020-01-27,-0.119,-0.119,-0.119,-0.119,-0.119,0,FALSE
