iso3c,date,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,demography_adjusted_ifr_percent,aged_65_older_pct,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_top_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_bot_95
ABW,2023-08-02,466.49104886473793,546.1554069044378,325.1432790824381,0.598942585166585,13.085,77.885770759645,91.18660459792395,54.286218267817,3565.082528580343,4173.9045235341055,2484.8550178252813
AFG,2023-08-02,319.84523424116975,415.06797708699975,141.07271744399978,0.133977584914315,2.581,238.7304073630868,309.80404472319407,105.29576087986841,12392.298885748538,16081.672882099952,5465.816251220449
AGO,2023-08-02,143.70506011741992,280.4128834280001,7.0491350520000395,0.121039008405945,2.405,118.7262371114746,231.6714975783189,5.823853933401698,5975.262374944696,11659.579352515597,293.10332856549024
AIA,2023-08-02,282.5946648830303,584.2556957190002,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,2023-08-02,590.1213061065504,607.2752290750402,570.8043538510403,0.616849351969257,13.188,95.66700592658825,98.44789933495886,92.53545489328623,4474.683849761529,4604.756059107069,4328.210144457388
AND,2023-08-02,282.9936024829871,484.8942071525456,109.33351198754744,NA,NA,NA,NA,NA,NA,NA,NA
ARE,2023-08-02,162.28364047956214,301.59928036781184,72.64412524981195,0.146881907898462,1.144,110.48579283961045,205.33453349224226,49.45750384726083,14185.632909052636,26363.573458724815,6350.010948410136
ARG,2023-08-02,384.39850309775335,425.1666060394233,331.09897387742336,0.509096118338698,11.198,75.50607621054691,83.51401449039591,65.03663295604733,3432.7424816730963,3796.8084125685236,2956.768832625677
ARM,2023-08-02,492.74127698528974,616.9544007790005,430.5039186400004,0.548929702336841,11.232,89.76400345757347,112.39224224023086,78.42605652550921,4386.941568601227,5492.827642263182,3832.8340334757872
ASM,2023-08-02,98.3825594592602,390.7522579749999,0,NA,NA,NA,NA,NA,NA,NA,NA
ATG,2023-08-02,-65.31599180385432,40.27262676308544,0,0.430378985218555,6.933,0,9.357479836668652,-39.4100061390733,-942.102867501144,580.8831207714617,0
