location,official_covid_deaths_absolute,estimate_absolute,estimate_top_95_absolute,estimate_bot_95_absolute,difference_pct,vaccinated_per_100,official_covid_deaths_per_100k,estimate_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k
Afghanistan,7297,70948.921,104658.415,33591.8,872.3,NA,18.318,178.105,262.727,84.326
Africa,221228,2064305.99,2536564.376,865272.8,833.1,10.090478706950089,16.107,150.493,184.922,63.081
Albania,3022,12665.216,13172.251,11799.046,319.1,NA,105.189,440.846,458.495,410.697
Algeria,6009,47865.772,102126.052,7874.031,696.6,NA,13.468,107.282,228.897,17.648
Americas,NA,3196615.155,3314001.969,3041770.87,NA,NA,NA,311.323,322.756,296.243
Andorra,130,153.393,252.612,116.943,18,NA,168.059,198.3,326.566,151.179
Angola,1729,35777.114,57667.376,-4151.518,1969.2,17.534865358125312,5.095,105.433,169.942,-12.234
Anguilla,NA,-0.959,32.69,-10.159,NA,NA,NA,-6.34,216.133,-67.168
Antigua and Barbuda,108,57.62,158.629,10.68,-46.6,NA,109.391,58.363,160.673,10.818
Argentina,116341,145878.559,185865.973,130118.859,25.4,NA,255.101,319.868,407.549,285.312
Armenia,7183,15607.593,19596.778,11524.306,117.3,NA,242.004,525.84,660.24,388.269
Aruba,NA,79.17,164.27,19.601,NA,77.75176080973927,NA,73.856,153.244,18.285
Asia,1202051,9662735.727,12377957.189,3860593.046,703.9,60.49639995425215,25.693,206.552,264.593,82.525
Australia,1933,-1702.532,1422.253,-3458.756,-188.1,76.48328692130984,7.496,-6.602,5.515,-13.412
Austria,11903,13239.925,13969.208,12781.003,11.2,NA,131.626,146.41,154.474,141.335
Azerbaijan,7551,36984.384,49657.777,23304.599,389.8,49.28157557840174,73.86,361.764,485.729,227.955
Bahamas,671,864.354,1610.487,539.434,28.8,NA,169.054,217.769,405.752,135.907
Bahrain,1393,3331.206,12553.769,1377.247,139.1,67.7824394624477,79.678,190.54,718.058,78.777
Bangladesh,27939,589137.19,725759.15,204434.003,2008.7,31.86665037837389,16.8,354.254,436.406,122.928
Barbados,205,97.877,334.115,15.924,-52.3,NA,71.253,34.02,116.13,5.535
Belarus,4901,51202.9,52707.824,40572.277,944.7,NA,51.902,542.239,558.176,429.661
Belgium,26526,21087.207,21118.038,19512.541,-20.5,NA,228.037,181.281,181.546,167.744
Belize,558,938.557,1476.415,672.624,68.2,NA,137.807,231.791,364.624,166.115
