location,iso3c,official_covid_deaths_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_demography_adjusted,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95
Aruba,ABW,NA,497.15083675853793,549.715,310.767,3799.395007707588,356.77067839794273,83.0047568950644,91.78093699107144,51.88601887174269
Afghanistan,AFG,NA,294.1889898090003,438.717,138.515,11398.256094885715,943.8010198711921,219.5807530021892,327.4552325313072,103.38636562719562
Angola,AGO,NA,149.8063248397,373.935,12.508,6228.953215787943,531.9746834552159,123.76697959824172,308.9375440749514,10.334181754900747
Albania,ALB,NA,568.4782186972403,604.497,550.142,4310.57187365211,396.1146353806773,92.15835550161566,97.99745105546737,89.18580026496625
United Arab Emirates,ARE,NA,103.10541239409646,240.002,66.392,9012.71087360983,301.71668734710374,70.1961282157175,163.39820624389483,45.20074172905798
Argentina,ARG,NA,394.2964003311231,468.671,331.164,3521.132348018602,332.896476761243,77.45028613021178,92.05949493050736,65.04947063888277
Armenia,ARM,NA,458.92136683280023,707.43,423.662,4085.838379921655,359.3417841350303,83.60293948007048,128.87451008998187,77.17955510249068
Antigua and Barbuda,ATG,NA,-70.01755570791447,56.329,-185.158,-1009.9171456499996,-69.92654337717357,0,13.08828812900348,0
Australia,AUS,NA,121.24390225540506,141.727,108.314,782.0169134120555,71.58377405899564,16.654378072994724,19.46798711958311,14.878354645883617
Austria,AUT,NA,318.9998260726009,324.407,311.909,1661.284377005525,153.71691009257728,35.76312607916498,36.36931354139425,34.96812705803877
Azerbaijan,AZE,NA,358.0290897543004,511.086,261.217,5949.303585149558,451.52212962366855,105.04922873832918,149.95761421943624,76.64375945218359
Burundi,BDI,NA,166.04946846829966,441.339,-4.532,6481.243890253696,575.0226010310585,133.78232600862142,355.57670845100364,0
Belgium,BEL,NA,281.98470758658897,289.672,276.182,1518.414235025518,135.8147689507761,31.59808964722231,32.459462477677896,30.947836833329383
Benin,BEN,NA,165.73079586390003,443.804,-12.657,5108.840809614673,441.2661818270431,102.66312330665512,274.91762219588367,0
Burkina Faso,BFA,NA,180.7586998537,435.4,-24.988,7503.474464661686,619.2860082978635,144.08046310897564,347.0514654863015,0
Bangladesh,BGD,17.219,335.39818648270045,808.407,124.17,6579.015034968625,524.6496718440014,122.06277338159684,294.2065763440886,45.18967771332717
Bulgaria,BGR,NA,1014.164593281775,1032.384,1007.706,4875.556912080068,504.43225033094484,117.35907361212053,119.46741980927696,116.61168826446192
Bahrain,BHR,NA,275.75746362520033,438.998,148.767,11625.52544794268,633.3509727357949,147.3527582402645,234.58133286926056,79.49458380433914
Bahamas,BHS,NA,354.55819270175294,434.653,260.65,3941.287157645097,416.54130842412815,96.9107388470189,118.80290608842432,71.24301894186826
Bosnia,BIH,NA,788.7094563991543,802.592,775.744,4760.151224570911,465.4806072579544,108.29674910032138,110.20291431556105,106.51654140785963
Belarus,BLR,NA,817.6312943329319,866.801,496.946,5524.909077187189,504.05714909245614,117.27180414465307,124.32413809073296,71.27626333813612
Belize,BLZ,NA,214.9197089045634,302.766,130.413,5577.983620673849,349.495733185199,81.31219891490673,114.54767543035206,49.34012680852875
Bolivia,BOL,NA,498.1126207197386,646.419,475.155,7430.080857991327,606.1202314906081,141.01736916827355,183.00352341137705,134.5178665137793
