world,date,estimate,bin_min,bin_max,bin_n
World,2022-08-24,22979107.000905212,14803369.00924436,15074905.334141888,1
World,2022-08-24,22979107.000905212,15346441.659039415,15617977.983936945,2
World,2022-08-24,22979107.000905212,15617977.983936945,15889514.308834473,1
World,2022-08-24,22979107.000905212,16161050.633732,16432586.95862953,4
World,2022-08-24,22979107.000905212,16432586.95862953,16704123.283527058,1
World,2022-08-24,22979107.000905212,16704123.283527058,16975659.608424585,1
World,2022-08-24,22979107.000905212,17247195.933322113,17518732.25821964,4
World,2022-08-24,22979107.000905212,17518732.25821964,17790268.58311717,3
World,2022-08-24,22979107.000905212,17790268.58311717,18061804.9080147,2
World,2022-08-24,22979107.000905212,18061804.9080147,18333341.232912228,2
World,2022-08-24,22979107.000905212,18604877.557809755,18876413.882707283,1
World,2022-08-24,22979107.000905212,18876413.882707283,19147950.20760481,3
World,2022-08-24,22979107.000905212,19419486.53250234,19691022.857399866,3
World,2022-08-24,22979107.000905212,19691022.857399866,19962559.182297394,2
World,2022-08-24,22979107.000905212,19962559.182297394,20234095.50719492,2
World,2022-08-24,22979107.000905212,20234095.50719492,20505631.83209245,2
World,2022-08-24,22979107.000905212,20505631.83209245,20777168.15698998,6
World,2022-08-24,22979107.000905212,20777168.15698998,21048704.48188751,1
World,2022-08-24,22979107.000905212,21048704.48188751,21320240.806785036,2
World,2022-08-24,22979107.000905212,21320240.806785036,21591777.131682564,5
World,2022-08-24,22979107.000905212,21591777.131682564,21863313.45658009,5
World,2022-08-24,22979107.000905212,21863313.45658009,22134849.781477623,9
World,2022-08-24,22979107.000905212,22134849.781477623,22406386.10637515,3
World,2022-08-24,22979107.000905212,22406386.10637515,22677922.431272678,3
World,2022-08-24,22979107.000905212,22677922.431272678,22949458.756170206,2
World,2022-08-24,22979107.000905212,22949458.756170206,23220995.081067733,3
World,2022-08-24,22979107.000905212,23220995.081067733,23492531.40596526,1
World,2022-08-24,22979107.000905212,23492531.40596526,23764067.73086279,1
World,2022-08-24,22979107.000905212,23764067.73086279,24035604.055760317,4
World,2022-08-24,22979107.000905212,24035604.055760317,24307140.380657844,1
World,2022-08-24,22979107.000905212,24307140.380657844,24578676.705555372,8
World,2022-08-24,22979107.000905212,24578676.705555372,24850213.0304529,1
World,2022-08-24,22979107.000905212,24850213.0304529,25121749.35535043,3
World,2022-08-24,22979107.000905212,25393285.68024796,25664822.005145486,3
World,2022-08-24,22979107.000905212,25664822.005145486,25936358.330043014,2
World,2022-08-24,22979107.000905212,26207894.65494054,26479430.979838073,1
World,2022-08-24,22979107.000905212,26750967.3047356,27022503.62963313,1
World,2022-08-24,22979107.000905212,28108648.92922324,28380185.254120767,1
World,2022-08-24,22979107.000905212,15074905.334141888,15346441.659039415,0
World,2022-08-24,22979107.000905212,15889514.308834473,16161050.633732,0
World,2022-08-24,22979107.000905212,16975659.608424585,17247195.933322113,0
World,2022-08-24,22979107.000905212,18333341.232912228,18604877.557809755,0
World,2022-08-24,22979107.000905212,19147950.20760481,19419486.53250234,0
World,2022-08-24,22979107.000905212,25121749.35535043,25393285.68024796,0
World,2022-08-24,22979107.000905212,25936358.330043014,26207894.65494054,0
World,2022-08-24,22979107.000905212,26479430.979838073,26750967.3047356,0
World,2022-08-24,22979107.000905212,27022503.62963313,27294039.954530656,0
World,2022-08-24,22979107.000905212,27294039.954530656,27565576.279428184,0
World,2022-08-24,22979107.000905212,27565576.279428184,27837112.60432571,0
World,2022-08-24,22979107.000905212,27837112.60432571,28108648.92922324,0
