location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
World,2020-01-01,-603.474,62.302,-519.924,-971.8,-1374.918,NA,FALSE
World,2020-01-06,-598.439,25.761,-472.244,-995.397,-1337.624,NA,FALSE
World,2020-01-13,-848.326,-94.062,-678.657,-1187.661,-1581.217,NA,FALSE
World,2020-01-20,-997.222,556.302,-442.928,-1435.124,-2468.157,NA,FALSE
World,2020-01-27,-1540.265,451.432,-929.572,-1929.769,-3143.16,10.833,FALSE
World,2020-02-03,85.054,1697.987,556.247,-516.665,-1879.743,46.5,FALSE
World,2020-02-10,-1608.994,-231.489,-1010.898,-2257.508,-3814.633,81.375,FALSE
World,2020-02-17,-2771.542,-1298.552,-2236.253,-3650.932,-5496.882,120.25,FALSE
World,2020-02-24,-3562.367,-1972.766,-2866.149,-4302.555,-6820.646,107.625,FALSE
World,2020-03-02,-3983.754,-2765.145,-3983.754,-6425.478,-8471.74,77.125,FALSE
World,2020-03-09,-1206.791,703.039,-859.433,-3020.12,-5577.128,126.125,FALSE
World,2020-03-16,1424.044,3001.562,1564.932,-601.96,-3269.796,431.25,FALSE
World,2020-03-23,4134.25,6498.838,4737.527,2651.516,-112.89,1371.25,FALSE
World,2020-03-30,5418.733,7951.114,5858.883,3567.619,-354.437,3327,FALSE
World,2020-04-06,7305.06,9264.456,7305.06,4654.815,1046.45,5980.375,FALSE
World,2020-04-13,6277.205,8462.04,6277.205,3615.103,235.187,7255.875,FALSE
World,2020-04-20,4018.604,6910.574,4170.569,1849.043,-775.341,7120.5,FALSE
World,2020-04-27,2057.835,6784.419,3066.626,493.079,-2381.36,6424.125,FALSE
World,2020-05-04,7877.624,11878.017,7939.951,5754.896,3391.947,5753.75,FALSE
World,2020-05-11,7920.959,12720.307,8795.518,6543.929,2957.127,5363,FALSE
World,2020-05-18,7840.304,13433.286,9138.986,6760.875,3251.027,4946.875,FALSE
World,2020-05-25,7380.973,29242.795,17299.584,6874.335,3459.968,4659.625,FALSE
World,2020-06-01,11450.243,23725.197,16552.901,11120.64,7878.578,4394.125,FALSE
World,2020-06-08,12166.786,22115.014,16657.042,12166.786,7947.155,4633,FALSE
World,2020-06-15,13887.522,21771.829,18029.149,13394.021,10109.302,4631.875,FALSE
World,2020-06-22,17680.417,23643.716,20450.842,15707.238,10562.835,5024,FALSE
World,2020-06-29,17554.225,25553.088,22041.369,16893.253,13268.911,4698.125,FALSE
World,2020-07-06,19584.098,26961.588,22708.691,18544.576,15310.08,4790.875,FALSE
World,2020-07-13,20082.006,27016.036,23821.555,19599.638,15774.329,5216.75,FALSE
World,2020-07-20,22759.021,27484.709,24990.494,20565.779,15981.911,5482,FALSE
World,2020-07-27,20902.4,28880.167,24878.795,20902.4,16657.285,5825.75,FALSE
World,2020-08-03,19056.277,25032.067,22377.55,18790.779,14352.205,5974.75,FALSE
World,2020-08-10,19566.682,25962.075,23145.691,19383.477,15027.829,6201.375,FALSE
World,2020-08-17,18188.322,26121.994,23089.472,18188.322,13399.835,5975.25,FALSE
World,2020-08-24,19536.427,25328.481,22388.472,18624.099,12871.586,5712.375,FALSE
World,2020-08-31,17506.902,23793.096,20644.847,17017.39,11518.306,5574.75,FALSE
World,2020-09-07,19962.989,25894.792,22303.847,18709.589,12078.971,5538.625,FALSE
World,2020-09-14,19338.531,25762.046,22568.63,18621.245,12424.086,5352.375,FALSE
World,2020-09-21,18946.944,24499.369,21566.261,17808.478,11708.381,5279.125,FALSE
World,2020-09-28,16574.855,22490.07,19127.27,15872.092,10832.341,5280.375,FALSE
World,2020-10-05,18301.899,23677.35,19892.123,17239.949,12754.527,5536.875,FALSE
World,2020-10-12,18012.682,23810.344,20475.058,17729.917,13721.464,5237.25,FALSE
World,2020-10-19,19084.088,24848.464,21430.322,18595.218,14176.834,5326.625,FALSE
World,2020-10-26,20393.525,25662.487,22502.143,19814.492,15819.574,5948.25,FALSE
World,2020-11-02,25366.453,31947.931,28270.337,24467.895,21373.304,6721.5,FALSE
World,2020-11-09,26160.301,33211.184,29169.924,25585.184,21937.858,8192.375,FALSE
World,2020-11-16,27061.044,32761.502,29273.237,25113.779,21758.691,8943.625,FALSE
World,2020-11-23,26989.611,32362.132,29462.518,25323.212,21855.266,9887.25,FALSE
World,2020-11-30,26621.126,33511.945,29422.169,25817.82,22065.845,10243.375,FALSE
World,2020-12-07,26947.751,34024.938,30293.566,26903.725,22982.552,10825,FALSE
World,2020-12-14,25901.217,32909.355,28897,25901.217,21806.86,10915.375,FALSE
World,2020-12-21,25774.955,32931.776,29278.915,25774.955,22205.046,11458.25,FALSE
World,2020-12-28,30125.648,36053.604,33370.895,30125.648,27108.217,10494.25,FALSE
World,2021-01-04,25939.006,31227.52,27820.122,25016.013,19278.073,11292.875,FALSE
World,2021-01-11,26898.023,31667.635,28764.262,25510.889,20941.093,12956.25,FALSE
World,2021-01-18,26161.64,32082.314,28612.383,25551.59,20416.393,13685.625,FALSE
World,2021-01-25,23315.543,28859.384,25775.534,22866.554,18289.96,14092.5,FALSE
World,2021-02-01,19922.378,23907.842,21493.025,19172.386,15537.359,13860,FALSE
World,2021-02-08,16334.308,20817.015,18343.265,15932.647,11811.412,12542.25,FALSE
World,2021-02-15,15957.153,20383.728,17989.71,15604.628,11371.263,11324.75,FALSE
World,2021-02-22,14308.579,18722.994,16131.164,13887.686,9988.18,9632.5,FALSE
World,2021-03-01,16461.756,20806.237,18183.554,15723.904,11434.897,9433.875,FALSE
World,2021-03-08,16467.443,21772.092,18672.623,16136.793,12043.426,8986.75,FALSE
World,2021-03-15,19614.828,23473.126,20491.047,17846.676,13083.391,8750.375,FALSE
World,2021-03-22,19203.41,27165.978,22306.318,19188.565,13912.592,9452.5,FALSE
World,2021-03-29,27290.376,37028.08,32127.411,24848.205,18877.603,10072.75,FALSE
World,2021-04-05,33001.367,42738.587,35849.511,28819.958,23853.61,10184.125,FALSE
World,2021-04-12,36162.438,52336.644,40213.467,31643.409,26149.094,12094.75,FALSE
World,2021-04-19,39241.188,58838.035,43938.39,36898.746,30378.801,12214.375,FALSE
World,2021-04-26,42910.128,74052.871,55126.694,42910.128,33024.862,13112.875,FALSE
World,2021-05-03,54498.853,90937.925,67129.095,49330.85,32426.714,13474.25,FALSE
World,2021-05-10,52920.342,89359.844,69831.817,46682.964,32091.836,13077.75,FALSE
World,2021-05-17,55097.605,91974.207,73365.006,50390.156,27677.229,12473.375,FALSE
World,2021-05-24,53931.693,102330.568,77793.335,50825.424,25921.535,11934.75,FALSE
World,2021-05-31,37511.588,80414.062,63934.618,37511.588,23367.655,10975.5,FALSE
World,2021-06-07,34975.126,71256.149,56528.729,34975.126,22601.964,9647.375,FALSE
World,2021-06-14,32514.34,52596.166,43637.112,31592.86,22009.545,9542.5,FALSE
World,2021-06-21,24895.631,46411.47,38643.545,24895.631,20044.217,8656.625,FALSE
World,2021-06-28,24659.433,41207.335,34654.876,24659.433,20811.595,7926,FALSE
World,2021-07-05,24944.316,38816.099,34204.911,24944.316,21900.832,7721.75,FALSE
World,2021-07-12,30132.795,45714.002,36267.112,28851.438,23624.028,8096.125,FALSE
World,2021-07-19,31898.688,45499.88,37763.934,30842.469,24402.896,7976.875,FALSE
World,2021-07-26,35390.473,48934.185,39890.399,33214.977,26700.52,8680.5,FALSE
World,2021-08-02,41684.331,51985.307,45221.755,36960.609,30584.738,9079.75,FALSE
World,2021-08-09,37541.914,53294.067,44048.775,37029.595,30654.727,9425.75,FALSE
World,2021-08-16,37555.762,52982.445,43620.213,36968.066,30911.28,9733.625,FALSE
World,2021-08-23,40772.04,53226.556,43874.156,36627.106,31807.973,10009.375,FALSE
World,2021-08-30,36680.83,47998.849,41061.599,34919.632,29111.666,9900.25,FALSE
World,2021-09-06,36316.068,47475.163,40304.733,34377.043,29627.86,9498.125,FALSE
World,2021-09-13,31693.072,42497.038,37708.728,31670.782,27080.525,8975.75,FALSE
World,2021-09-20,29685.568,40580.332,35723.701,29685.568,25840.293,8750.75,FALSE
World,2021-09-27,28445.722,38728.698,32890.232,27557.857,23858.654,8089.125,FALSE
World,2021-10-04,27558.082,36367.123,30063.026,25495.908,22261.188,7673.125,FALSE
World,2021-10-11,26646.409,35129.646,29316.476,24761.125,21384.863,6994.625,FALSE
World,2021-10-18,26147.915,34839.416,28833.968,24541.656,21040.866,6784.625,FALSE
World,2021-10-25,26097.856,35634.748,29594.549,24401.165,21072.915,7064.875,FALSE
World,2021-11-01,26167.553,34402.525,29005.563,24905.782,21402.669,7194.125,FALSE
World,2021-11-08,25634.658,32314.993,28406.367,24091.553,21166.857,7014.875,FALSE
World,2021-11-15,23438.771,32172.846,27367.384,23438.771,20161.001,7216.25,FALSE
World,2021-11-22,24271.579,32182.723,27386.166,23571.897,20322.981,7250.875,FALSE
World,2021-11-29,24159.468,32438.064,28125.723,23828.438,21304.785,7146,FALSE
World,2021-12-06,20455.054,28822.894,24867.612,20320.334,17203.954,7986.5,FALSE
World,2021-12-13,18400.955,27005.226,22765.333,18400.955,16008.099,7120.375,FALSE
World,2021-12-20,20405.349,27544.497,23819.489,19651.567,16813.291,6874.75,FALSE
