location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
World,2020-01-01,1587.989,3821.192,1587.989,-7418.993,-10780.707,NA,FALSE
World,2020-01-06,3137.877,7634.319,3137.877,-14926.509,-22063.474,NA,FALSE
World,2020-01-13,2931.135,10236.935,2931.135,-23761.527,-34741.403,NA,FALSE
World,2020-01-20,1565.751,13639.381,1565.751,-35342.468,-51855.53,NA,FALSE
World,2020-01-27,-2980.358,16728.388,-2980.358,-49415.614,-72737.525,82,FALSE
World,2020-02-03,4951.222,32131.324,4951.222,-53604.405,-84659.367,426,FALSE
World,2020-02-10,-344.007,27501.968,-344.007,-69926.008,-113195.447,1013,FALSE
World,2020-02-17,-12102.146,20806.478,-12102.146,-94338.918,-150770.345,1868,FALSE
World,2020-02-24,-30484.42,-287.984,-30484.42,-122248.494,-193536.236,2630,FALSE
World,2020-03-02,-59389.804,-21051.638,-59389.804,-158249.248,-249076.33,3086,FALSE
World,2020-03-09,-65856.444,-22174.377,-65856.444,-173673.009,-282533.872,3997,FALSE
World,2020-03-16,-54170.918,-11656.805,-54170.918,-172167.768,-277695.423,7177,FALSE
World,2020-03-23,-20561.291,1246.173,-20561.291,-150530.115,-264898.013,16891,FALSE
World,2020-03-30,22679.027,29704.299,22679.027,-119122.663,-250185.928,39907,FALSE
World,2020-04-06,74164.573,80364.243,74164.573,-85710.706,-253204.723,79980,FALSE
World,2020-04-13,117850.275,131700.877,117850.275,-61765.14,-240665.887,129014,FALSE
World,2020-04-20,151588.602,173401.524,151588.602,-47746.3,-242103.664,178373,FALSE
World,2020-04-27,176425.959,206160.46,176425.959,-42321.904,-255788.392,221789,FALSE
World,2020-05-04,234104.649,274685.626,234104.649,-1396.904,-218543.453,261244,FALSE
World,2020-05-11,294922.003,348833.984,294922.003,41082.232,-179711.243,298341,FALSE
World,2020-05-18,360143.336,410930.386,360143.336,86256.609,-152910.558,333307,FALSE
World,2020-05-25,506125.439,541575.468,506125.439,159642.319,-145567.946,363850,FALSE
World,2020-06-01,624061.57,657564.761,624061.57,273431.947,-112082.928,395099,FALSE
World,2020-06-08,754060.947,788058.588,754060.947,360075.923,-24328.539,428190,FALSE
World,2020-06-15,892904.572,928764.509,892904.572,459209.695,72401.98,460606,FALSE
World,2020-06-22,1051708.385,1087582.498,1051708.385,575350.452,218371.125,497724,FALSE
World,2020-06-29,1222892.703,1253269.413,1222892.703,696770.142,375246.949,531235,FALSE
World,2020-07-06,1387694.688,1432843.663,1387694.688,826617.584,475023.686,565345,FALSE
World,2020-07-13,1561239.625,1615503.742,1561239.625,971566.695,582390.466,602681,FALSE
World,2020-07-20,1744327.101,1786403.701,1744327.101,1114412.414,687011.809,643061,FALSE
World,2020-07-27,1925985.63,1962067.717,1925985.63,1248124.358,803640.018,685612,FALSE
World,2020-08-03,2081993.093,2143449.283,2081993.093,1368249.054,912400.559,728022,FALSE
World,2020-08-10,2238533.391,2337871.288,2238533.391,1512870.604,1018665.269,772711,FALSE
World,2020-08-17,2395602.772,2533337.418,2395602.772,1645649.631,1118151.804,815079,FALSE
World,2020-08-24,2542669.815,2721225.267,2542669.815,1793422.613,1221019.852,855662,FALSE
World,2020-08-31,2676704.903,2875776.349,2676704.903,1921061.252,1327183.96,895267,FALSE
World,2020-09-07,2820865.018,3040860.78,2820865.018,2083466.168,1437729.031,938927,FALSE
World,2020-09-14,2968482.612,3223027.564,2968482.612,2222231.087,1563403.211,975894,FALSE
World,2020-09-21,3108980.072,3397654.116,3108980.072,2371566.855,1689269.411,1013456,FALSE
World,2020-09-28,3237866,3547401.82,3237866,2468073.76,1800269.788,1051170,FALSE
World,2020-10-05,3375212.046,3721717.422,3375212.046,2585810.495,1924772.719,1093942,FALSE
World,2020-10-12,3514881.736,3873851.747,3514881.736,2704865.818,2042481.107,1131325,FALSE
World,2020-10-19,3662257.236,4033468.461,3662257.236,2830867.33,2177983.579,1169536,FALSE
World,2020-10-26,3818544.487,4192928.227,3818544.487,2972179.814,2317547.36,1211783,FALSE
World,2020-11-02,4014732.384,4404703.473,4014732.384,3148504.848,2494183.555,1259196,FALSE
World,2020-11-09,4218227.004,4617527.761,4218227.004,3352493.091,2677357.409,1317814,FALSE
World,2020-11-16,4420519.584,4802095.684,4420519.584,3524063.717,2856549.397,1381421,FALSE
World,2020-11-23,4622135.214,4991980.174,4622135.214,3695867.559,3035197.997,1451906,FALSE
World,2020-11-30,4818846.361,5188955.275,4818846.361,3879164.117,3220802.332,1524771,FALSE
World,2020-12-07,5023338.037,5393144.589,5023338.037,4102763.218,3393804.391,1602126,FALSE
World,2020-12-14,5218686.302,5632014.453,5218686.302,4293503.307,3550865.013,1680616,FALSE
World,2020-12-21,5415448.724,5872330.065,5415448.724,4454761.137,3710554.35,1762864,FALSE
World,2020-12-28,5615297.825,6104311.494,5615297.825,4622545.7,3880963.024,1836320,FALSE
World,2021-01-04,5795240.541,6300247.095,5795240.541,4787407.806,4026682.754,1916058,FALSE
World,2021-01-11,5980786.677,6500534.755,5980786.677,4972574.186,4174577.651,2008951,FALSE
World,2021-01-18,6167913.202,6704888.38,6167913.202,5168654.735,4316125.43,2106598,FALSE
World,2021-01-25,6336145.516,6885755.64,6336145.516,5348315.884,4442326.305,2208162,FALSE
World,2021-02-01,6475149.665,7031916.757,6475149.665,5464376.372,4552810.099,2307973,FALSE
World,2021-02-08,6592123.429,7154585.857,6592123.429,5556626.972,4637319.416,2398099,FALSE
World,2021-02-15,6704819.321,7275795.479,6704819.321,5649125.245,4717409.628,2479110,FALSE
World,2021-02-22,6808692.977,7381726.202,6808692.977,5723821.054,4789792.833,2548355,FALSE
World,2021-03-01,6923061.385,7513066.758,6923061.385,5832316.447,4872820.576,2616475,FALSE
World,2021-03-08,7046696.259,7650825.242,7046696.259,5944863.768,4958120.112,2680864,FALSE
World,2021-03-15,7184646.377,7804364.248,7184646.377,6071359.367,5050995.433,2743667,FALSE
World,2021-03-22,7331617.927,7968125.554,7331617.927,6212794.248,5162210.905,2811599,FALSE
World,2021-03-29,7528761.72,8185358.023,7528761.72,6390631.932,5296903.075,2884198,FALSE
World,2021-04-05,7753059.67,8426593.545,7753059.67,6618732.561,5452130.583,2956929,FALSE
World,2021-04-12,8012880.429,8704494.881,8012880.429,6864044.235,5647446.727,3045485,FALSE
World,2021-04-19,8299132.048,9043813.358,8299132.048,7139925.743,5888007.561,3133290,FALSE
World,2021-04-26,8673876.302,9495776.956,8673876.302,7557571.189,6147174.333,3226979,FALSE
World,2021-05-03,9092149.811,9989170.262,9092149.811,7941385.902,6393341.288,3323090,FALSE
World,2021-05-10,9520024.638,10593496.97,9632123.869,8265064.908,6628630.161,3415913,FALSE
World,2021-05-17,9937438.196,11125945.536,10167792.746,8732801.938,6834810.6,3504554,FALSE
World,2021-05-24,10433969.041,11701607.492,10732260.909,9073607.796,7013373.777,3588626,FALSE
World,2021-05-31,10826701.761,12235414.119,11164784.943,9295968.1,7174545.096,3667207,FALSE
World,2021-06-07,11172153.207,12741456.181,11606165.299,9635780.297,7328377.099,3739873,FALSE
World,2021-06-14,11432225.75,13182783.906,11927597.752,9880679.855,7489540.812,3815446,FALSE
World,2021-06-21,11650469.19,13593196.187,12148063.352,10061254.817,7640442.721,3876627,FALSE
World,2021-06-28,11875966.643,13848980.756,12363310.528,10267617.318,7806067.44,3932965,FALSE
World,2021-07-05,12096230.224,14082135.833,12588874.615,10485734.468,7978133.259,3988091,FALSE
World,2021-07-12,12329922.563,14329705.395,12864602.763,10693922.031,8156672.868,4044684,FALSE
World,2021-07-19,12570938.618,14582533.783,13170637.008,10936145.556,8342289.377,4100245,FALSE
