location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
World,2020-01-01,-0.005,0.078,-0.005,-0.089,-0.125,NA,FALSE
World,2020-01-06,-0.01,0.156,-0.01,-0.177,-0.243,0,FALSE
World,2020-01-13,-0.035,0.211,-0.035,-0.279,-0.389,0,FALSE
World,2020-01-20,-0.079,0.273,-0.079,-0.421,-0.563,0,FALSE
World,2020-01-27,-0.178,0.294,-0.178,-0.595,-0.813,0.001,FALSE
World,2020-02-03,-0.129,0.431,-0.129,-0.625,-0.942,0.005,FALSE
World,2020-02-10,-0.214,0.377,-0.214,-0.823,-1.176,0.013,FALSE
World,2020-02-17,-0.407,0.307,-0.407,-1.131,-1.654,0.024,FALSE
World,2020-02-24,-0.664,0.27,-0.664,-1.492,-2.106,0.033,FALSE
World,2020-03-02,-1.023,0.117,-1.023,-1.958,-2.627,0.038,FALSE
World,2020-03-09,-1.136,0.272,-1.136,-2.136,-2.864,0.048,FALSE
World,2020-03-16,-1.023,0.556,-1.023,-2.09,-2.987,0.086,FALSE
World,2020-03-23,-0.589,1.129,-0.589,-1.841,-2.836,0.215,FALSE
World,2020-03-30,-0.125,1.695,-0.125,-1.486,-2.691,0.51,FALSE
World,2020-04-06,0.512,2.559,0.512,-0.989,-2.299,0.997,FALSE
World,2020-04-13,1.024,3.276,1.024,-0.621,-2.078,1.609,FALSE
World,2020-04-20,1.437,3.895,1.437,-0.336,-2.061,2.23,FALSE
World,2020-04-27,1.729,4.304,1.729,-0.309,-2.179,2.785,FALSE
World,2020-05-04,2.443,5.095,2.443,0.126,-1.833,3.299,FALSE
World,2020-05-11,3.183,6.009,3.183,0.734,-1.45,3.792,FALSE
World,2020-05-18,3.902,6.887,3.934,1.353,-1.08,4.239,FALSE
World,2020-05-25,4.627,7.774,4.798,1.906,-0.875,4.669,FALSE
World,2020-06-01,5.671,9.067,5.999,2.949,-0.104,5.092,FALSE
World,2020-06-08,6.756,10.386,7.365,3.982,0.856,5.534,FALSE
World,2020-06-15,8.006,11.755,8.71,5.206,1.974,5.973,FALSE
World,2020-06-22,9.444,13.3,10.214,6.455,3.223,6.447,FALSE
World,2020-06-29,10.904,14.996,12.093,7.987,4.514,6.906,FALSE
World,2020-07-06,12.541,17.443,14.004,9.498,5.658,7.366,FALSE
World,2020-07-13,14.253,20.035,15.898,11.122,6.789,7.86,FALSE
World,2020-07-20,16.093,22.575,17.83,12.922,8.017,8.395,FALSE
World,2020-07-27,17.942,25.159,20.03,14.74,9.315,8.96,FALSE
World,2020-08-03,19.639,27.424,21.895,16.385,10.505,9.526,FALSE
World,2020-08-10,21.347,29.706,23.843,18.003,11.803,10.098,FALSE
World,2020-08-17,22.954,31.813,25.736,19.625,13.432,10.65,FALSE
World,2020-08-24,24.563,33.878,27.417,21.307,14.949,11.186,FALSE
World,2020-08-31,26.084,35.987,29.124,22.864,16.296,11.704,FALSE
World,2020-09-07,27.741,38.107,30.987,24.51,17.528,12.248,FALSE
World,2020-09-14,29.331,40.076,33.037,25.939,18.764,12.742,FALSE
World,2020-09-21,30.928,42.163,34.906,27.661,20.039,13.228,FALSE
World,2020-09-28,32.361,44.007,36.749,29.095,21.371,13.702,FALSE
World,2020-10-05,33.911,45.894,38.4,30.677,22.83,14.171,FALSE
World,2020-10-12,35.567,48.124,40.061,32.407,24.146,14.646,FALSE
World,2020-10-19,37.274,50.482,41.704,34.083,25.373,15.126,FALSE
World,2020-10-26,39.063,52.91,43.544,35.955,26.9,15.673,FALSE
World,2020-11-02,41.343,55.824,46.157,38.14,29.021,16.3,FALSE
World,2020-11-09,43.715,58.835,48.541,40.286,31.166,17.046,FALSE
World,2020-11-16,46.124,61.542,50.907,42.503,33.294,17.887,FALSE
World,2020-11-23,48.503,64.514,53.475,44.717,35.43,18.81,FALSE
World,2020-11-30,50.779,67.276,55.792,47.005,37.593,19.762,FALSE
World,2020-12-07,53.1,69.992,58.168,49.334,39.747,20.768,FALSE
World,2020-12-14,55.37,72.556,60.703,51.495,41.817,21.806,FALSE
World,2020-12-21,57.685,75.184,63.088,53.675,43.933,22.887,FALSE
World,2020-12-28,60.429,78.284,65.849,56.302,46.346,23.896,FALSE
World,2021-01-04,62.796,80.899,68.324,58.668,48.227,24.99,FALSE
World,2021-01-11,65.257,83.596,70.785,61.027,50.194,26.176,FALSE
World,2021-01-18,67.711,86.256,73.41,63.403,52.121,27.45,FALSE
World,2021-01-25,69.856,88.668,75.673,65.245,53.765,28.747,FALSE
World,2021-02-01,71.651,90.73,77.368,66.887,55.257,29.999,FALSE
World,2021-02-08,73.146,92.548,78.936,68.345,56.384,31.103,FALSE
World,2021-02-15,74.568,94.292,80.36,69.792,57.411,32.121,FALSE
World,2021-02-22,75.822,95.903,81.692,70.886,58.368,32.958,FALSE
World,2021-03-01,77.172,97.655,83.16,72.126,59.397,33.757,FALSE
World,2021-03-08,78.55,99.438,84.771,73.4,60.424,34.51,FALSE
World,2021-03-15,80.03,101.38,86.576,74.758,61.52,35.274,FALSE
World,2021-03-22,81.682,103.815,88.514,76.32,62.766,36.098,FALSE
World,2021-03-29,83.84,106.374,90.931,78.648,64.192,36.954,FALSE
World,2021-04-05,86.437,109.314,93.744,81.331,66.278,37.889,FALSE
World,2021-04-12,89.301,112.379,96.41,84.752,68.693,38.92,FALSE
World,2021-04-19,92.648,115.563,99.726,88.428,71.36,40.015,FALSE
World,2021-04-26,96.236,119.01,103.806,91.834,74.109,41.176,FALSE
World,2021-05-03,100.732,122.969,107.937,95.22,76.759,42.376,FALSE
World,2021-05-10,105.404,127.609,112.01,99.353,80.853,43.531,FALSE
World,2021-05-17,110.206,132.114,115.966,102.702,85.369,44.625,FALSE
World,2021-05-24,114.552,137.621,121.138,106.436,89.69,45.698,FALSE
World,2021-05-31,118.132,141.757,124.445,109.197,91.841,46.671,FALSE
World,2021-06-07,121.503,145.741,127.452,111.674,93.806,47.512,FALSE
World,2021-06-14,124.504,148.839,130.445,113.634,95.631,48.425,FALSE
World,2021-06-21,127.228,151.609,133.382,115.562,97.335,49.184,FALSE
World,2021-06-28,129.648,154.223,135.649,117.692,99.098,49.879,FALSE
World,2021-07-05,131.981,156.979,138.465,119.996,101.022,50.553,FALSE
World,2021-07-12,134.77,160.03,140.896,122.371,103.055,51.241,FALSE
World,2021-07-19,137.606,163.132,143.315,124.625,105.142,51.945,FALSE
World,2021-07-26,140.762,166.239,146.277,127.102,107.518,52.832,FALSE
World,2021-08-02,144.224,169.689,149.687,130.422,110.338,53.653,FALSE
World,2021-08-09,147.615,173.106,153.173,133.657,113.078,54.528,FALSE
World,2021-08-16,150.969,176.641,156.767,136.891,115.768,55.402,FALSE
World,2021-08-23,154.334,180.231,160.145,139.736,118.476,56.297,FALSE
World,2021-08-30,157.511,183.717,163.484,142.137,121.077,57.174,FALSE
World,2021-09-06,160.628,187.014,166.744,144.818,123.746,58.027,FALSE
World,2021-09-13,163.472,190.143,169.855,147.642,126.145,58.809,FALSE
World,2021-09-20,166.135,193.176,172.639,150.368,128.403,59.558,FALSE
World,2021-09-27,168.725,195.951,175.349,152.943,130.572,60.237,FALSE
World,2021-10-04,171.084,198.533,177.942,155.147,132.479,60.885,FALSE
World,2021-10-11,173.435,201.084,180.385,157.324,134.419,61.485,FALSE
World,2021-10-18,175.7,203.533,182.686,159.376,136.344,62.064,FALSE
World,2021-10-25,177.89,206.085,185.065,161.38,138.302,62.682,FALSE
World,2021-11-01,180.135,208.381,187.434,163.398,140.257,63.315,FALSE
World,2021-11-08,182.343,210.475,189.826,165.319,142.132,63.933,FALSE
World,2021-11-15,184.603,212.466,191.933,167.211,143.966,64.574,FALSE
World,2021-11-22,186.85,214.578,194.302,169.073,145.806,65.253,FALSE
World,2021-11-29,189.09,216.592,196.714,171.022,147.822,65.881,FALSE
World,2021-12-06,191.07,218.343,198.865,172.442,149.437,66.559,FALSE
World,2021-12-13,192.969,220.066,200.851,173.885,150.948,67.179,FALSE
World,2021-12-20,194.975,221.778,202.642,175.475,152.478,67.768,FALSE
World,2021-12-27,196.972,223.372,204.51,177.153,153.863,68.347,FALSE
World,2022-01-03,198.961,225.098,206.44,178.961,155.193,68.881,FALSE
World,2022-01-10,201.658,227.497,209.362,181.687,156.826,69.463,FALSE
World,2022-01-17,205.52,231.326,212.358,185.148,158.53,70.141,FALSE
World,2022-01-24,209.699,235.511,215.934,188.378,160.512,70.888,FALSE
World,2022-01-31,213.76,238.834,220.226,192.055,162.583,71.761,FALSE
World,2022-02-07,217.691,243.321,223.97,194.574,164.564,72.716,FALSE
World,2022-02-14,220.914,247.501,228.496,198.143,166.297,73.66,FALSE
World,2022-02-21,223.618,249.701,231.527,200.671,167.755,74.524,FALSE
World,2022-02-28,226.001,251.651,233.559,203.025,169.14,75.275,FALSE
World,2022-03-07,228.229,253.61,236.313,204.99,170.442,75.902,FALSE
World,2022-03-14,230.065,255.684,239.198,206.624,171.638,76.444,FALSE
World,2022-03-21,231.81,257.908,241.046,208.178,172.867,76.861,FALSE
World,2022-03-28,233.998,260.59,244.054,209.699,174.221,77.432,FALSE
World,2022-04-04,235.257,262.39,245.382,210.719,174.803,77.763,FALSE
World,2022-04-11,236.582,264.381,246.799,211.721,175.313,78.048,FALSE
World,2022-04-18,237.781,266.022,248.332,212.532,175.823,78.284,FALSE
World,2022-04-25,238.836,267.281,249.518,213.278,176.28,78.492,FALSE
World,2022-05-02,239.81,268.783,250.321,213.935,176.773,78.694,FALSE
World,2022-05-09,240.888,270.483,251.36,214.746,177.404,78.852,FALSE
World,2022-05-16,241.944,271.973,252.289,215.519,178.029,78.992,FALSE
World,2022-05-23,242.921,273.384,253.87,216.2,178.582,79.12,FALSE
World,2022-05-30,243.953,274.952,255.024,216.934,179.132,79.25,FALSE
World,2022-06-06,245.041,276.642,256.245,217.658,179.754,79.361,FALSE
