C.,S.,C. & S.,Basic data and indicators,...5,...6,...7,...8,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,...37
4,0,4-0,AFGHANISTAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1.1,4-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
4,1.2,4-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
4,1.3,4-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
4,1.4,4-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
8,0,8-0,ALBANIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Excluding nationals residing abroad.
2/ Including in transit visitors."
8,1.1,8-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/ 2/,VF,304,287,119,184,371,317,354,470,557,645,748,937,1127,1420,1856,2417,2932,3514,3256,3673,4131,4736,5118,5927,6406,NA
8,1.2,8-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,..,..,..,..,..,..,..,..,..,..,..,..,1062,1247,1711,2191,2469,3156,2857,3341,3784,4070,4643,5340,6128,NA
8,1.3,8-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,65,83,64,52,67,71,220,127,162,507,293,587,278,NA
8,1.4,8-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
12,0,12-0,ALGERIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Including nationals residing abroad.
12,1.1,12-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,520,605,635,678,749,866,901,988,1166,1234,1443,1638,1743,1772,1912,2070,2395,2634,2733,2301,1710,2039,2451,2657,2371,NA
12,1.2,12-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
12,1.3,12-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
12,1.4,12-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
16,0,16-0,AMERICAN SAMOA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,1/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ 2018: data source: South Pacific Tourism Organisation (2018 Annual Visitor Arrivals Report).
16,1.1,16-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.299999999999997,41.3,50.2,49.3,51.6,47.1,38.299999999999997,42.3,51.8,..,NA
16,1.2,16-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,34,35,26,36,41,44,36,..,..,..,24.5,25.3,24.1,24.3,23.5,23.1,22.6,22.6,20.8,21.6,20.3,20.100000000000001,20,20.2,..,NA
16,1.3,16-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.2,18.7,27.6,28.5,30,26.8,18.2,22.3,31.6,..,NA
16,1.4,16-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,4,4.9000000000000004,2.8,8.1999999999999993,3.5,6.1,..,..,..,..,17.2,18.7,27.6,28.5,30,26.8,18.2,22.3,31.6,..,NA
20,0,20-0,ANDORRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,1/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years."
20,1.1,20-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,..,..,..,9422,10991,11351,11507,11601,11668,11049,10737,10743,10194,9112,8551,7983,7900,7676,7797,7850,8025,8152,8328,..,NA
20,1.2,20-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,..,..,..,..,2347,2949,3516,3387,3138,2791,2418,2227,2189,2059,1830,1808,2242,2238,2328,2363,2663,2819,3003,3042,..,NA
20,1.3,20-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,7075,8042,7835,8120,8463,8877,8631,8510,8554,8134,7282,6743,5741,5663,5348,5433,5187,5206,5149,5286,..,NA
20,1.4,20-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
24,0,24-0,ANGOLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1.1,24-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
24,1.2,24-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,9,21,45,52,45,51,67,91,107,194,210,121,195,294,366,425,481,528,650,595,592,397,261,218,218,NA
24,1.3,24-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
24,1.4,24-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
660,0,660-0,ANGUILLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,1/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Excluding nationals residing abroad.
660,1.1,660-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,107,86,114,114,107,112,105,111,109,121,143,167,164,128,112,118,124,129,151,177,186,176,151,87,166,NA
660,1.2,660-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,39,37,43,44,47,44,48,44,47,54,62,73,78,68,58,62,66,65,69,71,73,79,68.3,55,95,NA
660,1.3,660-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,68,49,71,70,60,68,57,67,62,67,81,94,86,60,54,56,58,64,82,106,113,97,82.4,33,71,NA
660,1.4,660-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,6,5,6,4,1,2,2,2,3,3,6,7,3,3,3.5,41,NA
28,0,28-0,ANTIGUA AND BARBUDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Excluding yacht passenger arrivals.
2/ Arrivals by air. Excluding nationals residing abroad."
28,1.1,28-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,447,498,526,570,560,634,624,528,623,769,712,838,935,863,944,788,848,819,777,771,894,874,1040,1062,..,NA
28,1.2,28-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,2/,TF,220,228,240,234,232,207,215,218,239,246,245,254,262,266,234,230,241,247,243,249,250,265,247,269,..,NA
28,1.3,28-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,606.5,572,534,522,644,609,793,793,..,NA
28,1.4,28-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,606.5,572,534,522,644,609,793,793,..,NA
32,0,32-0,ARGENTINA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,1/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2018 series.
32,1.1,32-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9986,9964,10394,..,NA
32,1.2,32-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,2289,2614,2764,3012,2898,2909,2620,2820,2995,3457,3823,4173,4562,4700,4308,6800,6703,6497,6510,7165,6816,6668,6711,6942,..,NA
32,1.3,32-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3318,3253,3452,..,NA
32,1.4,32-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
51,0,51-0,ARMENIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1.1,51-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
51,1.2,51-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,12,13,23,32,41,45,123,162,206,263,319,382,511,558,575,684,758,963,1084,1204,1192,1260,1495,1652,..,NA
51,1.3,51-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
51,1.4,51-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
533,0,533-0,ARUBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Arrivals by air.
533,1.1,533-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,912,957,947,906,972,1211,1178,1225,1184,1304,1286,1285,1254,1383,1420,1394,1469,1481,1667,1739,1832,1758,1863,1897,1951,NA
533,1.2,533-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TF,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,1072,1225,1102,1070.5,1082,1119,NA
533,1.3,533-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792.4,815,832,NA
533,1.4,533-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792.4,815,832,NA
36,0,36-0,AUSTRALIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Excluding nationals residing abroad and crew members.
2/ Arrivals by air."
36,1.1,36-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,3726,4165,4318,4167,4459,4931,4856,4841,4746,5215,5499,5532,5644,5586,5490,5790,5771,6032,6482,6922,7449,8269,8815,9246,..,NA
36,1.2,36-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,2/,TF,..,..,..,3825,4109,4530,4435,4420,4354,4774,5020,5064,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
36,1.3,36-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,342,34,37,41,43,30,23,26,35,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
36,1.4,36-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
40,0,40-0,AUSTRIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/ Only paid accommodation; excluding stays at friends and relatives and second homes.
40,1.1,40-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
40,1.2,40-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TCE,17173,17090,16647,17352,17467,17982,18180,18611,19078,19374,19952,20269,20773,21935,21355,22004,23012,24151,24813,25291,26728,28121,29460,30816,31884,NA
40,1.3,40-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
40,1.4,40-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
31,0,31-0,AZERBAIJAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1.1,31-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,93,210,306,483,602,681,767,834,1038,1279,1177,1194,1333,1899,1830,1963,2239,2484,2509,2298,2006,2249,2697,2850,3168,NA
31,1.2,31-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,..,..,..,..,..,..,..,576,768,989,693,682,732,1043,1005,1280,1562,1986,2130,2160,1922,2044,2454,2633,..,NA
31,1.3,31-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,258,270,290,484,512,601,856,825,683,677,498,379,138,84,204,243,216,..,NA
31,1.4,31-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
44,0,44-0,BAHAMAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1.1,44-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,3239,3416,3446,3348,3648,4204,4183,4406,4594,5004,4779,4731,4601,4394,4645,5255,5588,5940,6151,6320,6112,6265,6136,6622,7250,NA
44,1.2,44-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,1598,1633,1618,1528,1577,1544,1538,1513,1510,1561,1608,1601,1528,1463,1327,1370,1346,1422,1366,1446,1496,1499,1452,1624,1802,NA
44,1.3,44-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,1640,1785,1828,1820,2071,2660,2645,2893,3084,3443,3171,3130,3073,2931,3318,3885,4242,4518,4785,4874,4616,4766,4694,4988,5448,NA
44,1.4,44-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,1543,1686,1751,1730,1981,2513,2552,2802,2970,3360,3079,3079,2971,2861,3256,3810,4161,4434,4709,4805,4513,4690,4626,4878,5433,NA
48,0,48-0,BAHRAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,1/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ From 2015, break in the series. Source: Inbound tourism survey. Excluding nationals residing abroad."
48,1.1,48-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,2311,1988,2600,2898,3280,3869,4388,4831,4844,5667,6313,7289,7833,8631,8861,11952,6732,8062,9163,10452,9670,10158,11374,12045,11061,NA
48,1.2,48-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,1396,1201,1611,1640,2019,2420,2789,3167,2955,3514,3914,4519,4935,..,..,..,..,..,..,..,3964,3990,4374,4367,3849,NA
48,1.3,48-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,915,787,989,1258,1261,1449,1599,1664,1889,2153,2399,2770,2898,..,..,..,..,..,..,..,5706,6168,7000,7678,7212,NA
48,1.4,48-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,56,69,81,134,NA
50,0,50-0,BANGLADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1.1,50-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
50,1.2,50-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,156,166,182,172,173,199,207,207,245,271,208,200,289,467,267,303,155,125,148,125,643,830,1026,..,..,NA
50,1.3,50-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
50,1.4,50-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
52,0,52-0,BARBADOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1.1,52-1.1,NA,NA,Total arrivals,NA,NA,Thousands,NA,VF,927,957,990,1019,947,1078,1035,1021,1090,1273,1111,1102,1191,1165,1154,1197,1187,1053,1079,1079,1179,1227,1345,1356,..,NA
52,1.2,52-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,NA,TF,442,447,472,512,515,545,507,498,531,552,548,563,575,568,519,532,568,536,509,521,592,632,664,680,..,NA
52,1.3,52-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,NA,NA,485,510,518,507,433,533,528,523,559,721,563,539,616,597,635,665,619,517,570,558,587,595,681,676,..,NA
52,1.4,52-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,485,510,518,507,433,533,528,523,559,721,563,539,616,597,635,665,619,517,570,558,587,595,681,676,..,NA
112,0,112-0,BELARUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Arrivals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/ Data until 2015 without taking into account the Belarusian-Russian border segment. Data from 2016 including estimation of the Belarusian-Russian border segment.
2/ Package tour."
112,1.1,112-1.1,NA,NA,Total arrivals,NA,NA,Thousands,1/,VF,..,..,..,..,..,2030,1852,1907,1729,1816,4738,5276,5283,5262,4872,5674,5877,6130,6242,5375,4386,10935,11060,11502,11832,NA
112,1.2,112-1.2,NA,NA,NA,Overnights visitors (tourists),NA,Thousands,1/,TCE,..,..,..,363,315,262,221,209,229,239,253,292,368,477,512,677,783,993,1003,1080,966,1929,2000,2142,2201,NA
112,1.3,112-1.3,NA,NA,NA,Same-day visitors (excursionists),NA,Thousands,2/,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175,96,136,198,228,NA
112,1.4,112-1.4,NA,NA,NA,"of which, cruise passengers","of which, cruise passengers",Thousands,NA,NA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
