country,country_code,year,v2x_libdem,v2x_freexp_altinf
Mexico,MEX,2019,0.486,0.812
Suriname,SUR,2019,0.55,0.874
Sweden,SWE,2019,0.829,0.958
Switzerland,CHE,2019,0.827,0.964
Ghana,GHA,2019,0.608,0.8
South Africa,ZAF,2019,0.575,0.827
Japan,JPN,2019,0.736,0.849
Burma/Myanmar,MMR,2019,0.246,0.669
Russia,RUS,2019,0.099,0.271
Albania,ALB,2019,0.431,0.617
Egypt,EGY,2019,0.126,0.177
Yemen,YEM,2019,0.042,0.222
Colombia,COL,2019,0.503,0.676
Poland,POL,2019,0.5,0.73
Brazil,BRA,2019,0.508,0.7
United States of America,USA,2019,0.7,0.89
Portugal,PRT,2019,0.817,0.949
El Salvador,SLV,2019,0.437,0.826
Bangladesh,BGD,2019,0.1,0.533
Bolivia,BOL,2019,0.306,0.774
Haiti,HTI,2019,0.239,0.796
Honduras,HND,2019,0.195,0.615
Mali,MLI,2019,0.309,0.755
Pakistan,PAK,2019,0.211,0.595
Peru,PER,2019,0.674,0.914
Senegal,SEN,2019,0.561,0.898
South Sudan,SSD,2019,0.064,0.104
Sudan,SDN,2019,0.087,0.602
Vietnam,VNM,2019,0.122,0.177
Afghanistan,AFG,2019,0.212,0.614
Argentina,ARG,2019,0.631,0.908
Ethiopia,ETH,2019,0.176,0.616
India,IND,2019,0.364,0.607
Kenya,KEN,2019,0.338,0.829
North Korea,PRK,2019,0.014,0.029
South Korea,KOR,2019,0.78,0.964
Kosovo,XKX,2019,0.413,0.781
Lebanon,LBN,2019,0.29,0.732
Nigeria,NGA,2019,0.339,0.812
Philippines,PHL,2019,0.286,0.714
Tanzania,TZA,2019,0.342,0.589
Taiwan,TWN,2019,0.697,0.86
Thailand,THA,2019,0.152,0.418
Uganda,UGA,2019,0.222,0.691
Venezuela,VEN,2019,0.086,0.301
Benin,BEN,2019,0.461,0.647
Bhutan,BTN,2019,0.493,0.746
Burkina Faso,BFA,2019,0.273,0.825
Cambodia,KHM,2019,0.088,0.314
Indonesia,IDN,2019,0.494,0.814
Mozambique,MOZ,2019,0.269,0.703
Nepal,NPL,2019,0.464,0.749
Nicaragua,NIC,2019,0.058,0.304
Niger,NER,2019,0.344,0.807
Zambia,ZMB,2019,0.274,0.684
Zimbabwe,ZWE,2019,0.175,0.414
Guinea,GIN,2019,0.166,0.753
Ivory Coast,CIV,2019,0.375,0.692
Mauritania,MRT,2019,0.161,0.762
Canada,CAN,2019,0.776,0.954
Australia,AUS,2019,0.789,0.88
Botswana,BWA,2019,0.55,0.788
Burundi,BDI,2019,0.059,0.13
Cape Verde,CPV,2019,0.726,0.863
Central African Republic,CAF,2019,0.213,0.765
Chile,CHL,2019,0.762,0.836
Costa Rica,CRI,2019,0.816,0.94
Timor-Leste,TLS,2019,0.522,0.835
Ecuador,ECU,2019,0.502,0.809
France,FRA,2019,0.783,0.957
Germany,DEU,2019,0.779,0.964
Guatemala,GTM,2019,0.396,0.748
Iran,IRN,2019,0.144,0.323
Iraq,IRQ,2019,0.24,0.696
Ireland,IRL,2019,0.799,0.955
Italy,ITA,2019,0.772,0.949
Jordan,JOR,2019,0.254,0.608
Latvia,LVA,2019,0.712,0.958
Lesotho,LSO,2019,0.465,0.737
Liberia,LBR,2019,0.426,0.871
Malawi,MWI,2019,0.424,0.824
Maldives,MDV,2019,0.326,0.706
Mongolia,MNG,2019,0.522,0.875
Morocco,MAR,2019,0.256,0.584
Netherlands,NLD,2019,0.784,0.932
Panama,PAN,2019,0.592,0.871
Papua New Guinea,PNG,2019,0.373,0.842
Qatar,QAT,2019,0.086,0.149
Sierra Leone,SLE,2019,0.395,0.85
Spain,ESP,2019,0.815,0.94
Syria,SYR,2019,0.043,0.066
Tunisia,TUN,2019,0.655,0.893
Turkey,TUR,2019,0.101,0.187
Ukraine,UKR,2019,0.292,0.682
United Kingdom,GBR,2019,0.79,0.961
Uruguay,URY,2019,0.78,0.958
Algeria,DZA,2019,0.119,0.546
Angola,AGO,2019,0.23,0.727
Armenia,ARM,2019,0.641,0.854
Azerbaijan,AZE,2019,0.07,0.246
Belarus,BLR,2019,0.115,0.294
Cameroon,CMR,2019,0.145,0.616
